"000:00:00.000","Info","2019-07-10 00:35:34","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7384 a7185 a7521 a7053"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.803","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.803","","","","","","ZONE_DISTANCES",17252,18293,12501,23041,17299,20323,13895,18761
"000:35:30.804","","","","","","ZONE_TIMERS",136.871,163.180,72.030,228.021,128.319,171.732,122.221,177.829
"000:35:30.805","","","","","","ZONE_COUNTERS",49,49,36,35,53,52,36,35
"000:35:30.805","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.806","","","","","","TOTAL_ARENA_DISTANCES",35545,35542,37622,32656
"000:40:30.927","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.928","","","","","","ZONE_DISTANCES",21440,13144,13693,13859,18082,19605,22361,19872
"000:40:30.929","","","","","","ZONE_TIMERS",197.011,103.113,181.680,118.444,147.787,152.337,169.295,130.829
"000:40:30.929","","","","","","ZONE_COUNTERS",58,59,34,33,49,48,62,61
"000:40:30.930","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.931","","","","","","TOTAL_ARENA_DISTANCES",34584,27552,37688,42234
"000:45:31.042","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:31.043","","","","","","ZONE_DISTANCES",23084,19325,13009,15611,20421,20009,22536,24215
"000:45:31.043","","","","","","ZONE_TIMERS",155.277,144.837,68.422,231.692,140.503,159.610,144.279,155.834
"000:45:31.044","","","","","","ZONE_COUNTERS",78,79,38,37,51,51,70,69
"000:45:31.045","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.045","","","","","","TOTAL_ARENA_DISTANCES",42409,28619,40430,46751
"000:50:31.163","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.164","","","","","","ZONE_DISTANCES",19376,15203,16998,13196,16663,19255,19306,18143
"000:50:31.164","","","","","","ZONE_TIMERS",176.266,123.854,228.555,71.565,134.107,166.014,167.563,132.557
"000:50:31.165","","","","","","ZONE_COUNTERS",63,63,40,39,42,43,59,59
"000:50:31.166","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.166","","","","","","TOTAL_ARENA_DISTANCES",34579,30195,35917,37449
"000:55:31.304","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.305","","","","","","ZONE_DISTANCES",19828,16191,9633,15406,17863,21529,17690,23321
"000:55:31.305","","","","","","ZONE_TIMERS",153.174,146.966,76.253,223.886,123.458,176.682,130.486,169.653
"000:55:31.306","","","","","","ZONE_COUNTERS",67,66,36,35,47,48,58,59
"000:55:31.307","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.307","","","","","","TOTAL_ARENA_DISTANCES",36019,25039,39393,41010
"001:00:31.437","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.438","","","","","","ZONE_DISTANCES",24733,11478,15249,14471,18193,19713,16308,20220
"001:00:31.439","","","","","","ZONE_TIMERS",229.057,71.075,192.503,107.629,140.493,159.639,142.848,157.284
"001:00:31.439","","","","","","ZONE_COUNTERS",59,59,43,43,46,46,50,50
"001:00:31.440","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.440","","","","","","TOTAL_ARENA_DISTANCES",36211,29720,37906,36529
"001:00:31.506","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.509","","","","","","ZONE_DISTANCES",125713,93634,81083,95584,108521,120434,112096,124532
"001:00:31.511","","","","","","ZONE_TIMERS",1047.659,753.034,819.445,981.248,814.675,986.017,876.703,923.989
"001:00:31.513","","","","","","ZONE_COUNTERS",372,372,222,222,286,285,332,331
"001:00:31.516","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.518","","","","","","TOTAL_ARENA_DISTANCES",219347,176667,228955,236628
"001:03:03.823","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:03:03.825","","","","","","ZONE_DISTANCES",2437,3383,3110,3320,4467,3931,2278,5430
"001:03:03.827","","","","","","ZONE_TIMERS",22.993,37.064,18.985,41.072,30.109,29.948,15.349,44.708
"001:03:03.828","","","","","","ZONE_COUNTERS",12,11,9,9,13,12,14,15
"001:03:03.829","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.830","","","","","","TOTAL_ARENA_DISTANCES",5819,6431,8398,7708
"001:04:03.948","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:04:03.949","","","","","","ZONE_DISTANCES",2100,4886,2909,2836,4499,4109,2389,4719
"001:04:03.949","","","","","","ZONE_TIMERS",18.118,42.006,36.533,23.591,32.016,28.108,19.514,40.610
"001:04:03.950","","","","","","ZONE_COUNTERS",15,15,9,9,12,11,11,12
"001:04:03.950","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.951","","","","","","TOTAL_ARENA_DISTANCES",6987,5745,8608,7107
"001:05:04.057","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
