"000:00:00.000","Info","2019-07-10 04:08:23","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7330 a7743 a7205 a7704"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.629","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.630","","","","","","ZONE_DISTANCES",9140,15051,10155,32752,27145,23561,23337,22538
"000:35:30.630","","","","","","ZONE_TIMERS",100.303,199.754,67.496,232.561,190.764,109.293,163.314,136.743
"000:35:30.631","","","","","","ZONE_COUNTERS",32,31,61,62,60,60,59,59
"000:35:30.632","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.632","","","","","","TOTAL_ARENA_DISTANCES",24192,42907,50707,45875
"000:40:30.776","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.777","","","","","","ZONE_DISTANCES",12510,13093,21449,21549,27972,25360,23510,20746
"000:40:30.778","","","","","","ZONE_TIMERS",151.793,148.353,149.706,150.440,169.117,131.029,144.734,155.412
"000:40:30.778","","","","","","ZONE_COUNTERS",28,27,52,53,64,65,60,59
"000:40:30.779","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.779","","","","","","TOTAL_ARENA_DISTANCES",25603,42998,53332,44256
"000:45:30.913","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:30.913","","","","","","ZONE_DISTANCES",8122,17149,19122,20540,15404,12244,22743,21136
"000:45:30.914","","","","","","ZONE_TIMERS",96.442,203.694,144.781,155.355,232.267,67.869,159.455,140.680
"000:45:30.915","","","","","","ZONE_COUNTERS",31,31,46,47,29,29,57,57
"000:45:30.915","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.916","","","","","","TOTAL_ARENA_DISTANCES",25271,39662,27648,43878
"000:50:31.049","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.049","","","","","","ZONE_DISTANCES",17384,9427,18773,21809,12554,15930,24759,20566
"000:50:31.050","","","","","","ZONE_TIMERS",195.225,104.910,134.098,166.037,125.505,174.630,143.739,156.396
"000:50:31.051","","","","","","ZONE_COUNTERS",37,37,46,46,29,28,61,62
"000:50:31.051","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.052","","","","","","TOTAL_ARENA_DISTANCES",26811,40582,28484,45325
"000:55:31.174","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.174","","","","","","ZONE_DISTANCES",9475,18224,19029,21353,15862,15464,21361,20111
"000:55:31.175","","","","","","ZONE_TIMERS",103.165,196.959,146.424,153.700,179.049,121.075,153.698,146.426
"000:55:31.176","","","","","","ZONE_COUNTERS",35,35,46,46,33,32,54,54
"000:55:31.176","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
