"000:00:00.000","Info","2019-07-10 02:33:05","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7271 a7557 a8106 a7197"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.662","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.662","","","","","","ZONE_DISTANCES",24440,22999,15314,18602,19628,21936,22572,24972
"000:35:30.663","","","","","","ZONE_TIMERS",160.976,139.089,136.757,163.308,146.993,153.072,144.160,155.905
"000:35:30.663","","","","","","ZONE_COUNTERS",53,52,41,42,49,49,64,64
"000:35:30.664","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.664","","","","","","TOTAL_ARENA_DISTANCES",47440,33916,41564,47545
"000:40:30.768","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.769","","","","","","ZONE_DISTANCES",44595,39905,18350,16446,26928,30090,22770,16962
"000:40:30.769","","","","","","ZONE_TIMERS",147.134,152.971,151.727,148.379,134.209,165.897,189.595,110.510
"000:40:30.770","","","","","","ZONE_COUNTERS",104,104,42,42,83,83,36,35
"000:40:30.770","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.770","","","","","","TOTAL_ARENA_DISTANCES",84500,34796,57018,39732
"000:45:30.862","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:30.862","","","","","","ZONE_DISTANCES",38511,39468,14144,15005,23203,19000,21363,4759
"000:45:30.863","","","","","","ZONE_TIMERS",140.431,159.662,143.757,156.336,187.458,112.634,265.150,34.943
"000:45:30.863","","","","","","ZONE_COUNTERS",106,107,36,36,63,62,22,21
"000:45:30.864","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.864","","","","","","TOTAL_ARENA_DISTANCES",77978,29149,42202,26122
