"000:00:00.000","Info","2019-07-10 02:33:30","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a6873 a7373 a7102 a6943"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.517","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.519","","","","","","ZONE_DISTANCES",19214,20377,1662,7566,21708,15404,4287,28613
"000:35:30.521","","","","","","ZONE_TIMERS",144.217,155.789,21.875,278.131,180.940,119.066,31.927,268.078
"000:35:30.523","","","","","","ZONE_COUNTERS",40,40,11,12,45,46,28,29
"000:35:30.524","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.526","","","","","","TOTAL_ARENA_DISTANCES",39591,9228,37112,32900
"000:40:30.555","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.556","","","","","","ZONE_DISTANCES",20519,20092,9227,4122,20768,17033,19349,8904
"000:40:30.557","","","","","","ZONE_TIMERS",147.710,152.328,254.376,45.662,169.682,130.355,221.540,78.498
"000:40:30.557","","","","","","ZONE_COUNTERS",46,47,19,20,46,47,33,33
"000:40:30.558","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.558","","","","","","TOTAL_ARENA_DISTANCES",40610,13349,37801,28253
"000:45:30.565","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.566","","","","","","ZONE_DISTANCES",19882,20214,1002,11873,18912,22137,1619,23217
"000:45:30.567","","","","","","ZONE_TIMERS",141.723,158.285,9.994,290.014,135.438,164.570,10.469,289.539
"000:45:30.568","","","","","","ZONE_COUNTERS",38,39,11,12,59,60,10,10
"000:45:30.569","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.570","","","","","","TOTAL_ARENA_DISTANCES",40097,12875,41049,24836
"000:50:30.606","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:30.606","","","","","","ZONE_DISTANCES",19471,18144,10325,3806,21275,16754,23584,2194
"000:50:30.607","","","","","","ZONE_TIMERS",155.900,144.140,266.160,33.880,173.690,126.350,283.415,16.624
"000:50:30.607","","","","","","ZONE_COUNTERS",34,35,18,18,54,54,15,15
"000:50:30.608","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.608","","","","","","TOTAL_ARENA_DISTANCES",37615,14131,38029,25778
"000:55:30.613","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:30.614","","","","","","ZONE_DISTANCES",14227,23377,2555,12256,18094,17400,1373,22055
"000:55:30.614","","","","","","ZONE_TIMERS",111.225,188.782,23.988,276.020,160.234,139.773,9.376,290.631
"000:55:30.615","","","","","","ZONE_COUNTERS",48,48,17,17,48,48,9,9
"000:55:30.615","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.616","","","","","","TOTAL_ARENA_DISTANCES",37604,14811,35494,23428
"001:00:30.652","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:00:30.653","","","","","","ZONE_DISTANCES",22339,18644,15876,11583,22712,15384,26703,2572
"001:00:30.653","","","","","","ZONE_TIMERS",176.242,123.796,236.831,63.206,185.086,114.952,283.660,16.378
"001:00:30.653","","","","","","ZONE_COUNTERS",48,48,37,37,55,55,16,16
"001:00:30.654","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.654","","","","","","TOTAL_ARENA_DISTANCES",40983,27459,38096,29275
"001:00:30.737","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.737","","","","","","ZONE_DISTANCES",115652,120848,40647,51206,123469,104112,76915,87555
"001:00:30.738","","","","","","ZONE_TIMERS",877.019,923.128,813.232,986.915,1005.079,795.068,840.396,959.751
"001:00:30.739","","","","","","ZONE_COUNTERS",253,253,112,112,306,306,109,109
"001:00:30.739","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.739","","","","","","TOTAL_ARENA_DISTANCES",236500,91853,227581,164470
"001:03:02.169","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:03:02.169","","","","","","ZONE_DISTANCES",82,6004,0,401,5300,3065,0,7878
"001:03:02.170","","","","","","ZONE_TIMERS",0.918,59.142,0.000,60.061,43.394,16.666,0.034,60.027
"001:03:02.170","","","","","","ZONE_COUNTERS",3,4,0,1,8,8,1,2
"001:03:02.171","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.171","","","","","","TOTAL_ARENA_DISTANCES",6087,401,8365,7878
"001:04:02.182","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:04:02.182","","","","","","ZONE_DISTANCES",3639,3137,1314,263,5577,2212,4257,465
"001:04:02.183","","","","","","ZONE_TIMERS",32.998,27.013,55.633,4.379,44.581,15.431,55.221,4.791
"001:04:02.184","","","","","","ZONE_COUNTERS",9,10,1,1,12,12,3,3
"001:04:02.185","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.185","","","","","","TOTAL_ARENA_DISTANCES",6775,1577,7789,4722
