"000:00:00.000","Info","2019-07-10 00:35:39","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7026 a7042 a6986 a7586"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.646","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.647","","","","","","ZONE_DISTANCES",13552,16251,17768,21240,14486,11388,24075,1633
"000:35:30.648","","","","","","ZONE_TIMERS",139.106,160.896,127.741,172.261,171.163,128.839,286.617,13.385
"000:35:30.648","","","","","","ZONE_COUNTERS",88,88,41,42,39,40,20,19
"000:35:30.649","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.649","","","","","","TOTAL_ARENA_DISTANCES",29802,39008,25873,25709
"000:40:30.713","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.713","","","","","","ZONE_DISTANCES",15580,20829,19601,21498,10920,12478,18074,12350
"000:40:30.714","","","","","","ZONE_TIMERS",124.960,175.106,127.267,172.799,131.955,168.110,167.906,132.160
"000:40:30.714","","","","","","ZONE_COUNTERS",92,92,51,52,32,33,25,25
"000:40:30.715","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.715","","","","","","TOTAL_ARENA_DISTANCES",36409,41099,23398,30424
"000:45:30.728","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.728","","","","","","ZONE_DISTANCES",8762,18494,17277,22321,12756,8818,25962,93
"000:45:30.729","","","","","","ZONE_TIMERS",92.100,207.914,134.037,165.977,193.553,106.461,298.879,1.136
"000:45:30.730","","","","","","ZONE_COUNTERS",53,54,46,47,31,32,1,1
"000:45:30.730","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.730","","","","","","TOTAL_ARENA_DISTANCES",27256,39598,21574,26055
"000:50:30.785","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.786","","","","","","ZONE_DISTANCES",14501,14483,9825,26802,9123,12660,9267,21641
"000:50:30.786","","","","","","ZONE_TIMERS",137.884,162.173,63.085,236.971,108.207,191.850,63.956,236.101
"000:50:30.787","","","","","","ZONE_COUNTERS",70,71,29,30,32,33,29,29
"000:50:30.787","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.788","","","","","","TOTAL_ARENA_DISTANCES",28984,36626,21783,30907
"000:55:30.838","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:30.839","","","","","","ZONE_DISTANCES",12375,14143,16012,19227,13671,8387,29939,1550
"000:55:30.839","","","","","","ZONE_TIMERS",148.510,151.542,129.565,170.487,203.082,96.970,288.002,12.050
"000:55:30.840","","","","","","ZONE_COUNTERS",65,65,41,42,27,27,9,9
"000:55:30.840","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
