"000:00:00.000","Info","2019-07-15 02:37:43","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7704 a7329 a7743 a7205"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.651","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.652","","","","","","ZONE_DISTANCES",17228,19229,28158,37855,14661,27419,25773,34214
"000:35:30.653","","","","","","ZONE_TIMERS",115.799,184.264,120.571,179.491,98.859,201.204,118.829,181.234
"000:35:30.653","","","","","","ZONE_COUNTERS",50,50,55,55,46,46,63,64
"000:35:30.654","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.654","","","","","","TOTAL_ARENA_DISTANCES",36457,66013,42080,59987
"000:40:30.710","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.710","","","","","","ZONE_DISTANCES",11304,8271,33988,33284,19996,21896,16530,32696
"000:40:30.711","","","","","","ZONE_TIMERS",273.131,26.926,181.120,118.937,157.779,142.278,97.124,202.933
"000:40:30.712","","","","","","ZONE_COUNTERS",24,23,70,69,45,45,42,43
"000:40:30.712","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.713","","","","","","TOTAL_ARENA_DISTANCES",19575,67272,41892,49227
"000:45:30.765","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.766","","","","","","ZONE_DISTANCES",5245,4180,37415,33630,14823,24939,17079,25786
"000:45:30.767","","","","","","ZONE_TIMERS",285.175,14.880,179.168,120.886,101.031,199.023,118.010,182.045
"000:45:30.767","","","","","","ZONE_COUNTERS",12,11,73,73,53,54,41,42
"000:45:30.768","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.768","","","","","","TOTAL_ARENA_DISTANCES",9424,71045,39762,42864
"000:50:30.820","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:30.820","","","","","","ZONE_DISTANCES",16886,10331,27501,22586,21958,19578,18342,21096
"000:50:30.821","","","","","","ZONE_TIMERS",256.411,43.643,222.481,77.572,168.044,132.010,141.097,158.957
"000:50:30.821","","","","","","ZONE_COUNTERS",26,25,53,53,49,50,41,41
"000:50:30.822","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.823","","","","","","TOTAL_ARENA_DISTANCES",27218,50087,41537,39438
"000:55:30.908","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:30.908","","","","","","ZONE_DISTANCES",14712,12028,34007,35895,19864,23666,17788,24101
"000:55:30.909","","","","","","ZONE_TIMERS",252.344,47.743,116.481,183.606,131.180,168.907,122.457,177.630
