"000:00:00.000","Info","2019-07-15 02:38:14","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a6943 a6873 a7373 a7102"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.569","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.569","","","","","","ZONE_DISTANCES",12872,22520,17468,18910,10129,4547,14789,19045
"000:35:30.570","","","","","","ZONE_TIMERS",114.719,185.310,165.741,134.288,259.737,40.292,126.922,173.107
"000:35:30.570","","","","","","ZONE_COUNTERS",41,42,47,47,22,22,45,45
"000:35:30.571","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.571","","","","","","TOTAL_ARENA_DISTANCES",35392,36378,14676,33834
"000:40:30.611","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.611","","","","","","ZONE_DISTANCES",17711,17210,11054,18642,3881,6506,14349,22096
"000:40:30.612","","","","","","ZONE_TIMERS",154.402,145.639,73.926,226.115,23.916,276.125,106.480,193.561
"000:40:30.612","","","","","","ZONE_COUNTERS",44,45,34,34,8,8,42,42
"000:40:30.613","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.613","","","","","","TOTAL_ARENA_DISTANCES",34921,29695,10386,36446
