"000:00:00.000","Info","2019-07-15 04:19:44","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a8104 a7146 a7606 a6880"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.634","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.635","","","","","","ZONE_DISTANCES",14765,16199,16295,21384,13140,17487,20619,26175
"000:35:30.635","","","","","","ZONE_TIMERS",112.942,187.130,121.747,178.325,88.549,211.523,105.400,194.672
"000:35:30.636","","","","","","ZONE_COUNTERS",43,43,36,36,34,35,42,42
"000:35:30.636","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.636","","","","","","TOTAL_ARENA_DISTANCES",30965,37679,30627,46794
"000:40:30.724","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.725","","","","","","ZONE_DISTANCES",16408,9621,17902,23814,6609,991,19583,29610
"000:40:30.726","","","","","","ZONE_TIMERS",226.386,73.702,134.388,165.701,297.330,2.758,108.578,191.511
"000:40:30.726","","","","","","ZONE_COUNTERS",38,38,48,48,3,3,48,49
"000:40:30.727","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.728","","","","","","TOTAL_ARENA_DISTANCES",26029,41715,7600,49193
"000:45:30.817","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
