"000:00:00.000","Info","2019-07-16 04:14:23","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7746 a6890 a7706 a7004"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.574","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.574","","","","","","ZONE_DISTANCES",35302,29595,14171,11618,27461,33683,21918,26134
"000:35:30.575","","","","","","ZONE_TIMERS",141.997,158.032,136.692,163.337,102.777,197.252,126.334,173.694
"000:35:30.576","","","","","","ZONE_COUNTERS",77,76,70,70,70,70,60,59
"000:35:30.577","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.577","","","","","","TOTAL_ARENA_DISTANCES",64898,25789,61145,48052
"000:40:30.652","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.653","","","","","","ZONE_DISTANCES",33622,34514,9384,16248,25822,32265,21528,19034
"000:40:30.653","","","","","","ZONE_TIMERS",139.933,160.144,96.494,203.583,159.378,140.699,169.964,130.113
"000:40:30.654","","","","","","ZONE_COUNTERS",88,88,56,57,73,74,56,56
"000:40:30.655","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.655","","","","","","TOTAL_ARENA_DISTANCES",68136,25632,58086,40562
"000:45:30.727","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:30.728","","","","","","ZONE_DISTANCES",25310,24837,17769,12577,23044,26042,23067,29319
"000:45:30.728","","","","","","ZONE_TIMERS",127.213,172.862,147.517,152.557,130.175,169.899,102.628,197.446
"000:45:30.729","","","","","","ZONE_COUNTERS",52,53,55,56,59,60,66,67
"000:45:30.729","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.730","","","","","","TOTAL_ARENA_DISTANCES",50147,30345,49086,52386
"000:50:30.831","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:30.832","","","","","","ZONE_DISTANCES",31394,31139,10800,13596,15302,17144,20781,18901
"000:50:30.832","","","","","","ZONE_TIMERS",149.452,150.651,123.499,176.604,160.221,139.882,190.891,109.211
"000:50:30.833","","","","","","ZONE_COUNTERS",81,81,49,50,38,38,56,56
"000:50:30.833","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.833","","","","","","TOTAL_ARENA_DISTANCES",62533,24396,32446,39682
"000:55:30.910","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:30.910","","","","","","ZONE_DISTANCES",34762,29249,15225,12021,16271,16745,18493,20193
"000:55:30.911","","","","","","ZONE_TIMERS",141.239,158.838,148.512,151.565,132.172,167.906,112.729,187.349
