"000:00:00.000","Info","2019-07-16 04:13:53","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7524 a7304 a7331 a7103"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.550","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.550","","","","","","ZONE_DISTANCES",26052,33285,15061,27220,13670,16057,11778,17953
"000:35:30.551","","","","","","ZONE_TIMERS",112.218,187.837,98.816,201.239,137.320,162.735,108.557,191.498
"000:35:30.551","","","","","","ZONE_COUNTERS",99,99,49,49,41,40,52,51
"000:35:30.552","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.552","","","","","","TOTAL_ARENA_DISTANCES",59337,42281,29726,29731
"000:40:30.626","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.626","","","","","","ZONE_DISTANCES",18517,30794,24231,8054,16612,15242,8596,21064
"000:40:30.627","","","","","","ZONE_TIMERS",97.934,202.141,260.898,39.177,170.451,129.625,94.979,205.096
"000:40:30.627","","","","","","ZONE_COUNTERS",91,91,30,30,37,37,45,45
"000:40:30.628","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.628","","","","","","TOTAL_ARENA_DISTANCES",49311,32285,31855,29659
