"000:00:00.000","Info","2019-07-16 02:19:17","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7066 a7085 a6984 a7587"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.593","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.594","","","","","","ZONE_DISTANCES",16953,15568,11732,17733,13809,20390,24116,22315
"000:35:30.595","","","","","","ZONE_TIMERS",152.776,147.298,94.852,205.221,112.495,187.579,152.697,147.376
"000:35:30.595","","","","","","ZONE_COUNTERS",40,40,24,25,33,33,61,61
"000:35:30.596","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.596","","","","","","TOTAL_ARENA_DISTANCES",32521,29465,34200,46431
"000:40:30.682","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.682","","","","","","ZONE_DISTANCES",18287,16868,11628,19899,21072,18731,23505,24928
"000:40:30.683","","","","","","ZONE_TIMERS",163.354,136.733,80.637,219.451,147.554,152.533,145.427,154.660
"000:40:30.683","","","","","","ZONE_COUNTERS",45,44,31,32,64,64,63,63
"000:40:30.684","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.684","","","","","","TOTAL_ARENA_DISTANCES",35155,31527,39803,48433
