"000:00:00.000","Info","2019-07-16 04:13:47","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a6936 a7489 a7588 a7058"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.610","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.611","","","","","","ZONE_DISTANCES",10493,21841,12640,21649,20936,15055,19431,17159
"000:35:30.612","","","","","","ZONE_TIMERS",93.654,206.423,115.529,184.547,180.574,119.503,173.847,126.230
"000:35:30.612","","","","","","ZONE_COUNTERS",44,44,39,39,43,43,44,43
"000:35:30.613","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.613","","","","","","TOTAL_ARENA_DISTANCES",32334,34289,35991,36590
"000:40:30.684","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.685","","","","","","ZONE_DISTANCES",12045,18999,12427,15423,8980,21817,16037,19785
"000:40:30.686","","","","","","ZONE_TIMERS",111.302,188.771,121.203,178.870,73.367,226.706,120.618,179.455
"000:40:30.686","","","","","","ZONE_COUNTERS",46,47,42,41,32,31,48,48
"000:40:30.687","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.687","","","","","","TOTAL_ARENA_DISTANCES",31044,27849,30797,35822
"000:45:30.776","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.776","","","","","","ZONE_DISTANCES",15649,17526,10501,21895,19910,16167,17178,17420
"000:45:30.777","","","","","","ZONE_TIMERS",137.904,162.186,98.730,201.360,172.458,127.633,156.356,143.734
"000:45:30.778","","","","","","ZONE_COUNTERS",47,48,35,34,41,40,44,44
"000:45:30.778","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.779","","","","","","TOTAL_ARENA_DISTANCES",33175,32397,36077,34598
"000:50:30.867","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:30.870","","","","","","ZONE_DISTANCES",14214,19590,13364,16375,11171,23633,16377,16814
"000:50:30.872","","","","","","ZONE_TIMERS",123.071,177.018,111.489,188.600,82.951,217.138,126.006,174.083
"000:50:30.874","","","","","","ZONE_COUNTERS",52,52,49,49,38,38,41,41
"000:50:30.876","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.878","","","","","","TOTAL_ARENA_DISTANCES",33804,29739,34804,33191
"000:55:30.955","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:55:30.955","","","","","","ZONE_DISTANCES",16607,17842,14363,13863,20688,9424,17351,15030
"000:55:30.956","","","","","","ZONE_TIMERS",145.628,154.460,153.887,146.201,234.355,65.733,173.934,126.154
"000:55:30.957","","","","","","ZONE_COUNTERS",51,51,46,46,25,25,37,37
"000:55:30.957","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.958","","","","","","TOTAL_ARENA_DISTANCES",34449,28226,30113,32381
"001:00:31.013","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:00:31.015","","","","","","ZONE_DISTANCES",13064,20539,11309,21355,6345,24508,16504,16965
"001:00:31.016","","","","","","ZONE_TIMERS",113.008,187.049,90.167,209.891,46.327,253.730,133.246,166.811
"001:00:31.017","","","","","","ZONE_COUNTERS",56,57,36,36,22,22,41,41
"001:00:31.018","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.019","","","","","","TOTAL_ARENA_DISTANCES",33603,32664,30853,33469
"001:00:31.089","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.091","","","","","","ZONE_DISTANCES",82072,116337,74604,110560,88030,110604,102878,103173
"001:00:31.092","","","","","","ZONE_TIMERS",724.569,1075.921,691.008,1109.482,790.034,1010.456,884.009,916.480
"001:00:31.093","","","","","","ZONE_COUNTERS",295,295,243,244,197,198,252,252
"001:00:31.094","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.095","","","","","","TOTAL_ARENA_DISTANCES",198409,185164,198634,206051
"001:03:03.324","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:03:03.324","","","","","","ZONE_DISTANCES",3156,3996,5023,1824,3677,3385,3572,2958
"001:03:03.325","","","","","","ZONE_TIMERS",27.410,32.648,47.776,12.281,32.321,27.737,34.515,25.543
"001:03:03.326","","","","","","ZONE_COUNTERS",19,19,8,8,9,9,9,9
"001:03:03.327","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.327","","","","","","TOTAL_ARENA_DISTANCES",7152,6847,7063,6531
"001:04:03.424","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:04:03.425","","","","","","ZONE_DISTANCES",3540,3421,4392,3063,1906,4420,2584,3200
"001:04:03.426","","","","","","ZONE_TIMERS",30.872,29.228,34.675,25.424,16.197,43.902,24.217,35.882
"001:04:03.427","","","","","","ZONE_COUNTERS",16,16,9,9,7,8,7,7
"001:04:03.427","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.428","","","","","","TOTAL_ARENA_DISTANCES",6961,7455,6326,5784
"001:05:03.501","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:05:03.502","","","","","","ZONE_DISTANCES",2849,3685,2448,4581,4079,3104,3629,3591
"001:05:03.503","","","","","","ZONE_TIMERS",25.584,34.492,19.991,40.086,34.463,25.614,29.309,30.768
"001:05:03.504","","","","","","ZONE_COUNTERS",14,15,7,7,8,9,9,9
"001:05:03.505","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.505","","","","","","TOTAL_ARENA_DISTANCES",6534,7029,7183,7220
"001:06:03.608","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:06:03.609","","","","","","ZONE_DISTANCES",2955,3274,2956,4923,1444,4374,3066,3568
"001:06:03.610","","","","","","ZONE_TIMERS",29.045,31.061,20.971,39.135,10.208,49.898,24.852,35.254
"001:06:03.611","","","","","","ZONE_COUNTERS",15,16,8,7,4,5,9,8
"001:06:03.612","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.612","","","","","","TOTAL_ARENA_DISTANCES",6229,7879,5818,6635
