"000:00:00.000","Info","2019-07-16 04:14:16","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7428 a8053 a6863 a7450"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.536","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.537","","","","","","ZONE_DISTANCES",11689,25259,12296,12987,19126,6995,27180,30037
"000:35:30.538","","","","","","ZONE_TIMERS",96.302,203.701,182.877,117.126,250.047,49.956,153.366,146.637
"000:35:30.538","","","","","","ZONE_COUNTERS",31,32,30,29,27,27,63,64
"000:35:30.539","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.539","","","","","","TOTAL_ARENA_DISTANCES",36948,25284,26122,57217
"000:40:30.546","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.547","","","","","","ZONE_DISTANCES",20554,23211,6706,10648,12150,27145,25906,22678
"000:40:30.547","","","","","","ZONE_TIMERS",129.501,170.508,41.514,258.495,84.891,215.118,147.757,152.252
"000:40:30.548","","","","","","ZONE_COUNTERS",38,39,15,15,55,54,50,50
"000:40:30.548","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.548","","","","","","TOTAL_ARENA_DISTANCES",43765,17354,39295,48584
"000:45:30.584","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.584","","","","","","ZONE_DISTANCES",18126,26319,11157,10247,24674,11185,35615,19006
"000:45:30.585","","","","","","ZONE_TIMERS",117.120,182.916,240.485,59.551,226.032,74.005,213.130,86.906
"000:45:30.586","","","","","","ZONE_COUNTERS",40,41,23,24,46,45,61,60
"000:45:30.586","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.586","","","","","","TOTAL_ARENA_DISTANCES",44445,21404,35859,54621
"000:50:30.595","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.596","","","","","","ZONE_DISTANCES",19968,27468,10015,12751,9204,25183,21745,34484
"000:50:30.596","","","","","","ZONE_TIMERS",103.657,196.353,74.034,225.976,67.449,232.562,99.356,200.654
"000:50:30.597","","","","","","ZONE_COUNTERS",45,46,25,25,43,43,73,73
"000:50:30.597","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.597","","","","","","TOTAL_ARENA_DISTANCES",47435,22767,34387,56228
"000:55:30.635","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:30.635","","","","","","ZONE_DISTANCES",26967,21119,9984,9714,19955,11101,18934,32138
"000:55:30.636","","","","","","ZONE_TIMERS",205.831,94.207,222.110,77.928,199.541,100.498,126.107,173.932
"000:55:30.636","","","","","","ZONE_COUNTERS",55,56,23,23,43,44,76,76
"000:55:30.637","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.637","","","","","","TOTAL_ARENA_DISTANCES",48086,19698,31056,51072
"001:00:30.672","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:00:30.672","","","","","","ZONE_DISTANCES",24437,27250,9116,11870,9908,24152,14001,27467
"001:00:30.673","","","","","","ZONE_TIMERS",129.387,170.649,70.768,229.268,79.813,220.223,75.505,224.531
"001:00:30.673","","","","","","ZONE_COUNTERS",56,56,25,26,46,47,64,63
"001:00:30.673","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.674","","","","","","TOTAL_ARENA_DISTANCES",51687,20986,34060,41468
"001:00:30.679","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.679","","","","","","ZONE_DISTANCES",121741,150626,59274,68217,95017,105761,143381,165810
"001:00:30.680","","","","","","ZONE_TIMERS",781.806,1018.338,831.792,968.352,907.775,892.369,815.230,984.914
"001:00:30.681","","","","","","ZONE_COUNTERS",265,265,139,139,257,258,384,384
"001:00:30.682","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.682","","","","","","TOTAL_ARENA_DISTANCES",272367,127491,200778,309191
"001:03:01.913","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:03:01.913","","","","","","ZONE_DISTANCES",3901,4354,1507,917,4872,1759,2154,7281
"001:03:01.914","","","","","","ZONE_TIMERS",32.146,27.871,51.285,8.731,49.360,10.657,15.020,44.997
"001:03:01.914","","","","","","ZONE_COUNTERS",9,9,4,3,10,11,13,12
"001:03:01.915","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:01.915","","","","","","TOTAL_ARENA_DISTANCES",8255,2424,6631,9435
"001:04:01.933","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:04:01.933","","","","","","ZONE_DISTANCES",4653,4199,700,1369,3700,3679,2409,4429
"001:04:01.934","","","","","","ZONE_TIMERS",29.159,30.861,7.288,52.731,27.486,32.534,16.184,43.835
"001:04:01.935","","","","","","ZONE_COUNTERS",9,10,3,3,10,10,13,12
"001:04:01.935","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:01.936","","","","","","TOTAL_ARENA_DISTANCES",8852,2068,7379,6838
"001:05:01.955","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:05:01.956","","","","","","ZONE_DISTANCES",4379,3831,1396,929,4660,971,1141,7407
"001:05:01.956","","","","","","ZONE_TIMERS",33.387,26.635,53.266,6.756,52.054,7.968,7.857,52.165
"001:05:01.957","","","","","","ZONE_COUNTERS",10,11,3,3,6,5,9,9
"001:05:01.957","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:01.958","","","","","","TOTAL_ARENA_DISTANCES",8210,2325,5631,8548
"001:06:02.013","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:06:02.013","","","","","","ZONE_DISTANCES",4650,5045,1145,1970,3446,3530,1892,4795
"001:06:02.014","","","","","","ZONE_TIMERS",25.453,34.604,8.144,51.912,27.089,32.967,11.894,48.163
"001:06:02.014","","","","","","ZONE_COUNTERS",11,12,5,5,10,10,11,12
"001:06:02.015","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.015","","","","","","TOTAL_ARENA_DISTANCES",9695,3115,6976,6688
"001:07:02.031","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:07:02.031","","","","","","ZONE_DISTANCES",5228,4990,1745,1885,7344,1707,2062,7385
"001:07:02.032","","","","","","ZONE_TIMERS",34.385,25.632,48.117,11.900,55.416,4.601,15.182,44.835
"001:07:02.033","","","","","","ZONE_COUNTERS",13,13,4,5,10,10,13,13
"001:07:02.034","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.034","","","","","","TOTAL_ARENA_DISTANCES",10219,3630,9051,9447
"001:07:02.117","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:02.117","","","","","","ZONE_DISTANCES",22811,22419,6493,7070,24022,11646,9658,31297
"001:07:02.118","","","","","","ZONE_TIMERS",154.531,145.605,168.103,132.032,211.407,88.729,66.138,233.998
"001:07:02.118","","","","","","ZONE_COUNTERS",52,51,17,17,44,44,57,56
"001:07:02.118","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
