"000:00:00.000","Info","2019-07-16 00:19:05","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7119 a7265 a7208 a7174"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.734","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.734","","","","","","ZONE_DISTANCES",9970,20208,12150,30399,8863,9798,13783,21499
"000:35:30.735","","","","","","ZONE_TIMERS",79.238,220.764,54.286,245.716,193.240,106.762,102.480,197.522
"000:35:30.736","","","","","","ZONE_COUNTERS",39,39,38,39,16,16,42,43
"000:35:30.736","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.737","","","","","","TOTAL_ARENA_DISTANCES",30178,42548,18661,35283
"000:40:30.772","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.772","","","","","","ZONE_DISTANCES",18749,12320,29226,27630,30,69,17467,16145
"000:40:30.773","","","","","","ZONE_TIMERS",216.190,83.848,227.263,72.774,175.494,124.544,166.993,133.045
"000:40:30.774","","","","","","ZONE_COUNTERS",47,47,75,75,1,1,35,35
"000:40:30.774","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.774","","","","","","TOTAL_ARENA_DISTANCES",31069,56856,100,33612
"000:45:30.783","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.784","","","","","","ZONE_DISTANCES",2926,14835,24958,30315,670,303,15033,17484
"000:45:30.785","","","","","","ZONE_TIMERS",23.254,276.756,80.916,219.094,28.966,271.043,134.469,165.541
"000:45:30.786","","","","","","ZONE_COUNTERS",25,25,77,77,1,1,35,34
"000:45:30.787","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.787","","","","","","TOTAL_ARENA_DISTANCES",17761,55273,973,32517
"000:50:30.822","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:50:30.823","","","","","","ZONE_DISTANCES",12929,4719,20748,15743,3096,2765,18085,13580
