"000:00:00.000","Info","2019-07-17 00:09:30","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6880 a8104 a7146 a7606"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.763","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.764","","","","","","ZONE_DISTANCES",19007,19319,39,1012,3914,26078,4283,13378
"000:35:30.765","","","","","","ZONE_TIMERS",152.179,147.879,0.267,299.790,30.023,270.035,39.343,260.714
"000:35:30.765","","","","","","ZONE_COUNTERS",50,50,1,2,21,22,18,18
"000:35:30.766","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.766","","","","","","TOTAL_ARENA_DISTANCES",38327,1051,29991,17661
"000:40:30.839","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.839","","","","","","ZONE_DISTANCES",13485,19733,1262,483,21324,4244,6803,575
"000:40:30.840","","","","","","ZONE_TIMERS",102.856,197.218,33.873,266.201,263.997,36.077,293.880,6.194
"000:40:30.840","","","","","","ZONE_COUNTERS",46,46,2,2,17,17,2,2
"000:40:30.841","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.841","","","","","","TOTAL_ARENA_DISTANCES",33218,1745,25568,7378
"000:45:30.958","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.958","","","","","","ZONE_DISTANCES",17168,16222,173,0,6952,25200,705,9361
"000:45:30.959","","","","","","ZONE_TIMERS",168.019,132.099,300.119,0.000,55.434,244.684,12.068,288.050
"000:45:30.959","","","","","","ZONE_COUNTERS",53,54,1,0,37,36,3,2
"000:45:30.960","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.960","","","","","","TOTAL_ARENA_DISTANCES",33390,173,32152,10067
"000:50:31.070","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:31.071","","","","","","ZONE_DISTANCES",17251,17756,609,0,30861,5943,4814,661
"000:50:31.071","","","","","","ZONE_TIMERS",145.274,154.837,300.112,0.000,254.614,45.497,294.905,5.207
"000:50:31.072","","","","","","ZONE_COUNTERS",55,56,1,0,46,45,4,3
"000:50:31.072","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.073","","","","","","TOTAL_ARENA_DISTANCES",35007,608,36805,5475
"000:55:31.191","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:31.194","","","","","","ZONE_DISTANCES",15665,17240,1197,663,7782,28667,901,8013
"000:55:31.196","","","","","","ZONE_TIMERS",154.488,145.632,290.658,9.461,61.014,239.105,12.828,287.291
"000:55:31.198","","","","","","ZONE_COUNTERS",50,51,1,1,58,58,3,3
"000:55:31.200","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.202","","","","","","TOTAL_ARENA_DISTANCES",32905,1860,36449,8914
"001:00:31.279","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.280","","","","","","ZONE_DISTANCES",14801,16426,2428,350,32021,5000,3981,237
"001:00:31.280","","","","","","ZONE_TIMERS",133.355,166.732,294.892,5.195,259.448,40.639,295.523,4.564
"001:00:31.281","","","","","","ZONE_COUNTERS",47,48,2,2,34,34,1,1
"001:00:31.281","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.282","","","","","","TOTAL_ARENA_DISTANCES",31227,2779,37021,4218
"001:00:31.359","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.359","","","","","","ZONE_DISTANCES",97377,106696,5708,2508,102854,95132,21487,32225
"001:00:31.360","","","","","","ZONE_TIMERS",856.173,944.407,1219.931,580.649,924.540,876.040,948.557,852.023
"001:00:31.361","","","","","","ZONE_COUNTERS",300,301,5,5,210,210,28,27
"001:00:31.361","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.362","","","","","","TOTAL_ARENA_DISTANCES",204074,8217,197986,53712
"001:03:03.924","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.925","","","","","","ZONE_DISTANCES",2567,4111,0,63,859,7821,207,1366
"001:03:03.925","","","","","","ZONE_TIMERS",25.099,34.965,0.000,60.065,6.003,54.061,1.060,59.005
"001:03:03.926","","","","","","ZONE_COUNTERS",11,11,0,1,10,10,1,1
"001:03:03.927","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
