"000:00:00.000","Info","2019-07-17 02:11:36","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7447 a7012 a7097 a7584"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.757","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.758","","","","","","ZONE_DISTANCES",21470,27640,19354,19713,23950,23833,22094,20792
"000:35:30.758","","","","","","ZONE_TIMERS",125.286,174.782,143.287,156.781,135.061,165.007,150.500,149.568
"000:35:30.759","","","","","","ZONE_COUNTERS",69,69,45,45,66,66,53,53
"000:35:30.759","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.759","","","","","","TOTAL_ARENA_DISTANCES",49110,39067,47782,42886
"000:40:30.893","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.893","","","","","","ZONE_DISTANCES",18138,32472,20401,15949,23322,23036,23591,20476
"000:40:30.894","","","","","","ZONE_TIMERS",102.893,197.242,161.115,139.020,158.567,141.568,178.953,121.182
"000:40:30.894","","","","","","ZONE_COUNTERS",55,55,38,37,63,62,52,52
"000:40:30.895","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.895","","","","","","TOTAL_ARENA_DISTANCES",50610,36350,46358,44067
"000:45:31.045","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:31.045","","","","","","ZONE_DISTANCES",13632,34433,17474,17954,25014,25565,23361,20340
"000:45:31.046","","","","","","ZONE_TIMERS",69.309,230.842,143.324,156.827,134.569,165.582,141.113,159.038
"000:45:31.046","","","","","","ZONE_COUNTERS",43,43,56,55,64,64,54,55
"000:45:31.047","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.047","","","","","","TOTAL_ARENA_DISTANCES",48065,35428,50579,43701
"000:50:31.208","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.208","","","","","","ZONE_DISTANCES",16881,30302,15868,18003,39254,36377,15162,22194
"000:50:31.209","","","","","","ZONE_TIMERS",95.640,204.522,143.820,156.342,171.250,128.912,117.684,182.478
"000:50:31.209","","","","","","ZONE_COUNTERS",52,52,51,51,105,105,39,40
"000:50:31.210","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.210","","","","","","TOTAL_ARENA_DISTANCES",47183,33871,75631,37356
"000:55:31.364","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.364","","","","","","ZONE_DISTANCES",13320,33968,15335,18548,23910,22246,21586,20652
"000:55:31.365","","","","","","ZONE_TIMERS",66.386,233.768,126.619,173.536,144.495,155.659,139.384,160.771
"000:55:31.365","","","","","","ZONE_COUNTERS",43,44,48,48,59,59,52,52
"000:55:31.366","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.366","","","","","","TOTAL_ARENA_DISTANCES",47288,33883,46156,42237
"001:00:31.510","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.512","","","","","","ZONE_DISTANCES",13044,33137,17823,15212,24010,23995,21495,21004
"001:00:31.513","","","","","","ZONE_TIMERS",71.401,228.744,161.464,138.681,163.467,136.678,166.796,133.349
"001:00:31.514","","","","","","ZONE_COUNTERS",43,43,46,45,67,68,57,57
"001:00:31.514","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.515","","","","","","TOTAL_ARENA_DISTANCES",46180,33035,48005,42499
"001:00:31.613","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.615","","","","","","ZONE_DISTANCES",96485,191952,106255,105379,159460,155052,127289,125458
"001:00:31.616","","","","","","ZONE_TIMERS",530.927,1269.903,879.641,921.189,907.412,893.419,894.432,906.398
"001:00:31.617","","","","","","ZONE_COUNTERS",303,303,280,280,421,422,305,306
"001:00:31.618","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.618","","","","","","TOTAL_ARENA_DISTANCES",288436,211634,314511,252746
"001:03:04.376","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:03:04.377","","","","","","ZONE_DISTANCES",3966,4391,2666,3261,1921,4461,4559,4147
"001:03:04.377","","","","","","ZONE_TIMERS",27.833,32.236,26.254,33.815,15.796,44.273,29.233,30.836
"001:03:04.378","","","","","","ZONE_COUNTERS",18,18,11,11,8,8,12,11
"001:03:04.378","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.378","","","","","","TOTAL_ARENA_DISTANCES",8357,5926,6382,8706
"001:04:04.549","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:04:04.549","","","","","","ZONE_DISTANCES",3432,4762,3247,3331,4397,4502,4470,4012
"001:04:04.550","","","","","","ZONE_TIMERS",26.540,33.632,32.642,27.529,32.044,28.127,34.657,25.515
"001:04:04.550","","","","","","ZONE_COUNTERS",17,17,12,13,12,13,11,11
"001:04:04.551","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.551","","","","","","TOTAL_ARENA_DISTANCES",8194,6578,8900,8482
"001:05:04.703","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:05:04.703","","","","","","ZONE_DISTANCES",3773,3502,2957,3880,2975,4240,4296,3923
"001:05:04.704","","","","","","ZONE_TIMERS",30.955,29.198,25.294,34.859,23.778,36.375,30.570,29.583
"001:05:04.704","","","","","","ZONE_COUNTERS",15,16,10,11,8,9,10,11
"001:05:04.705","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.705","","","","","","TOTAL_ARENA_DISTANCES",7275,6837,7215,8219
"001:06:04.882","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:06:04.882","","","","","","ZONE_DISTANCES",3403,3888,3699,3168,3121,3825,4395,4037
"001:06:04.883","","","","","","ZONE_TIMERS",28.112,32.066,32.235,27.942,27.493,32.685,33.835,26.343
"001:06:04.883","","","","","","ZONE_COUNTERS",15,16,10,10,10,11,10,11
"001:06:04.883","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.884","","","","","","TOTAL_ARENA_DISTANCES",7291,6867,6946,8432
