"000:00:00.000","Info","2019-07-17 00:10:07","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a6986 a7586 a7026 a7042"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.794","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.794","","","","","","ZONE_DISTANCES",17715,42115,13879,13771,22828,3183,10711,13467
"000:35:30.795","","","","","","ZONE_TIMERS",77.634,222.370,58.456,241.549,262.875,37.129,111.966,188.039
"000:35:30.796","","","","","","ZONE_COUNTERS",71,71,37,38,58,58,36,36
"000:35:30.797","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.797","","","","","","TOTAL_ARENA_DISTANCES",59830,27650,26011,24178
"000:40:30.901","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.901","","","","","","ZONE_DISTANCES",22786,29891,12984,8251,9875,14703,10184,10551
"000:40:30.901","","","","","","ZONE_TIMERS",151.597,148.509,254.476,45.629,120.190,179.915,141.414,158.692
"000:40:30.902","","","","","","ZONE_COUNTERS",90,91,29,29,99,98,21,20
"000:40:30.902","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.902","","","","","","TOTAL_ARENA_DISTANCES",52676,21235,24577,20735
"000:45:31.011","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:31.013","","","","","","ZONE_DISTANCES",36367,12024,16102,14015,19515,3123,9989,11174
"000:45:31.014","","","","","","ZONE_TIMERS",261.446,38.662,123.451,176.657,257.082,43.027,106.108,194.000
"000:45:31.016","","","","","","ZONE_COUNTERS",66,66,48,47,53,52,29,29
"000:45:31.017","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.019","","","","","","TOTAL_ARENA_DISTANCES",48391,30117,22638,21163
"000:50:31.117","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.118","","","","","","ZONE_DISTANCES",14701,35769,12089,14888,7262,15167,9808,9899
"000:50:31.118","","","","","","ZONE_TIMERS",106.754,193.352,186.877,113.229,96.133,203.973,157.141,142.965
"000:50:31.119","","","","","","ZONE_COUNTERS",83,83,35,35,95,95,26,26
"000:50:31.120","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.120","","","","","","TOTAL_ARENA_DISTANCES",50470,26978,22429,19707
"000:55:31.197","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.197","","","","","","ZONE_DISTANCES",33850,28782,10226,14642,16522,4600,6340,9258
"000:55:31.198","","","","","","ZONE_TIMERS",186.081,113.997,65.113,234.965,231.974,68.104,75.255,224.823
"000:55:31.198","","","","","","ZONE_COUNTERS",95,95,27,28,73,74,20,19
"000:55:31.199","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.199","","","","","","TOTAL_ARENA_DISTANCES",62632,24868,21123,15599
"001:00:31.304","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.304","","","","","","ZONE_DISTANCES",16397,44002,19197,17372,8459,14435,7799,6684
"001:00:31.305","","","","","","ZONE_TIMERS",106.929,193.177,204.830,95.276,107.620,192.487,190.019,110.088
"001:00:31.305","","","","","","ZONE_COUNTERS",79,78,52,52,82,82,18,18
"001:00:31.306","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.306","","","","","","TOTAL_ARENA_DISTANCES",60400,36568,22894,14483
"001:00:31.390","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.391","","","","","","ZONE_DISTANCES",141816,192583,84477,82939,84461,55211,54831,61033
"001:00:31.391","","","","","","ZONE_TIMERS",890.450,910.071,893.212,907.308,1075.882,724.638,781.906,1018.614
"001:00:31.392","","","","","","ZONE_COUNTERS",482,481,226,226,457,457,146,147
"001:00:31.392","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.392","","","","","","TOTAL_ARENA_DISTANCES",334399,167416,139672,115864
"001:03:03.743","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:03:03.743","","","","","","ZONE_DISTANCES",2436,6762,278,2295,3385,897,880,1384
"001:03:03.744","","","","","","ZONE_TIMERS",13.778,46.267,0.968,59.077,45.675,14.370,13.857,46.189
"001:03:03.744","","","","","","ZONE_COUNTERS",17,17,2,2,15,14,3,3
"001:03:03.745","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.745","","","","","","TOTAL_ARENA_DISTANCES",9199,2572,4282,2264
"001:04:03.880","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:04:03.881","","","","","","ZONE_DISTANCES",2405,7322,3450,464,1567,3436,1542,553
"001:04:03.881","","","","","","ZONE_TIMERS",16.403,43.734,51.838,8.298,19.094,41.042,47.551,12.586
"001:04:03.882","","","","","","ZONE_COUNTERS",11,11,4,4,18,18,3,3
"001:04:03.882","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.883","","","","","","TOTAL_ARENA_DISTANCES",9726,3915,5004,2095
"001:05:04.031","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:05:04.033","","","","","","ZONE_DISTANCES",3531,6737,1315,2610,3391,1197,816,1462
"001:05:04.034","","","","","","ZONE_TIMERS",19.820,40.330,7.782,52.368,43.779,16.371,11.562,48.587
"001:05:04.035","","","","","","ZONE_COUNTERS",14,15,5,5,16,16,3,3
"001:05:04.037","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.038","","","","","","TOTAL_ARENA_DISTANCES",10269,3924,4588,2278
"001:06:04.187","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:06:04.188","","","","","","ZONE_DISTANCES",2609,6758,4555,1881,1515,3111,1310,1051
"001:06:04.189","","","","","","ZONE_TIMERS",18.469,41.686,50.472,9.684,19.900,40.256,39.625,20.530
"001:06:04.189","","","","","","ZONE_COUNTERS",10,11,7,7,16,16,3,3
"001:06:04.190","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.190","","","","","","TOTAL_ARENA_DISTANCES",9367,6437,4626,2361
"001:07:04.319","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:07:04.320","","","","","","ZONE_DISTANCES",4437,6147,1631,3050,3056,1688,1012,1439
"001:07:04.321","","","","","","ZONE_TIMERS",26.093,34.037,8.267,51.863,39.125,21.005,14.518,45.612
"001:07:04.322","","","","","","ZONE_COUNTERS",19,20,8,7,15,15,3,3
"001:07:04.323","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.323","","","","","","TOTAL_ARENA_DISTANCES",10584,4681,4744,2451
"001:07:04.416","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:04.419","","","","","","ZONE_DISTANCES",15418,33726,11229,10300,12914,10329,5560,5889
"001:07:04.420","","","","","","ZONE_TIMERS",94.565,206.056,119.329,181.293,167.575,133.046,127.115,173.506
"001:07:04.422","","","","","","ZONE_COUNTERS",70,71,24,23,78,77,13,13
"001:07:04.424","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.425","","","","","","TOTAL_ARENA_DISTANCES",49145,21529,23243,11448
"001:07:04.427","Info","2019-07-17 01:17:11","Service 'CHKGRY' : Execution end"
