"000:00:00.000","Info","2019-07-17 00:09:37","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7102 a6943 a6873 a7373"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.631","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.632","","","","","","ZONE_DISTANCES",17289,8421,15437,19358,15155,18015,3411,1421
"000:35:30.632","","","","","","ZONE_TIMERS",198.584,101.418,140.033,159.969,127.804,172.198,250.898,49.104
"000:35:30.633","","","","","","ZONE_COUNTERS",67,67,49,50,39,40,7,7
"000:35:30.634","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.634","","","","","","TOTAL_ARENA_DISTANCES",25710,34795,33169,4832
"000:40:30.704","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.705","","","","","","ZONE_DISTANCES",6172,20541,12873,25834,14580,18238,2912,7920
"000:40:30.705","","","","","","ZONE_TIMERS",65.580,234.492,94.576,205.497,138.558,161.515,27.285,272.788
"000:40:30.706","","","","","","ZONE_COUNTERS",57,58,53,54,40,41,16,16
"000:40:30.706","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.706","","","","","","TOTAL_ARENA_DISTANCES",26713,38707,32818,10832
"000:45:30.754","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.755","","","","","","ZONE_DISTANCES",16916,11902,21478,4290,19266,19222,3246,5876
"000:45:30.755","","","","","","ZONE_TIMERS",176.938,123.111,267.959,32.090,142.657,157.392,42.610,257.440
"000:45:30.756","","","","","","ZONE_COUNTERS",50,51,18,18,46,47,12,12
"000:45:30.756","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.757","","","","","","TOTAL_ARENA_DISTANCES",28818,25768,38488,9121
"000:50:30.815","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.815","","","","","","ZONE_DISTANCES",10674,18730,1827,22983,13841,18440,4495,708
"000:50:30.816","","","","","","ZONE_TIMERS",101.121,198.938,13.345,286.714,124.737,175.322,297.178,2.881
"000:50:30.816","","","","","","ZONE_COUNTERS",55,55,13,12,36,37,5,4
"000:50:30.817","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.817","","","","","","TOTAL_ARENA_DISTANCES",29405,24809,32281,5203
"000:55:30.879","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.880","","","","","","ZONE_DISTANCES",18205,10604,21506,1483,13085,18845,6934,2389
