"000:00:00.000","Info","2019-07-17 03:55:36","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7205 a7704 a7329 a7743"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.529","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.529","","","","","","ZONE_DISTANCES",24485,20696,22286,19893,13599,19518,12470,34218
"000:35:30.530","","","","","","ZONE_TIMERS",184.696,115.309,207.793,92.212,72.235,227.770,79.278,220.727
"000:35:30.531","","","","","","ZONE_COUNTERS",64,64,50,50,24,24,40,39
"000:35:30.531","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.531","","","","","","TOTAL_ARENA_DISTANCES",45181,42179,33117,46687
"000:40:30.568","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.568","","","","","","ZONE_DISTANCES",23546,32184,8686,10616,22185,24009,25361,20979
"000:40:30.569","","","","","","ZONE_TIMERS",95.856,204.182,29.100,270.938,102.875,197.163,156.617,143.421
"000:40:30.569","","","","","","ZONE_COUNTERS",74,75,20,20,49,50,59,59
"000:40:30.569","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.570","","","","","","TOTAL_ARENA_DISTANCES",55730,19302,46194,46340
"000:45:30.578","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.578","","","","","","ZONE_DISTANCES",19089,10392,13260,7712,34566,40702,21801,23885
"000:45:30.579","","","","","","ZONE_TIMERS",238.892,61.116,277.752,22.257,177.906,122.102,147.628,152.381
"000:45:30.579","","","","","","ZONE_COUNTERS",32,32,20,20,104,104,52,52
"000:45:30.580","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.580","","","","","","TOTAL_ARENA_DISTANCES",29480,20972,75268,45686
