"000:00:00.000","Info","2019-07-18 00:05:33","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7450 a7428 a8053 a6863"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.701","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.702","","","","","","ZONE_DISTANCES",22577,5653,14924,20765,21582,5885,21431,11729
"000:35:30.702","","","","","","ZONE_TIMERS",245.606,54.443,112.655,187.394,236.394,63.655,184.989,115.060
"000:35:30.703","","","","","","ZONE_COUNTERS",25,24,43,42,32,31,39,39
"000:35:30.704","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.704","","","","","","TOTAL_ARENA_DISTANCES",28231,35689,27467,33159
"000:40:30.783","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.784","","","","","","ZONE_DISTANCES",4009,22109,13786,21947,2472,22881,3641,27942
"000:40:30.784","","","","","","ZONE_TIMERS",35.459,264.622,111.691,188.390,26.073,274.008,33.645,266.436
"000:40:30.785","","","","","","ZONE_COUNTERS",32,31,39,39,21,21,19,19
"000:40:30.785","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.786","","","","","","TOTAL_ARENA_DISTANCES",26117,35733,25352,31583
"000:45:30.880","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.881","","","","","","ZONE_DISTANCES",16557,10378,20046,21983,21968,3918,27849,2056
"000:45:30.881","","","","","","ZONE_TIMERS",178.221,121.875,127.016,173.080,255.393,44.703,279.880,20.216
"000:45:30.882","","","","","","ZONE_COUNTERS",33,32,48,48,24,24,10,11
"000:45:30.882","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.883","","","","","","TOTAL_ARENA_DISTANCES",26935,42029,25886,29905
"000:50:30.964","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.964","","","","","","ZONE_DISTANCES",9495,19593,20643,19037,6971,19677,1544,27198
"000:50:30.965","","","","","","ZONE_TIMERS",99.197,200.886,167.024,133.059,77.190,222.893,14.087,285.996
"000:50:30.966","","","","","","ZONE_COUNTERS",41,41,46,45,36,36,9,10
"000:50:30.966","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
