"000:00:00.000","Info","2019-07-18 02:07:28","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7510 a7342 a7000 a7449"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.577","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.577","","","","","","ZONE_DISTANCES",57893,39812,13350,14727,7129,31484,24232,30782
"000:35:30.578","","","","","","ZONE_TIMERS",127.144,172.916,133.348,166.712,40.298,259.762,125.957,174.104
"000:35:30.578","","","","","","ZONE_COUNTERS",107,108,39,40,26,27,70,70
"000:35:30.579","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.579","","","","","","TOTAL_ARENA_DISTANCES",97705,28078,38613,55014
"000:40:30.622","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.623","","","","","","ZONE_DISTANCES",51364,44049,16950,15262,35212,2852,22093,34509
"000:40:30.623","","","","","","ZONE_TIMERS",141.146,158.898,178.135,121.909,281.960,18.085,109.647,190.398
"000:40:30.624","","","","","","ZONE_COUNTERS",114,114,42,42,24,24,63,64
"000:40:30.624","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.624","","","","","","TOTAL_ARENA_DISTANCES",95413,32212,38064,56603
"000:45:30.673","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.673","","","","","","ZONE_DISTANCES",43166,35600,12343,15586,990,33809,27240,31971
"000:45:30.674","","","","","","ZONE_TIMERS",130.373,169.677,120.554,179.496,7.641,292.409,133.276,166.774
"000:45:30.674","","","","","","ZONE_COUNTERS",91,90,33,33,14,14,82,82
"000:45:30.675","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.675","","","","","","TOTAL_ARENA_DISTANCES",78766,27929,34799,59211
"000:50:30.748","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:30.750","","","","","","ZONE_DISTANCES",36819,32971,11558,21784,30981,3587,29143,27050
"000:50:30.752","","","","","","ZONE_TIMERS",149.894,150.179,91.821,208.252,273.035,27.038,152.391,147.682
"000:50:30.753","","","","","","ZONE_COUNTERS",89,89,44,44,41,41,80,79
"000:50:30.755","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.757","","","","","","TOTAL_ARENA_DISTANCES",69790,33342,34568,56193
"000:55:30.803","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:30.803","","","","","","ZONE_DISTANCES",25801,25037,11172,18729,2068,32596,26639,30446
"000:55:30.804","","","","","","ZONE_TIMERS",129.104,170.950,84.693,215.362,15.819,284.236,135.084,164.971
"000:55:30.804","","","","","","ZONE_COUNTERS",64,65,42,42,26,26,83,83
"000:55:30.805","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.805","","","","","","TOTAL_ARENA_DISTANCES",50838,29901,34664,57085
"001:00:30.845","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:00:30.846","","","","","","ZONE_DISTANCES",30153,30015,12138,9950,31358,2531,26418,28082
"001:00:30.846","","","","","","ZONE_TIMERS",139.601,160.441,197.499,102.543,278.881,21.160,141.120,158.921
"001:00:30.847","","","","","","ZONE_COUNTERS",76,76,30,30,36,36,79,79
"001:00:30.847","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.847","","","","","","TOTAL_ARENA_DISTANCES",60168,22088,33889,54500
"001:00:30.903","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.904","","","","","","ZONE_DISTANCES",245196,207484,77511,96038,107738,106859,155765,182840
"001:00:30.905","","","","","","ZONE_TIMERS",817.270,983.064,806.059,994.276,897.642,902.693,797.483,1002.851
"001:00:30.905","","","","","","ZONE_COUNTERS",539,539,228,228,165,165,455,454
"001:00:30.906","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
