"000:00:00.000","Info","2019-07-18 02:07:22","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7653 a7695 a7385 a7626"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.610","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.611","","","","","","ZONE_DISTANCES",14854,12483,24823,25602,13212,20227,14888,24741
"000:35:30.612","","","","","","ZONE_TIMERS",257.318,42.761,151.242,148.837,114.492,185.588,101.400,198.680
"000:35:30.612","","","","","","ZONE_COUNTERS",37,37,58,58,37,37,38,37
"000:35:30.613","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.613","","","","","","TOTAL_ARENA_DISTANCES",27337,50425,33439,39629
"000:40:30.671","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.671","","","","","","ZONE_DISTANCES",12543,15711,17563,28869,15779,17990,25763,27674
"000:40:30.672","","","","","","ZONE_TIMERS",194.671,105.389,104.147,195.913,143.189,156.870,136.568,163.492
"000:40:30.673","","","","","","ZONE_COUNTERS",42,42,65,66,57,57,63,62
"000:40:30.673","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.674","","","","","","TOTAL_ARENA_DISTANCES",28254,46432,33769,53437
"000:45:30.756","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.756","","","","","","ZONE_DISTANCES",14835,11523,24600,21043,16713,19351,24956,24283
"000:45:30.757","","","","","","ZONE_TIMERS",239.191,60.893,159.729,140.355,126.266,173.818,152.220,147.864
"000:45:30.758","","","","","","ZONE_COUNTERS",38,38,63,63,55,54,56,56
"000:45:30.758","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.759","","","","","","TOTAL_ARENA_DISTANCES",26358,45643,36064,49239
"000:50:30.830","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:30.830","","","","","","ZONE_DISTANCES",9046,8041,20510,25291,19404,18230,24008,26069
"000:50:30.831","","","","","","ZONE_TIMERS",228.663,71.410,133.493,166.580,155.080,144.993,130.914,169.159
"000:50:30.832","","","","","","ZONE_COUNTERS",25,24,64,64,63,62,58,58
"000:50:30.832","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.833","","","","","","TOTAL_ARENA_DISTANCES",17087,45801,37634,50077
"000:55:30.887","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:55:30.888","","","","","","ZONE_DISTANCES",15457,11539,24265,24415,20198,17630,20502,18433
"000:55:30.889","","","","","","ZONE_TIMERS",242.972,57.085,142.855,157.202,158.614,141.443,201.779,98.277
"000:55:30.889","","","","","","ZONE_COUNTERS",38,38,65,66,71,71,43,43
"000:55:30.890","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.890","","","","","","TOTAL_ARENA_DISTANCES",26996,48680,37828,38935
"001:00:30.942","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:00:30.943","","","","","","ZONE_DISTANCES",16278,18490,21675,26604,18196,19540,21430,21741
"001:00:30.943","","","","","","ZONE_TIMERS",98.317,201.737,132.391,167.663,145.241,154.813,135.111,164.943
"001:00:30.944","","","","","","ZONE_COUNTERS",45,46,69,69,65,65,48,48
"001:00:30.945","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.945","","","","","","TOTAL_ARENA_DISTANCES",34769,48279,37736,43171
"001:00:31.014","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.015","","","","","","ZONE_DISTANCES",83013,77787,133436,151824,103502,112968,131547,142941
"001:00:31.016","","","","","","ZONE_TIMERS",1261.134,539.284,823.867,976.551,842.891,957.527,858.001,942.417
"001:00:31.016","","","","","","ZONE_COUNTERS",222,223,383,382,345,344,303,302
"001:00:31.017","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.017","","","","","","TOTAL_ARENA_DISTANCES",160801,285260,216470,274488
"001:03:03.111","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:03:03.112","","","","","","ZONE_DISTANCES",0,0,5464,5645,3143,4645,5750,5276
"001:03:03.112","","","","","","ZONE_TIMERS",60.071,0.000,29.158,30.913,23.894,36.177,31.975,28.096
"001:03:03.113","","","","","","ZONE_COUNTERS",1,0,16,16,11,11,14,14
"001:03:03.114","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.115","","","","","","TOTAL_ARENA_DISTANCES",0,11109,7788,11026
"001:04:03.171","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:04:03.172","","","","","","ZONE_DISTANCES",0,0,4691,5182,3971,4182,6214,6387
"001:04:03.173","","","","","","ZONE_TIMERS",60.060,0.000,28.539,31.521,31.359,28.701,29.669,30.391
"001:04:03.174","","","","","","ZONE_COUNTERS",1,0,15,15,11,12,14,15
"001:04:03.174","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.175","","","","","","TOTAL_ARENA_DISTANCES",0,9872,8153,12601
"001:05:03.240","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:05:03.241","","","","","","ZONE_DISTANCES",0,0,4245,5168,3430,4601,7430,7113
"001:05:03.241","","","","","","ZONE_TIMERS",60.068,0.000,24.781,35.286,25.847,34.221,33.204,26.864
"001:05:03.242","","","","","","ZONE_COUNTERS",1,0,13,12,11,12,17,17
"001:05:03.243","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.243","","","","","","TOTAL_ARENA_DISTANCES",0,9414,8031,14543
"001:06:03.316","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:06:03.317","","","","","","ZONE_DISTANCES",0,0,4539,4809,4244,4548,6309,6091
"001:06:03.318","","","","","","ZONE_TIMERS",60.076,0.000,25.864,34.211,29.688,30.387,30.680,29.395
"001:06:03.319","","","","","","ZONE_COUNTERS",1,0,12,12,13,14,16,15
"001:06:03.320","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.320","","","","","","TOTAL_ARENA_DISTANCES",0,9348,8792,12401
"001:07:03.386","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:07:03.387","","","","","","ZONE_DISTANCES",0,0,5067,5540,3449,4560,6399,5520
"001:07:03.388","","","","","","ZONE_TIMERS",60.069,0.000,27.675,32.394,25.459,34.609,35.126,24.943
"001:07:03.389","","","","","","ZONE_COUNTERS",1,0,13,14,12,12,15,14
"001:07:03.389","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.390","","","","","","TOTAL_ARENA_DISTANCES",0,10606,8009,11918
"001:07:03.476","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.476","","","","","","ZONE_DISTANCES",0,0,24006,26344,18237,22536,32102,30387
"001:07:03.477","","","","","","ZONE_TIMERS",300.347,0.000,136.018,164.328,136.249,164.097,160.656,139.691
"001:07:03.478","","","","","","ZONE_COUNTERS",1,0,67,67,58,57,74,73
"001:07:03.479","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.479","","","","","","TOTAL_ARENA_DISTANCES",0,50349,40773,62489
"001:07:03.480","Info","2019-07-18 03:14:26","Service 'ORAMAG' : Execution end"
