"000:00:00.000","Info","2019-06-25 02:02:45","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a6863 a7450 a7428 a8053"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.647","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.647","","","","","","ZONE_DISTANCES",31278,45948,28063,32597,25360,73476,15283,22067
"000:35:30.648","","","","","","ZONE_TIMERS",71.202,228.887,142.389,157.701,54.636,245.454,98.779,201.311
"000:35:30.648","","","","","","ZONE_COUNTERS",94,94,64,65,83,83,60,61
"000:35:30.649","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.649","","","","","","TOTAL_ARENA_DISTANCES",77226,60660,98835,37351
"000:40:30.800","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.800","","","","","","ZONE_DISTANCES",32865,39618,29822,33815,56764,30708,19360,21102
"000:40:30.801","","","","","","ZONE_TIMERS",100.806,199.346,143.903,156.248,223.132,77.020,154.177,145.975
"000:40:30.801","","","","","","ZONE_COUNTERS",91,92,74,74,97,97,59,59
"000:40:30.802","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.802","","","","","","TOTAL_ARENA_DISTANCES",72483,63637,87472,40461
"000:45:30.920","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:30.921","","","","","","ZONE_DISTANCES",32773,43976,24874,29346,30374,41235,16117,20771
"000:45:30.921","","","","","","ZONE_TIMERS",77.996,222.124,126.098,174.021,101.813,198.307,110.044,190.075
"000:45:30.922","","","","","","ZONE_COUNTERS",92,92,71,70,82,82,60,59
"000:45:30.922","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.922","","","","","","TOTAL_ARENA_DISTANCES",76749,54220,71610,36889
"000:50:31.051","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.052","","","","","","ZONE_DISTANCES",48590,42712,21213,28085,21918,25241,17238,19154
"000:50:31.052","","","","","","ZONE_TIMERS",139.022,161.109,129.480,170.650,152.173,147.957,144.969,155.161
"000:50:31.053","","","","","","ZONE_COUNTERS",108,108,57,56,52,53,53,53
"000:50:31.053","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.054","","","","","","TOTAL_ARENA_DISTANCES",91303,49298,47159,36392
"000:55:31.195","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.195","","","","","","ZONE_DISTANCES",40058,43109,24700,25353,30317,36161,18626,14031
"000:55:31.196","","","","","","ZONE_TIMERS",92.106,208.036,144.697,155.445,117.317,182.825,162.342,137.800
"000:55:31.196","","","","","","ZONE_COUNTERS",94,95,63,62,75,75,50,50
"000:55:31.197","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.197","","","","","","TOTAL_ARENA_DISTANCES",83166,50053,66478,32657
"001:00:31.318","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.318","","","","","","ZONE_DISTANCES",52076,39360,22211,30638,27697,26978,15834,13440
"001:00:31.318","","","","","","ZONE_TIMERS",153.632,146.490,120.332,179.790,176.321,123.801,164.380,135.742
"001:00:31.319","","","","","","ZONE_COUNTERS",105,106,67,67,60,60,45,45
"001:00:31.319","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.320","","","","","","TOTAL_ARENA_DISTANCES",91436,52849,54675,29274
"001:00:31.389","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.389","","","","","","ZONE_DISTANCES",237640,254723,150883,179834,192430,233799,102458,110565
"001:00:31.390","","","","","","ZONE_TIMERS",634.766,1166.000,806.902,993.864,825.394,975.372,834.694,966.072
"001:00:31.391","","","","","","ZONE_COUNTERS",583,583,392,393,447,447,324,325
"001:00:31.391","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.391","","","","","","TOTAL_ARENA_DISTANCES",492363,330717,426229,213023
"001:03:04.044","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:03:04.044","","","","","","ZONE_DISTANCES",6198,10070,1041,18033,2966,13195,2611,3982
"001:03:04.045","","","","","","ZONE_TIMERS",9.048,51.031,2.455,57.624,8.197,51.882,19.356,40.723
"001:03:04.045","","","","","","ZONE_COUNTERS",24,25,18,18,13,13,13,13
"001:03:04.046","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.046","","","","","","TOTAL_ARENA_DISTANCES",16268,19074,16162,6593
"001:04:04.188","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:04:04.189","","","","","","ZONE_DISTANCES",10280,11492,14189,1242,3711,6377,4227,1851
"001:04:04.189","","","","","","ZONE_TIMERS",23.489,36.654,56.518,3.626,22.851,37.293,45.304,14.840
