"000:00:00.000","Info","2019-06-25 02:03:15","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a6818 a6860 a7283 a6944"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.636","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.637","","","","","","ZONE_DISTANCES",4676,5892,35464,32915,17154,21187,14986,14358
"000:35:30.637","","","","","","ZONE_TIMERS",273.864,26.203,165.409,134.658,136.633,163.434,141.864,158.202
"000:35:30.638","","","","","","ZONE_COUNTERS",11,10,85,84,58,59,46,46
"000:35:30.638","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.638","","","","","","TOTAL_ARENA_DISTANCES",10569,68379,38340,29344
"000:40:30.692","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.692","","","","","","ZONE_DISTANCES",12496,12371,27480,27613,18419,24922,10406,16277
"000:40:30.693","","","","","","ZONE_TIMERS",107.236,192.819,170.184,129.870,119.228,180.827,121.870,178.184
"000:40:30.693","","","","","","ZONE_COUNTERS",25,25,74,74,48,49,42,41
"000:40:30.694","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.694","","","","","","TOTAL_ARENA_DISTANCES",24867,55093,43341,26683
"000:45:30.787","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.788","","","","","","ZONE_DISTANCES",7716,3275,26676,23059,38845,5015,25192,9260
"000:45:30.788","","","","","","ZONE_TIMERS",183.009,117.085,164.961,135.133,266.624,33.470,250.876,49.218
"000:45:30.788","","","","","","ZONE_COUNTERS",8,8,70,71,34,34,52,51
"000:45:30.789","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.789","","","","","","TOTAL_ARENA_DISTANCES",10990,49734,43860,34452
"000:50:30.881","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.881","","","","","","ZONE_DISTANCES",5383,12159,28695,34607,6854,38912,8451,22327
"000:50:30.882","","","","","","ZONE_TIMERS",47.401,252.692,135.135,164.958,49.341,250.752,70.664,229.429
"000:50:30.882","","","","","","ZONE_COUNTERS",20,20,90,90,77,77,68,68
"000:50:30.883","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.883","","","","","","TOTAL_ARENA_DISTANCES",17542,63302,45766,30778
"000:55:30.944","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.944","","","","","","ZONE_DISTANCES",7539,3572,43789,34177,37566,16174,19578,10384
"000:55:30.945","","","","","","ZONE_TIMERS",261.274,38.788,166.720,133.342,197.543,102.519,184.638,115.424
"000:55:30.945","","","","","","ZONE_COUNTERS",9,9,112,111,103,104,53,53
"000:55:30.946","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.946","","","","","","TOTAL_ARENA_DISTANCES",11111,77967,53740,29962
"001:00:31.002","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:31.003","","","","","","ZONE_DISTANCES",12999,10095,38438,34685,13492,31854,11014,14131
