"000:00:00.000","Info","2019-06-25 04:08:30","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7617 a7195 a7650 a7151"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.723","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.724","","","","","","ZONE_DISTANCES",14312,13625,18616,19406,23378,26509,22497,5415
"000:35:30.724","","","","","","ZONE_TIMERS",153.503,146.566,145.282,154.787,139.714,160.355,268.529,31.540
"000:35:30.725","","","","","","ZONE_COUNTERS",32,32,39,40,51,52,14,13
"000:35:30.725","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.726","","","","","","TOTAL_ARENA_DISTANCES",27938,38022,49887,27911
"000:40:30.859","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.859","","","","","","ZONE_DISTANCES",11727,10717,14896,18604,25228,24998,15343,402
"000:40:30.860","","","","","","ZONE_TIMERS",128.695,171.440,119.394,180.740,151.650,148.485,297.482,2.652
"000:40:30.860","","","","","","ZONE_COUNTERS",25,25,37,37,51,52,6,5
"000:40:30.861","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.861","","","","","","TOTAL_ARENA_DISTANCES",22444,33499,50226,15745
"000:45:31.022","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:31.023","","","","","","ZONE_DISTANCES",8914,8464,22595,22470,21661,21546,7260,66
"000:45:31.023","","","","","","ZONE_TIMERS",150.020,150.143,185.926,114.236,166.674,133.488,299.772,0.391
"000:45:31.024","","","","","","ZONE_COUNTERS",21,21,51,50,50,50,3,2
"000:45:31.024","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.025","","","","","","TOTAL_ARENA_DISTANCES",17378,45065,43206,7326
"000:50:31.181","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.181","","","","","","ZONE_DISTANCES",6551,8307,13374,16409,19763,20317,6449,0
"000:50:31.182","","","","","","ZONE_TIMERS",82.094,218.064,108.683,191.475,138.114,162.043,300.158,0.000
"000:50:31.182","","","","","","ZONE_COUNTERS",15,16,37,36,44,43,1,0
"000:50:31.183","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.183","","","","","","TOTAL_ARENA_DISTANCES",14858,29783,40080,6450
"000:55:31.313","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.314","","","","","","ZONE_DISTANCES",15187,10495,14530,13870,17689,16902,3362,0
"000:55:31.314","","","","","","ZONE_TIMERS",148.567,151.564,168.540,131.591,169.840,130.292,300.132,0.000
"000:55:31.315","","","","","","ZONE_COUNTERS",25,25,34,34,36,36,1,0
"000:55:31.315","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.315","","","","","","TOTAL_ARENA_DISTANCES",25682,28401,34591,3362
"001:00:31.474","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.475","","","","","","ZONE_DISTANCES",13695,13131,10197,17591,16628,13942,16284,421
"001:00:31.475","","","","","","ZONE_TIMERS",123.590,176.570,100.119,200.041,158.426,141.734,295.774,4.386
"001:00:31.475","","","","","","ZONE_COUNTERS",30,29,26,27,37,38,4,3
"001:00:31.476","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.476","","","","","","TOTAL_ARENA_DISTANCES",26826,27787,30570,16705
"001:00:31.547","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.547","","","","","","ZONE_DISTANCES",70386,64739,94208,108350,124347,124214,71195,6304
"001:00:31.548","","","","","","ZONE_TIMERS",786.478,1014.348,827.947,972.879,924.421,876.405,1761.855,38.971
"001:00:31.548","","","","","","ZONE_COUNTERS",146,145,221,222,267,268,24,23
"001:00:31.549","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.549","","","","","","TOTAL_ARENA_DISTANCES",135125,202557,248560,77499
"001:03:04.082","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:03:04.083","","","","","","ZONE_DISTANCES",0,77,3991,2143,5553,5718,1625,0
"001:03:04.083","","","","","","ZONE_TIMERS",0.000,60.062,48.141,11.920,35.314,24.747,60.062,0.000
"001:03:04.084","","","","","","ZONE_COUNTERS",0,1,7,6,18,18,1,0
"001:03:04.084","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.085","","","","","","TOTAL_ARENA_DISTANCES",77,6135,11271,1625
"001:04:04.243","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:04:04.244","","","","","","ZONE_DISTANCES",2408,2685,3282,3693,5053,4532,2458,0
"001:04:04.244","","","","","","ZONE_TIMERS",26.773,33.387,26.391,33.769,27.156,33.004,60.161,0.000
"001:04:04.245","","","","","","ZONE_COUNTERS",7,8,8,7,14,14,1,0
"001:04:04.245","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.246","","","","","","TOTAL_ARENA_DISTANCES",5093,6975,9585,2458
"001:05:04.381","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:05:04.381","","","","","","ZONE_DISTANCES",1775,2440,3654,2235,4586,4341,1607,0
"001:05:04.382","","","","","","ZONE_TIMERS",27.872,32.264,43.184,16.953,36.495,23.642,60.137,0.000
"001:05:04.383","","","","","","ZONE_COUNTERS",7,7,7,7,13,12,1,0
"001:05:04.383","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.383","","","","","","TOTAL_ARENA_DISTANCES",4215,5889,8927,1607
"001:06:04.524","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:06:04.524","","","","","","ZONE_DISTANCES",1518,1969,2128,2844,3577,2934,2080,0
"001:06:04.525","","","","","","ZONE_TIMERS",27.910,32.232,24.647,35.494,31.452,28.690,60.142,0.000
"001:06:04.526","","","","","","ZONE_COUNTERS",6,5,5,6,9,8,1,0
"001:06:04.526","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.526","","","","","","TOTAL_ARENA_DISTANCES",3488,4972,6511,2080
"001:07:04.699","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:07:04.699","","","","","","ZONE_DISTANCES",2274,2026,3361,1999,3075,3377,995,0
"001:07:04.700","","","","","","ZONE_TIMERS",37.974,22.200,39.570,20.604,35.898,24.276,60.174,0.000
"001:07:04.700","","","","","","ZONE_COUNTERS",6,6,6,6,10,9,1,0
"001:07:04.701","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.701","","","","","","TOTAL_ARENA_DISTANCES",4300,5360,6452,995
"001:07:04.778","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:04.778","","","","","","ZONE_DISTANCES",7975,9197,16416,12914,21844,20902,8765,0
"001:07:04.779","","","","","","ZONE_TIMERS",120.531,180.147,181.936,118.742,166.317,134.361,300.679,0.000
"001:07:04.780","","","","","","ZONE_COUNTERS",24,25,31,30,61,60,1,0
"001:07:04.780","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.780","","","","","","TOTAL_ARENA_DISTANCES",17172,29330,42746,8765
"001:07:04.781","Info","2019-06-25 05:15:35","Service 'GRYCHK' : Execution end"
