"000:00:00.000","Info","2019-06-25 02:03:09","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7331 a7103 a7524 a7304"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.620","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.620","","","","","","ZONE_DISTANCES",29543,34648,18087,18788,14247,16940,28261,18324
"000:35:30.620","","","","","","ZONE_TIMERS",119.043,181.017,172.377,127.683,136.759,163.301,191.434,108.625
"000:35:30.621","","","","","","ZONE_COUNTERS",74,75,43,42,35,34,52,52
"000:35:30.621","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.622","","","","","","TOTAL_ARENA_DISTANCES",64190,36875,31187,46586
"000:40:30.689","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.690","","","","","","ZONE_DISTANCES",18325,19694,16612,21550,8341,22472,15977,20915
"000:40:30.690","","","","","","ZONE_TIMERS",83.298,216.771,89.965,210.104,51.796,248.273,75.375,224.694
"000:40:30.691","","","","","","ZONE_COUNTERS",44,45,53,52,34,34,42,42
"000:40:30.691","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.691","","","","","","TOTAL_ARENA_DISTANCES",38020,38161,30814,36892
"000:45:30.762","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.762","","","","","","ZONE_DISTANCES",20208,20667,26158,18490,19634,14115,28258,13657
"000:45:30.763","","","","","","ZONE_TIMERS",158.809,141.262,172.959,127.113,183.123,116.949,202.585,97.487
"000:45:30.763","","","","","","ZONE_COUNTERS",50,51,61,60,39,40,51,51
"000:45:30.764","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.764","","","","","","TOTAL_ARENA_DISTANCES",40875,44648,33749,41916
"000:50:30.841","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
