"000:00:00.000","Info","2019-06-25 02:02:40","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7449 a7510 a7342 a7000"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.586","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.587","","","","","","ZONE_DISTANCES",16091,35797,21498,22643,311,6664,3008,6098
"000:35:30.588","","","","","","ZONE_TIMERS",81.556,218.501,154.788,145.269,3.007,297.050,199.983,100.074
"000:35:30.588","","","","","","ZONE_COUNTERS",41,42,36,35,1,1,8,9
"000:35:30.589","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.589","","","","","","TOTAL_ARENA_DISTANCES",51887,44142,6975,9105
"000:40:30.686","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.686","","","","","","ZONE_DISTANCES",19770,33062,22079,25192,2543,9548,14913,9989
"000:40:30.687","","","","","","ZONE_TIMERS",79.831,220.268,121.709,178.389,23.391,276.708,132.814,167.284
"000:40:30.687","","","","","","ZONE_COUNTERS",54,55,34,34,7,8,40,40
"000:40:30.688","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.688","","","","","","TOTAL_ARENA_DISTANCES",52833,47271,12092,24903
"000:45:30.804","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.804","","","","","","ZONE_DISTANCES",22626,30920,31739,20339,14909,18558,12907,20872
"000:45:30.805","","","","","","ZONE_TIMERS",126.948,173.169,199.122,100.995,145.321,154.796,125.642,174.476
"000:45:30.806","","","","","","ZONE_COUNTERS",53,53,45,46,28,29,54,54
"000:45:30.806","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.807","","","","","","TOTAL_ARENA_DISTANCES",53546,52078,33466,33778
"000:50:30.882","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.883","","","","","","ZONE_DISTANCES",18394,29926,18514,28353,2963,21245,21881,16516
"000:50:30.884","","","","","","ZONE_TIMERS",79.650,220.428,90.831,209.246,18.805,281.273,169.337,130.741
"000:50:30.884","","","","","","ZONE_COUNTERS",49,48,41,41,13,14,50,51
"000:50:30.885","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.885","","","","","","TOTAL_ARENA_DISTANCES",48320,46866,24208,38397
"000:55:30.995","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:30.996","","","","","","ZONE_DISTANCES",31227,23230,32438,26519,22346,6246,19859,16752
"000:55:30.997","","","","","","ZONE_TIMERS",211.183,88.930,181.447,118.665,254.700,45.412,164.549,135.563
"000:55:30.997","","","","","","ZONE_COUNTERS",67,66,81,81,10,10,36,36
"000:55:30.998","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.998","","","","","","TOTAL_ARENA_DISTANCES",54458,58957,28591,36611
"001:00:31.095","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:00:31.096","","","","","","ZONE_DISTANCES",15919,30695,28341,29464,5752,28336,22309,17197
"001:00:31.096","","","","","","ZONE_TIMERS",63.476,236.623,138.219,161.879,33.062,267.037,165.889,134.210
"001:00:31.097","","","","","","ZONE_COUNTERS",52,52,78,78,15,15,49,49
"001:00:31.098","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.098","","","","","","TOTAL_ARENA_DISTANCES",46614,57806,34088,39506
"001:00:31.179","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.179","","","","","","ZONE_DISTANCES",124027,183630,154609,152510,48824,90597,94877,87424
"001:00:31.180","","","","","","ZONE_TIMERS",642.645,1157.928,886.126,914.446,478.287,1322.285,958.216,842.357
"001:00:31.181","","","","","","ZONE_COUNTERS",313,314,313,312,73,73,235,236
"001:00:31.181","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.182","","","","","","TOTAL_ARENA_DISTANCES",307657,307120,139421,182301
"001:03:03.553","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:03:03.554","","","","","","ZONE_DISTANCES",5868,913,8389,9972,13,0,44,7395
"001:03:03.555","","","","","","ZONE_TIMERS",55.170,4.949,31.064,29.055,60.119,0.000,0.220,59.899
"001:03:03.557","","","","","","ZONE_COUNTERS",4,4,32,32,1,0,1,1
"001:03:03.558","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.558","","","","","","TOTAL_ARENA_DISTANCES",6782,18362,13,7439
"001:04:03.664","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:04:03.665","","","","","","ZONE_DISTANCES",2133,5235,8435,5895,0,0,137,8108
"001:04:03.666","","","","","","ZONE_TIMERS",16.513,43.598,31.369,28.742,60.112,0.000,0.381,59.730
"001:04:03.666","","","","","","ZONE_COUNTERS",3,3,24,24,1,0,3,4
"001:04:03.667","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.667","","","","","","TOTAL_ARENA_DISTANCES",7367,14329,0,8245
"001:05:03.749","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:05:03.750","","","","","","ZONE_DISTANCES",3715,3926,4237,7177,1387,701,0,7685
"001:05:03.751","","","","","","ZONE_TIMERS",36.106,23.978,23.394,36.691,57.419,2.665,0.000,60.085
"001:05:03.752","","","","","","ZONE_COUNTERS",8,8,15,15,3,2,0,1
"001:05:03.752","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.753","","","","","","TOTAL_ARENA_DISTANCES",7641,11414,2089,7685
"001:06:03.845","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:06:03.848","","","","","","ZONE_DISTANCES",2671,6661,3782,5610,2590,3746,0,7271
"001:06:03.851","","","","","","ZONE_TIMERS",11.288,48.806,23.269,36.825,16.753,43.341,0.000,60.095
"001:06:03.853","","","","","","ZONE_COUNTERS",9,9,8,8,2,2,0,1
"001:06:03.855","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.857","","","","","","TOTAL_ARENA_DISTANCES",9332,9392,6335,7271
"001:07:03.960","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:07:03.961","","","","","","ZONE_DISTANCES",1064,7593,2691,6762,1742,3212,0,5142
"001:07:03.961","","","","","","ZONE_TIMERS",4.679,55.436,15.419,44.695,17.394,42.720,0.000,60.115
"001:07:03.962","","","","","","ZONE_COUNTERS",4,5,8,8,3,4,0,1
"001:07:03.963","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.963","","","","","","TOTAL_ARENA_DISTANCES",8657,9452,4955,5142
"001:07:04.052","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:04.053","","","","","","ZONE_DISTANCES",15451,24328,27534,35416,5732,7659,181,35601
"001:07:04.054","","","","","","ZONE_TIMERS",123.758,176.768,124.516,176.010,211.799,88.727,0.602,299.924
"001:07:04.055","","","","","","ZONE_COUNTERS",26,27,85,85,7,7,4,4
"001:07:04.055","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.056","","","","","","TOTAL_ARENA_DISTANCES",39779,62950,13391,35783
"001:07:04.056","Info","2019-06-25 03:09:45","Service 'REDYEL' : Execution end"
