"000:00:00.000","Info","2019-06-24 23:56:20","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7626 a7653 a7695 a7385"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.797","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.797","","","","","","ZONE_DISTANCES",17795,14893,24245,26797,20927,21996,18230,18995
"000:35:30.798","","","","","","ZONE_TIMERS",153.355,146.713,109.920,190.148,120.214,179.854,142.088,157.980
"000:35:30.799","","","","","","ZONE_COUNTERS",30,30,62,62,49,49,72,71
"000:35:30.799","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.799","","","","","","TOTAL_ARENA_DISTANCES",32688,51042,42923,37225
"000:40:30.876","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.877","","","","","","ZONE_DISTANCES",16593,13506,27570,26508,19623,16223,17422,19623
"000:40:30.877","","","","","","ZONE_TIMERS",167.434,132.644,160.316,139.762,225.747,74.331,144.900,155.178
"000:40:30.878","","","","","","ZONE_COUNTERS",39,38,63,63,37,37,46,46
"000:40:30.878","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.879","","","","","","TOTAL_ARENA_DISTANCES",30100,54079,35846,37045
"000:45:30.980","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.980","","","","","","ZONE_DISTANCES",14938,18863,28236,31580,4693,5156,22434,22236
"000:45:30.981","","","","","","ZONE_TIMERS",120.146,179.957,98.495,201.607,13.246,286.857,140.389,159.713
"000:45:30.981","","","","","","ZONE_COUNTERS",38,37,84,84,10,10,67,68
"000:45:30.982","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.982","","","","","","TOTAL_ARENA_DISTANCES",33801,59816,9848,44670
