"000:00:00.000","Info","2019-06-26 03:15:33","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7330 a7743 a7205 a7704"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.700","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.700","","","","","","ZONE_DISTANCES",17452,19674,29267,15796,42898,38649,16160,12221
"000:35:30.701","","","","","","ZONE_TIMERS",129.682,170.426,201.196,98.912,150.649,149.459,217.824,82.284
"000:35:30.702","","","","","","ZONE_COUNTERS",51,52,67,67,126,125,38,38
"000:35:30.703","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.704","","","","","","TOTAL_ARENA_DISTANCES",37126,45062,81547,28381
"000:40:30.868","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.869","","","","","","ZONE_DISTANCES",16959,20632,21718,24650,32376,30077,15981,14446
"000:40:30.869","","","","","","ZONE_TIMERS",134.440,165.727,141.859,158.309,172.278,127.889,203.838,96.329
"000:40:30.870","","","","","","ZONE_COUNTERS",45,45,66,65,87,86,39,40
"000:40:30.871","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.871","","","","","","TOTAL_ARENA_DISTANCES",37592,46368,62453,30427
"000:45:31.015","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:31.015","","","","","","ZONE_DISTANCES",16766,16804,21706,20337,24544,27407,16071,14080
"000:45:31.016","","","","","","ZONE_TIMERS",135.323,164.822,157.458,142.687,133.609,166.536,176.813,123.333
"000:45:31.016","","","","","","ZONE_COUNTERS",47,47,58,58,68,68,38,38
"000:45:31.017","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.017","","","","","","TOTAL_ARENA_DISTANCES",33570,42043,51951,30151
"000:50:31.183","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.186","","","","","","ZONE_DISTANCES",16893,17922,17662,22927,28120,26917,12428,12145
"000:50:31.188","","","","","","ZONE_TIMERS",146.901,153.266,130.131,170.036,158.848,141.319,205.552,94.615
"000:50:31.190","","","","","","ZONE_COUNTERS",47,48,57,57,75,76,33,32
"000:50:31.192","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.194","","","","","","TOTAL_ARENA_DISTANCES",34816,40589,55036,24573
"000:55:31.377","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.380","","","","","","ZONE_DISTANCES",15685,17570,21933,19372,25184,23495,12022,11005
"000:55:31.382","","","","","","ZONE_TIMERS",127.380,172.813,158.878,141.315,147.527,152.666,206.424,93.769
"000:55:31.384","","","","","","ZONE_COUNTERS",47,47,57,56,63,64,30,29
"000:55:31.386","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.387","","","","","","TOTAL_ARENA_DISTANCES",33255,41305,48679,23027
"001:00:31.564","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.564","","","","","","ZONE_DISTANCES",16046,16468,18729,23009,21479,18482,13957,11666
"001:00:31.565","","","","","","ZONE_TIMERS",152.430,147.756,137.869,162.318,204.768,95.418,224.754,75.433
"001:00:31.566","","","","","","ZONE_COUNTERS",43,43,52,52,55,56,32,31
"001:00:31.566","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.566","","","","","","TOTAL_ARENA_DISTANCES",32514,41738,39961,25624
"001:00:31.644","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.644","","","","","","ZONE_DISTANCES",99801,109070,131015,126091,174601,165027,86619,75563
"001:00:31.646","","","","","","ZONE_TIMERS",826.159,974.820,927.393,873.586,967.682,833.296,1235.214,565.765
"001:00:31.648","","","","","","ZONE_COUNTERS",278,279,353,354,472,472,207,206
"001:00:31.650","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.652","","","","","","TOTAL_ARENA_DISTANCES",208872,257106,339628,162183
"001:03:04.438","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:03:04.439","","","","","","ZONE_DISTANCES",3473,2773,3967,5299,2833,3606,1752,1333
"001:03:04.439","","","","","","ZONE_TIMERS",29.476,30.607,25.048,35.035,18.857,41.225,55.753,4.330
"001:03:04.440","","","","","","ZONE_COUNTERS",13,13,15,14,7,7,5,4
"001:03:04.441","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.441","","","","","","TOTAL_ARENA_DISTANCES",6245,9266,6439,3085
"001:04:04.606","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:04:04.606","","","","","","ZONE_DISTANCES",3609,2713,4373,5517,5996,3061,3015,2144
"001:04:04.607","","","","","","ZONE_TIMERS",37.688,22.478,27.505,32.661,43.355,16.811,49.456,10.711
"001:04:04.608","","","","","","ZONE_COUNTERS",13,12,16,16,11,12,7,6
"001:04:04.608","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.609","","","","","","TOTAL_ARENA_DISTANCES",6322,9890,9056,5159
"001:05:04.809","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:05:04.809","","","","","","ZONE_DISTANCES",2654,2839,4470,4780,5004,5617,4395,3071
"001:05:04.810","","","","","","ZONE_TIMERS",25.775,34.427,27.720,32.482,26.029,34.173,41.880,18.323
"001:05:04.810","","","","","","ZONE_COUNTERS",8,8,14,15,13,14,10,9
"001:05:04.811","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.811","","","","","","TOTAL_ARENA_DISTANCES",5494,9250,10621,7467
"001:06:04.963","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:06:04.964","","","","","","ZONE_DISTANCES",1938,4072,4155,4631,4663,3124,3871,2300
"001:06:04.964","","","","","","ZONE_TIMERS",20.263,39.891,28.941,31.212,41.261,18.893,42.595,17.559
"001:06:04.965","","","","","","ZONE_COUNTERS",10,11,13,14,9,9,9,9
"001:06:04.966","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.966","","","","","","TOTAL_ARENA_DISTANCES",6009,8786,7787,6171
"001:07:05.134","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:07:05.134","","","","","","ZONE_DISTANCES",2928,3230,4781,4795,3516,3851,2600,1886
"001:07:05.135","","","","","","ZONE_TIMERS",28.091,32.079,30.562,29.607,12.722,47.448,23.048,37.121
"001:07:05.135","","","","","","ZONE_COUNTERS",12,12,15,16,8,8,6,6
"001:07:05.136","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:05.136","","","","","","TOTAL_ARENA_DISTANCES",6158,9576,7367,4486
"001:07:05.222","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:05.222","","","","","","ZONE_DISTANCES",14602,15627,21746,25022,22012,19259,15633,10734
"001:07:05.223","","","","","","ZONE_TIMERS",141.294,159.484,139.778,161.000,142.227,158.552,212.733,88.046
"001:07:05.223","","","","","","ZONE_COUNTERS",54,54,72,72,47,47,34,33
"001:07:05.224","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:05.224","","","","","","TOTAL_ARENA_DISTANCES",30229,46767,41270,26367
"001:07:05.225","Info","2019-06-26 04:22:38","Service 'CHKGRY' : Execution end"
