"000:00:00.000","Info","2019-06-26 05:01:56","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7146 a7606 a6880 a8104"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.651","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.652","","","","","","ZONE_DISTANCES",14601,30558,20913,31060,25447,32737,2895,4910
"000:35:30.652","","","","","","ZONE_TIMERS",89.263,210.812,113.959,186.116,126.479,173.597,14.552,285.523
"000:35:30.653","","","","","","ZONE_COUNTERS",52,52,51,50,63,64,9,9
"000:35:30.653","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.653","","","","","","TOTAL_ARENA_DISTANCES",45159,51973,58184,7805
"000:40:30.706","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.706","","","","","","ZONE_DISTANCES",29341,25224,16712,17656,26827,34534,4895,7392
"000:40:30.707","","","","","","ZONE_TIMERS",158.601,141.453,90.764,209.290,119.108,180.945,88.639,211.414
"000:40:30.707","","","","","","ZONE_COUNTERS",72,72,39,39,64,65,10,10
"000:40:30.708","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.708","","","","","","TOTAL_ARENA_DISTANCES",54565,34368,61360,12287
"000:45:30.778","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.778","","","","","","ZONE_DISTANCES",27630,33370,16137,13117,16208,32607,651,2453
"000:45:30.779","","","","","","ZONE_TIMERS",136.600,163.471,219.645,80.426,76.083,223.988,100.472,199.599
"000:45:30.779","","","","","","ZONE_COUNTERS",94,95,35,36,45,46,2,2
"000:45:30.780","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.780","","","","","","TOTAL_ARENA_DISTANCES",61000,29254,48815,3104
"000:50:30.856","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:30.856","","","","","","ZONE_DISTANCES",33960,26006,14111,13435,24388,27123,12724,6237
"000:50:30.856","","","","","","ZONE_TIMERS",166.415,133.662,102.049,198.027,135.904,164.173,253.600,46.477
"000:50:30.857","","","","","","ZONE_COUNTERS",97,98,31,31,48,49,26,26
"000:50:30.857","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.857","","","","","","TOTAL_ARENA_DISTANCES",59965,27546,51511,18961
"000:55:30.910","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:30.910","","","","","","ZONE_DISTANCES",26672,27833,12937,15893,22457,30590,3519,19689
"000:55:30.910","","","","","","ZONE_TIMERS",148.330,151.723,161.515,138.537,106.081,193.972,27.553,272.500
"000:55:30.911","","","","","","ZONE_COUNTERS",71,72,37,37,48,49,14,14
"000:55:30.911","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.912","","","","","","TOTAL_ARENA_DISTANCES",54505,28830,53047,23208
"001:00:30.979","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:00:30.979","","","","","","ZONE_DISTANCES",28740,23546,14605,12274,21069,26765,5057,5521
"001:00:30.979","","","","","","ZONE_TIMERS",159.318,140.750,113.756,186.312,116.306,183.763,76.960,223.108
"001:00:30.980","","","","","","ZONE_COUNTERS",65,66,38,38,52,52,9,9
"001:00:30.980","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.980","","","","","","TOTAL_ARENA_DISTANCES",52286,26879,47833,10578
"001:00:31.080","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.081","","","","","","ZONE_DISTANCES",160944,166537,95415,103435,136396,184356,29741,46202
"001:00:31.081","","","","","","ZONE_TIMERS",858.529,941.879,801.698,998.710,679.969,1120.439,561.785,1238.623
"001:00:31.082","","","","","","ZONE_COUNTERS",450,451,229,228,320,320,68,67
"001:00:31.082","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.083","","","","","","TOTAL_ARENA_DISTANCES",327480,198850,320751,75943
"001:03:03.107","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:03:03.108","","","","","","ZONE_DISTANCES",730,6972,1060,2252,2098,5946,0,5993
"001:03:03.108","","","","","","ZONE_TIMERS",5.652,54.425,7.580,52.497,11.832,48.245,0.000,60.078
"001:03:03.109","","","","","","ZONE_COUNTERS",7,7,4,4,5,5,0,1
"001:03:03.109","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.110","","","","","","TOTAL_ARENA_DISTANCES",7702,3312,8043,5993
