"000:00:00.000","Info","2019-06-26 01:33:51","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7705 a7509 a7668 a8105"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.788","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.789","","","","","","ZONE_DISTANCES",19483,18915,11199,26076,22055,16394,15,0
"000:35:30.789","","","","","","ZONE_TIMERS",172.294,127.811,94.981,205.125,184.430,115.676,300.106,0.000
"000:35:30.790","","","","","","ZONE_COUNTERS",50,50,36,37,43,43,1,0
"000:35:30.791","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.791","","","","","","TOTAL_ARENA_DISTANCES",38397,37274,38448,15
"000:40:30.868","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.869","","","","","","ZONE_DISTANCES",24163,20070,11918,26323,16674,21092,0,0
"000:40:30.870","","","","","","ZONE_TIMERS",183.002,117.078,66.263,233.816,126.451,173.628,300.080,0.000
"000:40:30.870","","","","","","ZONE_COUNTERS",57,57,35,35,40,41,1,0
"000:40:30.871","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.871","","","","","","TOTAL_ARENA_DISTANCES",44234,38242,37766,0
"000:45:30.935","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.936","","","","","","ZONE_DISTANCES",22939,17458,22146,18472,24294,14685,14,0
"000:45:30.936","","","","","","ZONE_TIMERS",183.749,116.317,176.227,123.839,196.293,103.773,300.066,0.000
"000:45:30.937","","","","","","ZONE_COUNTERS",55,56,38,38,38,38,1,0
"000:45:30.937","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.938","","","","","","TOTAL_ARENA_DISTANCES",40396,40618,38979,14
"000:50:31.034","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:31.035","","","","","","ZONE_DISTANCES",20990,17773,17130,21201,16129,22653,0,0
"000:50:31.035","","","","","","ZONE_TIMERS",172.895,127.203,123.994,176.104,111.449,188.649,300.099,0.000
"000:50:31.036","","","","","","ZONE_COUNTERS",46,46,31,31,38,38,1,0
"000:50:31.037","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.037","","","","","","TOTAL_ARENA_DISTANCES",38764,38331,38783,0
"000:55:31.107","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:31.108","","","","","","ZONE_DISTANCES",22181,17871,20550,16856,17478,19139,1037,1180
"000:55:31.108","","","","","","ZONE_TIMERS",174.389,125.682,189.365,110.707,143.983,156.089,296.430,3.642
"000:55:31.109","","","","","","ZONE_COUNTERS",54,54,41,40,34,34,5,4
"000:55:31.109","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.110","","","","","","TOTAL_ARENA_DISTANCES",40052,37405,36617,2217
"001:00:31.189","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:00:31.189","","","","","","ZONE_DISTANCES",23135,19129,19578,18848,18664,20827,6,0
"001:00:31.190","","","","","","ZONE_TIMERS",176.614,123.467,155.159,144.922,127.529,172.552,300.081,0.000
"001:00:31.190","","","","","","ZONE_COUNTERS",57,57,41,41,42,42,1,0
"001:00:31.191","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.191","","","","","","TOTAL_ARENA_DISTANCES",42264,38427,39491,6
"001:00:31.272","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.273","","","","","","ZONE_DISTANCES",132891,111216,102521,127776,115294,114790,1072,1180
"001:00:31.273","","","","","","ZONE_TIMERS",1062.952,737.560,805.990,994.522,890.137,910.376,1796.870,3.642
"001:00:31.274","","","","","","ZONE_COUNTERS",317,317,219,220,233,233,5,4
"001:00:31.275","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.275","","","","","","TOTAL_ARENA_DISTANCES",244107,230297,230084,2252
"001:03:03.921","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:03:03.921","","","","","","ZONE_DISTANCES",5277,4367,2332,2151,2294,1057,0,0
"001:03:03.922","","","","","","ZONE_TIMERS",38.983,21.124,53.696,6.412,55.185,4.923,60.108,0.000
"001:03:03.923","","","","","","ZONE_COUNTERS",14,14,7,7,6,5,1,0
"001:03:03.923","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.924","","","","","","TOTAL_ARENA_DISTANCES",9644,4482,3351,0
"001:04:04.055","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:04:04.055","","","","","","ZONE_DISTANCES",4610,4663,6182,5440,4694,3850,0,0
"001:04:04.056","","","","","","ZONE_TIMERS",29.822,30.311,27.615,32.518,33.375,26.758,60.134,0.000
"001:04:04.057","","","","","","ZONE_COUNTERS",11,12,15,15,11,10,1,0
"001:04:04.057","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.058","","","","","","TOTAL_ARENA_DISTANCES",9273,11623,8544,0
"001:05:04.148","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:05:04.149","","","","","","ZONE_DISTANCES",4867,4195,4700,3694,4688,5282,7,0
"001:05:04.149","","","","","","ZONE_TIMERS",33.814,26.279,38.208,21.885,31.753,28.339,60.093,0.000
"001:05:04.150","","","","","","ZONE_COUNTERS",12,13,10,9,16,16,1,0
"001:05:04.151","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.151","","","","","","TOTAL_ARENA_DISTANCES",9062,8394,9970,7
"001:06:04.256","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:06:04.257","","","","","","ZONE_DISTANCES",5512,5445,2513,4807,4273,3549,0,0
"001:06:04.257","","","","","","ZONE_TIMERS",29.860,30.247,14.544,45.563,32.119,27.988,60.108,0.000
"001:06:04.258","","","","","","ZONE_COUNTERS",14,14,8,7,10,11,1,0
"001:06:04.259","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.259","","","","","","TOTAL_ARENA_DISTANCES",10957,7320,7822,0
"001:07:04.334","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:07:04.334","","","","","","ZONE_DISTANCES",4526,4099,3760,3159,3504,4105,0,0
"001:07:04.335","","","","","","ZONE_TIMERS",33.778,26.298,37.367,22.710,29.073,31.004,60.077,0.000
"001:07:04.336","","","","","","ZONE_COUNTERS",13,13,7,6,11,12,1,0
"001:07:04.336","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.337","","","","","","TOTAL_ARENA_DISTANCES",8625,6919,7609,0
"001:07:04.429","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:04.429","","","","","","ZONE_DISTANCES",24792,22769,19487,19251,19453,17843,7,0
"001:07:04.430","","","","","","ZONE_TIMERS",166.259,134.262,171.432,129.089,181.508,119.013,300.521,0.000
"001:07:04.431","","","","","","ZONE_COUNTERS",63,63,44,43,52,52,1,0
"001:07:04.432","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.432","","","","","","TOTAL_ARENA_DISTANCES",47561,38737,37296,7
"001:07:04.433","Info","2019-06-26 02:40:56","Service 'REDYEL' : Execution end"
