"000:00:00.000","Info","2019-06-26 03:15:36","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7097 a7584 a7447 a7012"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.611","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.611","","","","","","ZONE_DISTANCES",5986,23354,19950,9018,13810,22785,15643,19979
"000:35:30.611","","","","","","ZONE_TIMERS",43.147,256.920,217.910,82.157,98.816,201.251,122.582,177.486
"000:35:30.612","","","","","","ZONE_COUNTERS",21,21,22,22,53,53,39,39
"000:35:30.612","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.613","","","","","","TOTAL_ARENA_DISTANCES",29341,28968,36595,35622
"000:40:30.679","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.679","","","","","","ZONE_DISTANCES",17449,1271,16856,19687,18063,19085,14561,17103
"000:40:30.680","","","","","","ZONE_TIMERS",291.573,8.494,136.422,163.646,150.805,149.262,145.912,154.155
"000:40:30.680","","","","","","ZONE_COUNTERS",2,2,41,41,43,43,31,30
"000:40:30.680","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.681","","","","","","TOTAL_ARENA_DISTANCES",18720,36544,37148,31664
"000:45:30.770","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.770","","","","","","ZONE_DISTANCES",2389,13365,19135,16726,15194,19439,14931,16846
"000:45:30.771","","","","","","ZONE_TIMERS",15.531,284.560,161.762,138.328,106.508,193.582,130.557,169.533
"000:45:30.771","","","","","","ZONE_COUNTERS",10,10,38,38,50,49,40,40
"000:45:30.772","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.772","","","","","","TOTAL_ARENA_DISTANCES",15754,35861,34633,31777
"000:50:30.837","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
