"000:00:00.000","Info","2019-06-27 04:27:49","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a6944 a6818 a6860 a7283"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.671","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.671","","","","","","ZONE_DISTANCES",13286,17275,25669,26393,18769,20587,28366,27534
"000:35:30.672","","","","","","ZONE_TIMERS",138.712,161.376,151.208,148.880,135.468,164.620,154.267,145.821
"000:35:30.673","","","","","","ZONE_COUNTERS",36,37,65,65,41,41,81,81
"000:35:30.673","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.674","","","","","","TOTAL_ARENA_DISTANCES",30562,52062,39356,55900
"000:40:30.858","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.858","","","","","","ZONE_DISTANCES",13953,10212,20695,12333,12473,26002,28151,29225
"000:40:30.859","","","","","","ZONE_TIMERS",204.582,95.604,242.849,57.337,77.992,222.194,151.519,148.667
"000:40:30.860","","","","","","ZONE_COUNTERS",30,31,31,32,33,34,86,86
"000:40:30.860","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.860","","","","","","TOTAL_ARENA_DISTANCES",24165,33028,38475,57375
"000:45:31.010","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:31.011","","","","","","ZONE_DISTANCES",8611,12701,19564,25724,17423,23545,28911,26481
"000:45:31.012","","","","","","ZONE_TIMERS",79.378,220.774,107.316,192.835,109.917,190.235,154.114,146.038
"000:45:31.012","","","","","","ZONE_COUNTERS",24,25,57,58,37,38,72,72
"000:45:31.013","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.013","","","","","","TOTAL_ARENA_DISTANCES",21312,45288,40968,55392
"000:50:31.207","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.208","","","","","","ZONE_DISTANCES",14593,15200,13335,12019,19362,22360,28570,26446
"000:50:31.209","","","","","","ZONE_TIMERS",193.967,106.229,233.373,66.823,140.965,159.231,159.753,140.443
"000:50:31.209","","","","","","ZONE_COUNTERS",36,36,27,27,52,53,68,68
"000:50:31.210","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.210","","","","","","TOTAL_ARENA_DISTANCES",29793,25354,41722,55016
"000:55:31.382","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.383","","","","","","ZONE_DISTANCES",6916,12249,14044,19647,11791,21829,27044,25578
"000:55:31.383","","","","","","ZONE_TIMERS",63.018,237.156,99.826,200.348,88.850,211.323,150.824,149.350
"000:55:31.384","","","","","","ZONE_COUNTERS",25,24,38,38,33,34,66,65
"000:55:31.385","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.385","","","","","","TOTAL_ARENA_DISTANCES",19165,33691,33620,52622
"001:00:31.578","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.578","","","","","","ZONE_DISTANCES",10193,10889,16972,13474,12732,21212,28819,24881
"001:00:31.579","","","","","","ZONE_TIMERS",138.038,162.156,212.542,87.653,104.179,196.015,162.182,138.013
"001:00:31.580","","","","","","ZONE_COUNTERS",29,28,33,33,42,43,69,68
"001:00:31.580","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.581","","","","","","TOTAL_ARENA_DISTANCES",21082,30446,33945,53700
