"000:00:00.000","Info","2019-06-27 02:16:28","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7085 a6984 a7587 a7066"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.697","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.697","","","","","","ZONE_DISTANCES",15472,18251,19358,21951,18402,19923,16309,19547
"000:35:30.698","","","","","","ZONE_TIMERS",137.010,163.046,131.954,168.102,142.639,157.416,134.972,165.084
"000:35:30.699","","","","","","ZONE_COUNTERS",35,36,46,46,44,45,39,38
"000:35:30.699","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.699","","","","","","TOTAL_ARENA_DISTANCES",33723,41309,38325,35856
"000:40:30.838","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.839","","","","","","ZONE_DISTANCES",19268,23174,21170,22207,25832,16908,16861,17760
"000:40:30.840","","","","","","ZONE_TIMERS",124.683,175.458,142.810,157.330,181.494,118.647,136.842,163.299
"000:40:30.840","","","","","","ZONE_COUNTERS",49,50,46,46,44,45,40,40
"000:40:30.841","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.841","","","","","","TOTAL_ARENA_DISTANCES",42442,43377,42740,34621
