"000:00:00.000","Info","2019-06-27 00:14:33","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7489 a7588 a7058 a6936"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.818","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.818","","","","","","ZONE_DISTANCES",39415,31714,20664,22498,15218,18301,10626,21480
"000:35:30.819","","","","","","ZONE_TIMERS",148.001,152.045,140.258,159.788,137.426,162.620,92.724,207.322
"000:35:30.819","","","","","","ZONE_COUNTERS",98,97,49,48,39,39,35,35
"000:35:30.820","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.820","","","","","","TOTAL_ARENA_DISTANCES",71129,43163,33519,32106
"000:40:30.963","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.963","","","","","","ZONE_DISTANCES",10465,6254,20143,21754,12418,18504,17835,16562
"000:40:30.964","","","","","","ZONE_TIMERS",78.677,221.467,131.787,168.356,107.127,193.017,150.248,149.896
"000:40:30.964","","","","","","ZONE_COUNTERS",23,23,53,53,33,33,48,49
"000:40:30.964","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.965","","","","","","TOTAL_ARENA_DISTANCES",16718,41897,30922,34397
"000:45:31.110","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:31.111","","","","","","ZONE_DISTANCES",24536,23239,18184,18782,16640,16441,17203,17998
"000:45:31.111","","","","","","ZONE_TIMERS",143.137,157.010,145.585,154.561,164.694,135.453,143.159,156.988
"000:45:31.112","","","","","","ZONE_COUNTERS",68,69,46,47,48,48,44,44
"000:45:31.112","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.112","","","","","","TOTAL_ARENA_DISTANCES",47776,36965,33081,35201
"000:50:31.250","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.251","","","","","","ZONE_DISTANCES",18655,17533,15042,21919,18096,19513,20858,17735
"000:50:31.251","","","","","","ZONE_TIMERS",130.432,169.707,105.810,194.329,124.227,175.911,150.735,149.404
"000:50:31.252","","","","","","ZONE_COUNTERS",49,49,38,38,50,51,51,50
"000:50:31.252","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.252","","","","","","TOTAL_ARENA_DISTANCES",36187,36962,37609,38594
