"000:00:00.000","Info","2019-06-27 02:16:35","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7410 a6900 a7523 a7733"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.633","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.634","","","","","","ZONE_DISTANCES",14945,15509,19852,13469,17615,22194,13897,19017
"000:35:30.634","","","","","","ZONE_TIMERS",156.171,143.896,213.658,86.408,132.170,167.897,120.627,179.439
"000:35:30.635","","","","","","ZONE_COUNTERS",38,39,35,35,36,37,34,35
"000:35:30.635","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.635","","","","","","TOTAL_ARENA_DISTANCES",30454,33321,39809,32914
"000:40:30.734","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.734","","","","","","ZONE_DISTANCES",14150,14615,13515,16971,23963,22118,13889,18660
"000:40:30.734","","","","","","ZONE_TIMERS",144.285,155.814,96.455,203.645,151.434,148.665,105.616,194.483
"000:40:30.735","","","","","","ZONE_COUNTERS",38,39,28,28,56,56,37,37
"000:40:30.735","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.736","","","","","","TOTAL_ARENA_DISTANCES",28765,30486,46081,32550
"000:45:30.839","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.840","","","","","","ZONE_DISTANCES",15007,11291,16552,12551,24054,21282,15786,17428
"000:45:30.840","","","","","","ZONE_TIMERS",183.947,116.157,211.182,88.922,158.259,141.846,140.461,159.643
"000:45:30.841","","","","","","ZONE_COUNTERS",37,38,33,33,60,59,42,41
"000:45:30.841","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.841","","","","","","TOTAL_ARENA_DISTANCES",26298,29103,45336,33213
"000:50:30.916","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.917","","","","","","ZONE_DISTANCES",10584,19527,15045,18250,22898,23093,13215,16990
"000:50:30.917","","","","","","ZONE_TIMERS",86.736,213.340,93.135,206.941,136.266,163.810,100.616,199.460
"000:50:30.918","","","","","","ZONE_COUNTERS",44,45,35,35,60,60,34,33
"000:50:30.918","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.919","","","","","","TOTAL_ARENA_DISTANCES",30110,33296,45991,30206
"000:55:30.979","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:30.979","","","","","","ZONE_DISTANCES",15661,10207,16217,10401,22489,22332,16456,17275
"000:55:30.980","","","","","","ZONE_TIMERS",198.533,101.529,217.162,82.900,151.094,148.967,144.363,155.699
"000:55:30.980","","","","","","ZONE_COUNTERS",40,40,27,28,59,60,44,44
"000:55:30.981","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.981","","","","","","TOTAL_ARENA_DISTANCES",25868,26618,44821,33730
"001:00:31.045","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:00:31.046","","","","","","ZONE_DISTANCES",9291,14682,10802,14726,21935,23462,15624,17292
"001:00:31.047","","","","","","ZONE_TIMERS",112.182,187.883,84.757,215.308,130.810,169.255,122.466,177.599
"001:00:31.048","","","","","","ZONE_COUNTERS",35,34,25,26,54,55,40,41
"001:00:31.050","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.050","","","","","","TOTAL_ARENA_DISTANCES",23973,25528,45397,32917
"001:00:31.122","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.123","","","","","","ZONE_DISTANCES",79638,85831,91983,86368,132954,134481,88867,106662
"001:00:31.124","","","","","","ZONE_TIMERS",881.867,918.621,916.351,884.137,860.036,940.453,734.152,1066.336
