"000:00:00.000","Info","2019-06-27 04:27:55","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7209 a8107 a7372 a7263"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.604","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.604","","","","","","ZONE_DISTANCES",27692,12312,35111,20774,42793,29491,19367,21160
"000:35:30.605","","","","","","ZONE_TIMERS",243.213,56.837,226.793,73.256,190.726,109.323,159.077,140.973
"000:35:30.605","","","","","","ZONE_COUNTERS",34,33,62,62,121,121,33,33
"000:35:30.606","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.606","","","","","","TOTAL_ARENA_DISTANCES",40005,55886,72284,40528
"000:40:30.688","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.688","","","","","","ZONE_DISTANCES",17724,12436,30248,24145,35951,45308,17696,25844
"000:40:30.689","","","","","","ZONE_TIMERS",222.514,77.569,161.448,138.635,115.469,184.614,97.253,202.830
"000:40:30.689","","","","","","ZONE_COUNTERS",30,29,65,66,141,140,35,34
"000:40:30.690","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.690","","","","","","TOTAL_ARENA_DISTANCES",30160,54393,81259,43540
"000:45:30.782","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.783","","","","","","ZONE_DISTANCES",15141,4045,17049,12079,46063,29443,25304,14938
"000:45:30.783","","","","","","ZONE_TIMERS",287.095,12.998,253.124,46.970,197.420,102.674,209.561,90.533
"000:45:30.784","","","","","","ZONE_COUNTERS",16,15,33,33,138,137,32,31
"000:45:30.784","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.785","","","","","","TOTAL_ARENA_DISTANCES",19186,29127,75505,40241
"000:50:30.865","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.866","","","","","","ZONE_DISTANCES",4374,892,12713,17325,27134,42027,17599,23653
"000:50:30.866","","","","","","ZONE_TIMERS",294.594,5.488,58.214,241.868,102.284,197.798,97.915,202.167
"000:50:30.867","","","","","","ZONE_COUNTERS",5,4,30,30,128,128,34,34
"000:50:30.867","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.868","","","","","","TOTAL_ARENA_DISTANCES",5265,30039,69161,41252
"000:55:30.962","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
