"000:00:00.000","Info","2019-07-01 00:23:23","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7012 a7097 a7584 a7447"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.806","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.807","","","","","","ZONE_DISTANCES",18979,21167,12936,18347,6020,22950,14940,18627
"000:35:30.807","","","","","","ZONE_TIMERS",163.951,136.107,116.089,183.969,49.041,251.017,121.798,178.260
"000:35:30.808","","","","","","ZONE_COUNTERS",53,54,35,35,31,31,59,59
"000:35:30.808","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.808","","","","","","TOTAL_ARENA_DISTANCES",40146,31283,28970,33567
"000:40:30.899","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.900","","","","","","ZONE_DISTANCES",20695,28947,9936,18257,19817,16684,9738,17064
"000:40:30.900","","","","","","ZONE_TIMERS",113.938,186.154,98.909,201.182,154.070,146.022,103.366,196.726
"000:40:30.900","","","","","","ZONE_COUNTERS",55,56,24,24,48,48,57,58
"000:40:30.901","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.901","","","","","","TOTAL_ARENA_DISTANCES",49642,28193,36501,26802
"000:45:30.979","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.979","","","","","","ZONE_DISTANCES",21489,20363,18179,16972,11432,19034,12289,16853
"000:45:30.980","","","","","","ZONE_TIMERS",186.877,113.202,157.344,142.734,97.483,202.595,123.587,176.492
"000:45:30.980","","","","","","ZONE_COUNTERS",52,52,44,44,35,35,58,58
"000:45:30.980","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.981","","","","","","TOTAL_ARENA_DISTANCES",41852,35151,30466,29142
"000:50:31.057","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:31.058","","","","","","ZONE_DISTANCES",13834,16957,1516,4685,19505,7939,15792,12656
