"000:00:00.000","Info","2019-07-01 04:07:38","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7120 a6921 a6830 a8040"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.583","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.584","","","","","","ZONE_DISTANCES",22964,25717,17105,12064,47413,39027,7738,28787
"000:35:30.584","","","","","","ZONE_TIMERS",125.630,174.426,175.970,124.085,157.013,143.042,59.629,240.427
"000:35:30.585","","","","","","ZONE_COUNTERS",72,72,47,46,124,125,47,48
"000:35:30.585","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.586","","","","","","TOTAL_ARENA_DISTANCES",48681,29168,86440,36525
"000:40:30.724","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.724","","","","","","ZONE_DISTANCES",18456,34418,17603,19342,37233,40209,3554,40697
"000:40:30.725","","","","","","ZONE_TIMERS",88.880,211.260,149.191,150.948,167.553,132.587,26.291,273.849
"000:40:30.725","","","","","","ZONE_COUNTERS",67,67,49,49,109,110,39,40
"000:40:30.726","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.726","","","","","","TOTAL_ARENA_DISTANCES",52874,36945,77441,44251
"000:45:30.875","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:30.875","","","","","","ZONE_DISTANCES",25052,25657,18486,17404,56442,41871,2801,41024
"000:45:30.876","","","","","","ZONE_TIMERS",132.849,167.301,142.633,157.516,161.703,138.447,17.535,282.615
"000:45:30.876","","","","","","ZONE_COUNTERS",77,78,53,54,160,160,30,31
"000:45:30.877","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.877","","","","","","TOTAL_ARENA_DISTANCES",50709,35891,98313,43826
"000:50:31.012","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.012","","","","","","ZONE_DISTANCES",28594,34812,18566,19293,36177,37304,3296,49467
"000:50:31.013","","","","","","ZONE_TIMERS",118.435,181.701,158.957,141.179,180.888,119.248,23.018,277.118
"000:50:31.013","","","","","","ZONE_COUNTERS",67,68,53,53,111,110,29,30
"000:50:31.014","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.014","","","","","","TOTAL_ARENA_DISTANCES",63407,37859,73481,52762
"000:55:31.136","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.137","","","","","","ZONE_DISTANCES",23767,31244,17546,15096,27765,26365,3327,45743
"000:55:31.137","","","","","","ZONE_TIMERS",111.284,188.840,154.595,145.528,110.883,189.240,20.027,280.096
"000:55:31.138","","","","","","ZONE_COUNTERS",52,53,51,51,71,71,30,31
"000:55:31.138","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.138","","","","","","TOTAL_ARENA_DISTANCES",55011,32641,54130,49071
"001:00:31.298","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.299","","","","","","ZONE_DISTANCES",13249,23523,17295,15054,18887,18941,1458,35175
"001:00:31.299","","","","","","ZONE_TIMERS",104.903,195.258,186.075,114.086,184.602,115.559,13.824,286.337
"001:00:31.300","","","","","","ZONE_COUNTERS",53,53,47,48,44,45,15,16
"001:00:31.300","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.301","","","","","","TOTAL_ARENA_DISTANCES",36772,32349,37828,36633
"001:00:31.368","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.368","","","","","","ZONE_DISTANCES",132082,175371,106601,98253,223917,203717,22174,240893
"001:00:31.369","","","","","","ZONE_TIMERS",681.988,1118.789,967.425,833.352,962.645,838.131,160.327,1640.450
"001:00:31.369","","","","","","ZONE_COUNTERS",387,387,298,298,617,618,190,191
"001:00:31.370","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.370","","","","","","TOTAL_ARENA_DISTANCES",307453,204854,427634,263067
"001:03:03.872","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:03:03.873","","","","","","ZONE_DISTANCES",3024,2898,2765,3160,5262,7493,3189,2368
"001:03:03.873","","","","","","ZONE_TIMERS",30.425,29.636,26.372,33.689,17.763,42.297,34.163,25.898
"001:03:03.874","","","","","","ZONE_COUNTERS",16,17,9,9,18,18,10,10
"001:03:03.874","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.875","","","","","","TOTAL_ARENA_DISTANCES",5923,5924,12755,5557
"001:04:04.026","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:04:04.027","","","","","","ZONE_DISTANCES",1777,4883,2754,3011,5313,4779,3894,2038
"001:04:04.028","","","","","","ZONE_TIMERS",8.997,51.157,29.607,30.547,40.793,19.361,42.165,17.988
"001:04:04.028","","","","","","ZONE_COUNTERS",9,10,8,9,13,13,14,14
"001:04:04.029","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.029","","","","","","TOTAL_ARENA_DISTANCES",6659,5765,10091,5932
"001:05:04.175","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:05:04.175","","","","","","ZONE_DISTANCES",3399,2553,3071,2811,2128,2903,3626,2305
"001:05:04.176","","","","","","ZONE_TIMERS",35.337,24.810,31.889,28.258,10.888,49.259,36.363,23.784
"001:05:04.176","","","","","","ZONE_COUNTERS",11,12,7,8,7,6,16,15
