"000:00:00.000","Info","2019-07-01 04:08:02","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7704 a7330 a7743 a7205"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.648","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.648","","","","","","ZONE_DISTANCES",25085,23079,22563,16537,6967,30632,19380,28859
"000:35:30.649","","","","","","ZONE_TIMERS",193.175,106.894,189.465,110.605,51.565,248.505,112.616,187.454
"000:35:30.650","","","","","","ZONE_COUNTERS",56,56,48,49,40,41,52,53
"000:35:30.651","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.651","","","","","","TOTAL_ARENA_DISTANCES",48164,39100,37599,48239
"000:40:30.732","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.732","","","","","","ZONE_DISTANCES",10547,13138,16199,22221,8816,26425,18572,33691
"000:40:30.733","","","","","","ZONE_TIMERS",71.039,229.045,103.015,197.069,56.601,243.483,92.129,207.954
"000:40:30.733","","","","","","ZONE_COUNTERS",28,28,48,49,36,37,58,59
"000:40:30.734","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.734","","","","","","TOTAL_ARENA_DISTANCES",23685,38419,35241,52263
"000:45:30.809","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
