"000:00:00.000","Info","2019-07-01 01:59:04","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a8104 a7146 a7606 a6880"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.647","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.648","","","","","","ZONE_DISTANCES",51312,57407,50290,38533,5970,2488,41394,41462
"000:35:30.648","","","","","","ZONE_TIMERS",155.962,144.121,163.876,136.208,289.236,10.848,159.704,140.379
"000:35:30.649","","","","","","ZONE_COUNTERS",164,164,253,254,8,7,90,89
"000:35:30.649","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.650","","","","","","TOTAL_ARENA_DISTANCES",108719,88823,8458,82857
"000:40:30.716","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.716","","","","","","ZONE_DISTANCES",6088,22362,67248,43633,18341,2518,33164,34418
"000:40:30.717","","","","","","ZONE_TIMERS",14.921,285.147,179.389,120.678,281.454,18.613,122.886,177.182
"000:40:30.717","","","","","","ZONE_COUNTERS",22,23,318,318,9,8,77,77
"000:40:30.718","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.718","","","","","","TOTAL_ARENA_DISTANCES",28450,110881,20859,67582
"000:45:30.795","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.795","","","","","","ZONE_DISTANCES",0,0,67575,24063,26628,4959,19610,34256
"000:45:30.796","","","","","","ZONE_TIMERS",0.000,300.079,243.801,56.277,271.319,28.759,110.201,189.877
"000:45:30.797","","","","","","ZONE_COUNTERS",0,1,239,238,26,25,50,50
"000:45:30.797","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.797","","","","","","TOTAL_ARENA_DISTANCES",0,91638,31588,53866
"000:50:30.872","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.872","","","","","","ZONE_DISTANCES",512,2131,57178,36003,23459,2376,24082,24689
"000:50:30.873","","","","","","ZONE_TIMERS",2.132,297.944,188.872,111.204,281.187,18.889,144.724,155.352
"000:50:30.873","","","","","","ZONE_COUNTERS",1,2,307,307,7,6,51,50
"000:50:30.874","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.874","","","","","","TOTAL_ARENA_DISTANCES",2643,93181,25834,48770
"000:55:30.957","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:30.958","","","","","","ZONE_DISTANCES",60,1151,59240,29400,24768,3026,19267,21987
"000:55:30.958","","","","","","ZONE_TIMERS",0.558,299.527,198.851,101.233,281.909,18.175,161.775,138.309
"000:55:30.959","","","","","","ZONE_COUNTERS",1,2,249,249,16,15,46,45
"000:55:30.959","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.959","","","","","","TOTAL_ARENA_DISTANCES",1211,88640,27794,41255
"001:00:31.062","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:00:31.063","","","","","","ZONE_DISTANCES",0,566,59487,40381,21388,4793,10486,7463
"001:00:31.063","","","","","","ZONE_TIMERS",0.000,300.104,167.819,132.285,257.749,42.355,69.228,230.876
"001:00:31.064","","","","","","ZONE_COUNTERS",0,1,372,371,16,15,19,19
"001:00:31.064","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.064","","","","","","TOTAL_ARENA_DISTANCES",566,99868,26181,17948
"001:00:31.131","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
