"000:00:00.000","Info","2019-07-01 00:22:49","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7648 a7426 a7289 a7507"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.755","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.756","","","","","","ZONE_DISTANCES",18983,52299,14737,16900,12488,17147,14935,25361
"000:35:30.757","","","","","","ZONE_TIMERS",66.129,233.924,133.781,166.272,115.494,184.559,94.662,205.391
"000:35:30.757","","","","","","ZONE_COUNTERS",83,83,31,31,31,32,41,42
"000:35:30.758","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.758","","","","","","TOTAL_ARENA_DISTANCES",71282,31637,29635,40295
"000:40:30.876","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.877","","","","","","ZONE_DISTANCES",56873,25495,14697,18202,20618,14095,17603,22650
"000:40:30.877","","","","","","ZONE_TIMERS",214.778,85.342,129.335,170.785,199.095,101.025,118.600,181.520
"000:40:30.878","","","","","","ZONE_COUNTERS",124,123,33,34,40,41,37,38
"000:40:30.879","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.879","","","","","","TOTAL_ARENA_DISTANCES",82368,32900,34713,40253
"000:45:30.982","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.983","","","","","","ZONE_DISTANCES",37556,57186,15302,19625,14079,20808,13319,23567
"000:45:30.984","","","","","","ZONE_TIMERS",110.542,189.563,124.179,175.926,107.256,192.849,92.481,207.624
"000:45:30.984","","","","","","ZONE_COUNTERS",135,135,40,40,48,49,26,27
"000:45:30.985","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.985","","","","","","TOTAL_ARENA_DISTANCES",94742,34927,34887,36886
"000:50:31.105","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:50:31.105","","","","","","ZONE_DISTANCES",68887,5571,17983,17170,23767,9770,13057,24892
"000:50:31.106","","","","","","ZONE_TIMERS",283.423,16.698,151.370,148.751,239.338,60.783,95.299,204.822
"000:50:31.106","","","","","","ZONE_COUNTERS",60,60,44,44,46,46,25,26
"000:50:31.107","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.107","","","","","","TOTAL_ARENA_DISTANCES",74458,35152,33537,37949
"000:55:31.208","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:55:31.209","","","","","","ZONE_DISTANCES",29945,53924,16580,18467,14865,21777,12093,25349
"000:55:31.209","","","","","","ZONE_TIMERS",99.338,200.765,133.997,166.105,104.415,195.688,65.240,234.863
"000:55:31.210","","","","","","ZONE_COUNTERS",127,127,39,39,53,52,26,27
"000:55:31.210","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.211","","","","","","TOTAL_ARENA_DISTANCES",83869,35047,36642,37442
"001:00:31.312","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:00:31.313","","","","","","ZONE_DISTANCES",63814,3439,17878,18507,25149,8483,17124,22865
"001:00:31.313","","","","","","ZONE_TIMERS",288.637,11.466,147.458,152.645,246.841,53.262,127.401,172.702
"001:00:31.314","","","","","","ZONE_COUNTERS",31,31,45,44,41,40,30,31
"001:00:31.314","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.315","","","","","","TOTAL_ARENA_DISTANCES",67253,36385,33632,39990
"001:00:31.392","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.392","","","","","","ZONE_DISTANCES",276058,197914,97177,108871,110966,92080,88131,144684
"001:00:31.393","","","","","","ZONE_TIMERS",1062.857,737.760,820.130,980.487,1012.448,788.168,593.686,1206.931
"001:00:31.394","","","","","","ZONE_COUNTERS",557,557,230,229,257,257,185,186
"001:00:31.394","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.395","","","","","","TOTAL_ARENA_DISTANCES",473972,206049,203046,232815
"001:03:03.993","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"001:03:03.993","","","","","","ZONE_DISTANCES",67,15874,4424,5334,1498,5293,4646,5648
"001:03:03.994","","","","","","ZONE_TIMERS",0.129,59.948,25.418,34.659,11.157,48.920,23.736,36.342
"001:03:03.995","","","","","","ZONE_COUNTERS",2,3,15,15,11,12,17,17
"001:03:03.996","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.996","","","","","","TOTAL_ARENA_DISTANCES",15941,9758,6792,10294
"001:04:04.096","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:04:04.097","","","","","","ZONE_DISTANCES",12168,1079,3741,4210,4268,633,6027,4377
"001:04:04.098","","","","","","ZONE_TIMERS",55.983,4.119,27.754,32.349,54.284,5.819,37.300,22.802
