"000:00:00.000","Info","2019-07-02 04:11:50","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7342 a7000 a7449 a7510"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.655","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.655","","","","","","ZONE_DISTANCES",18761,19518,31390,28892,29243,27814,16585,35210
"000:35:30.656","","","","","","ZONE_TIMERS",151.200,148.859,155.031,145.027,149.608,150.450,83.550,216.508
"000:35:30.656","","","","","","ZONE_COUNTERS",41,42,94,94,83,82,53,53
"000:35:30.657","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.657","","","","","","TOTAL_ARENA_DISTANCES",38279,60282,57058,51795
"000:40:30.818","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.818","","","","","","ZONE_DISTANCES",15243,14970,27752,35460,22407,32727,27832,25166
"000:40:30.819","","","","","","ZONE_TIMERS",174.225,125.937,152.735,147.427,116.052,184.110,158.743,141.419
"000:40:30.819","","","","","","ZONE_COUNTERS",29,30,110,109,76,75,64,63
"000:40:30.820","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.820","","","","","","TOTAL_ARENA_DISTANCES",30213,63212,55133,52999
"000:45:30.964","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:30.964","","","","","","ZONE_DISTANCES",16126,12754,23624,35117,28648,26071,30737,27355
"000:45:30.965","","","","","","ZONE_TIMERS",185.146,114.999,99.210,200.935,149.485,150.660,153.171,146.974
"000:45:30.966","","","","","","ZONE_COUNTERS",35,35,97,97,78,78,79,78
"000:45:30.966","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.966","","","","","","TOTAL_ARENA_DISTANCES",28880,58740,54719,58092
"000:50:31.126","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.126","","","","","","ZONE_DISTANCES",12358,12982,26991,30442,24117,28034,26291,25585
"000:50:31.127","","","","","","ZONE_TIMERS",164.141,136.020,169.725,130.436,135.003,165.158,154.896,145.265
"000:50:31.128","","","","","","ZONE_COUNTERS",37,36,95,95,73,73,67,67
"000:50:31.128","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.128","","","","","","TOTAL_ARENA_DISTANCES",25340,57433,52151,51876
"000:55:31.310","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.311","","","","","","ZONE_DISTANCES",11639,6421,25493,33495,26064,24318,23143,27951
"000:55:31.311","","","","","","ZONE_TIMERS",207.466,92.717,103.174,197.010,150.709,149.475,113.613,186.571
"000:55:31.312","","","","","","ZONE_COUNTERS",24,24,96,96,72,71,71,72
"000:55:31.313","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.313","","","","","","TOTAL_ARENA_DISTANCES",18060,58988,50382,51094
"001:00:31.501","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.502","","","","","","ZONE_DISTANCES",11086,7425,25086,26599,22259,27147,25925,26831
"001:00:31.503","","","","","","ZONE_TIMERS",228.464,71.726,165.290,134.900,131.956,168.234,153.266,146.924
"001:00:31.503","","","","","","ZONE_COUNTERS",27,28,85,85,78,77,70,70
"001:00:31.504","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.504","","","","","","TOTAL_ARENA_DISTANCES",18511,51685,49406,52755
"001:00:31.587","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.590","","","","","","ZONE_DISTANCES",85213,74070,160336,190005,152738,166111,150513,168098
"001:00:31.592","","","","","","ZONE_TIMERS",1110.645,690.267,845.175,955.737,832.823,968.089,817.248,983.664
"001:00:31.594","","","","","","ZONE_COUNTERS",191,192,574,574,456,455,401,401
"001:00:31.597","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.599","","","","","","TOTAL_ARENA_DISTANCES",159283,350341,318850,318610
