"000:00:00.000","Info","2019-07-02 00:27:21","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7733 a7410 a6900 a7523"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.815","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.816","","","","","","ZONE_DISTANCES",43008,46552,22383,19554,16256,11375,25047,14752
"000:35:30.816","","","","","","ZONE_TIMERS",105.067,195.004,189.573,110.498,179.113,120.958,195.568,104.503
"000:35:30.817","","","","","","ZONE_COUNTERS",90,89,64,63,44,45,66,67
"000:35:30.817","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.817","","","","","","TOTAL_ARENA_DISTANCES",89559,41937,27631,39799
"000:40:30.912","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.913","","","","","","ZONE_DISTANCES",27630,31066,2702,20328,3395,18715,15457,17773
"000:40:30.913","","","","","","ZONE_TIMERS",114.511,185.585,25.895,274.201,43.980,256.116,157.072,143.024
"000:40:30.914","","","","","","ZONE_COUNTERS",50,49,19,19,22,23,56,57
"000:40:30.914","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.914","","","","","","TOTAL_ARENA_DISTANCES",58696,23029,22111,33230
"000:45:30.981","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.982","","","","","","ZONE_DISTANCES",42223,31373,14813,3680,16245,409,17860,12003
"000:45:30.982","","","","","","ZONE_TIMERS",169.292,130.776,270.402,29.666,296.589,3.479,215.174,84.894
"000:45:30.983","","","","","","ZONE_COUNTERS",80,79,19,19,2,2,46,46
"000:45:30.983","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.983","","","","","","TOTAL_ARENA_DISTANCES",73595,18494,16654,29863
"000:50:31.056","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:31.059","","","","","","ZONE_DISTANCES",30941,27145,2979,18234,642,19194,16368,18218
"000:50:31.060","","","","","","ZONE_TIMERS",150.186,149.888,23.065,277.009,6.809,293.265,157.143,142.931
"000:50:31.061","","","","","","ZONE_COUNTERS",55,54,14,14,7,7,53,52
"000:50:31.063","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.064","","","","","","TOTAL_ARENA_DISTANCES",58087,21212,19836,34585
"000:55:31.137","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:31.137","","","","","","ZONE_DISTANCES",43835,32878,15969,10459,15210,206,15348,11521
"000:55:31.138","","","","","","ZONE_TIMERS",183.518,116.562,227.672,72.408,297.725,2.355,138.427,161.652
"000:55:31.138","","","","","","ZONE_COUNTERS",93,92,34,34,1,1,41,40
"000:55:31.139","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.139","","","","","","TOTAL_ARENA_DISTANCES",76713,26429,15416,26869
"001:00:31.209","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:31.209","","","","","","ZONE_DISTANCES",26194,23288,10249,22526,783,18122,9990,20592
"001:00:31.210","","","","","","ZONE_TIMERS",164.718,135.353,62.708,237.364,11.584,288.487,81.541,218.530
"001:00:31.210","","","","","","ZONE_COUNTERS",57,57,38,38,8,7,39,39
"001:00:31.211","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.211","","","","","","TOTAL_ARENA_DISTANCES",49482,32775,18905,30582
"001:00:31.308","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.310","","","","","","ZONE_DISTANCES",213831,192302,69095,94781,52531,68021,100070,94859
"001:00:31.312","","","","","","ZONE_TIMERS",887.294,913.176,799.316,1001.154,835.807,964.663,944.928,855.542
"001:00:31.313","","","","","","ZONE_COUNTERS",420,420,185,185,82,82,298,299
"001:00:31.315","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.316","","","","","","TOTAL_ARENA_DISTANCES",406133,163876,120552,194928
"001:03:03.379","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:03.380","","","","","","ZONE_DISTANCES",10323,8551,3611,2357,3768,781,4451,2435
"001:03:03.380","","","","","","ZONE_TIMERS",29.500,30.550,46.866,13.184,51.277,8.773,41.588,18.462
"001:03:03.381","","","","","","ZONE_COUNTERS",23,23,9,8,5,4,13,13
"001:03:03.381","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.381","","","","","","TOTAL_ARENA_DISTANCES",18874,5968,4549,6886
"001:04:03.444","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:03.445","","","","","","ZONE_DISTANCES",8455,6252,2033,5136,135,4410,3641,3633
"001:04:03.445","","","","","","ZONE_TIMERS",36.198,23.866,16.194,43.870,1.774,58.290,30.343,29.721
"001:04:03.446","","","","","","ZONE_COUNTERS",17,18,9,8,1,1,13,12
"001:04:03.446","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.446","","","","","","TOTAL_ARENA_DISTANCES",14707,7169,4545,7275
"001:05:03.519","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:05:03.520","","","","","","ZONE_DISTANCES",5503,4984,3928,2616,3838,294,4658,3132
"001:05:03.520","","","","","","ZONE_TIMERS",35.795,24.280,45.587,14.487,57.617,2.457,36.330,23.744
"001:05:03.521","","","","","","ZONE_COUNTERS",13,13,9,8,1,1,14,13
"001:05:03.521","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.522","","","","","","TOTAL_ARENA_DISTANCES",10487,6544,4132,7790
"001:06:03.599","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:06:03.600","","","","","","ZONE_DISTANCES",5241,3640,836,3817,189,3792,1682,5722
"001:06:03.600","","","","","","ZONE_TIMERS",31.924,28.155,8.840,51.239,2.304,57.775,12.022,48.057
"001:06:03.601","","","","","","ZONE_COUNTERS",11,10,7,7,1,1,11,11
"001:06:03.601","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.602","","","","","","TOTAL_ARENA_DISTANCES",8881,4654,3980,7404
"001:07:03.673","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:07:03.673","","","","","","ZONE_DISTANCES",7043,7036,4245,2787,3215,288,5046,1325
"001:07:03.674","","","","","","ZONE_TIMERS",29.249,30.824,46.242,13.831,56.511,3.561,52.406,7.666
"001:07:03.674","","","","","","ZONE_COUNTERS",18,17,10,11,1,1,5,5
"001:07:03.675","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.675","","","","","","TOTAL_ARENA_DISTANCES",14079,7031,3503,6371
"001:07:03.780","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.782","","","","","","ZONE_DISTANCES",36565,30463,14653,16713,11145,9565,19478,16247
"001:07:03.784","","","","","","ZONE_TIMERS",162.667,137.677,163.730,136.614,169.486,130.858,172.692,127.652
"001:07:03.786","","","","","","ZONE_COUNTERS",80,79,41,41,7,6,53,53
"001:07:03.787","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.789","","","","","","TOTAL_ARENA_DISTANCES",67028,31366,20710,35725
"001:07:03.791","Info","2019-07-02 01:34:25","Service 'GREBLU' : Execution end"
