"000:00:00.000","Info","2019-07-02 00:26:52","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7746 a6890 a7706 a7004"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.854","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.855","","","","","","ZONE_DISTANCES",15275,18921,12320,17060,19998,24312,13312,12033
"000:35:30.855","","","","","","ZONE_TIMERS",127.240,172.835,118.155,181.920,153.700,146.375,200.747,99.328
"000:35:30.856","","","","","","ZONE_COUNTERS",41,40,55,55,58,59,31,31
"000:35:30.856","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.856","","","","","","TOTAL_ARENA_DISTANCES",34197,29380,44310,25345
"000:40:30.980","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.980","","","","","","ZONE_DISTANCES",16430,18793,12144,8499,15916,18813,4527,7515
"000:40:30.981","","","","","","ZONE_TIMERS",132.601,167.524,172.989,127.135,125.718,174.407,93.265,206.860
"000:40:30.981","","","","","","ZONE_COUNTERS",44,43,50,50,46,47,36,36
"000:40:30.982","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.982","","","","","","TOTAL_ARENA_DISTANCES",35223,20643,34729,12042
"000:45:31.122","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:31.123","","","","","","ZONE_DISTANCES",16488,18660,7145,11301,19344,21611,6906,5769
"000:45:31.123","","","","","","ZONE_TIMERS",131.181,168.961,110.151,189.990,154.942,145.199,161.755,138.386
"000:45:31.124","","","","","","ZONE_COUNTERS",39,39,40,40,58,58,15,16
"000:45:31.124","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.125","","","","","","TOTAL_ARENA_DISTANCES",35148,18446,40955,12675
"000:50:31.274","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.275","","","","","","ZONE_DISTANCES",18667,20134,9365,10901,15113,18537,3637,5593
"000:50:31.275","","","","","","ZONE_TIMERS",134.750,165.401,131.641,168.510,113.913,186.238,23.145,277.006
"000:50:31.276","","","","","","ZONE_COUNTERS",48,49,37,38,42,42,12,13
"000:50:31.276","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.277","","","","","","TOTAL_ARENA_DISTANCES",38801,20266,33650,9230
"000:55:31.422","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.423","","","","","","ZONE_DISTANCES",15484,18473,11382,11473,15336,15388,7327,7590
"000:55:31.423","","","","","","ZONE_TIMERS",128.594,171.553,150.094,150.053,163.879,136.268,184.793,115.353
"000:55:31.424","","","","","","ZONE_COUNTERS",38,39,43,44,43,43,20,20
"000:55:31.424","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.424","","","","","","TOTAL_ARENA_DISTANCES",33957,22855,30724,14917
"001:00:31.543","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.544","","","","","","ZONE_DISTANCES",14089,18088,12519,11280,13536,17096,5563,8530
"001:00:31.544","","","","","","ZONE_TIMERS",118.431,181.689,153.311,146.809,102.861,197.259,44.870,255.250
"001:00:31.545","","","","","","ZONE_COUNTERS",37,38,36,36,43,42,20,20
"001:00:31.545","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.545","","","","","","TOTAL_ARENA_DISTANCES",32177,23798,30632,14093
"001:00:31.614","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.614","","","","","","ZONE_DISTANCES",96433,113069,64875,70514,99243,115757,41272,47030
"001:00:31.615","","","","","","ZONE_TIMERS",772.799,1027.971,836.350,964.420,815.022,985.748,708.578,1092.192
"001:00:31.615","","","","","","ZONE_COUNTERS",245,245,260,259,288,288,132,133
"001:00:31.616","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.616","","","","","","TOTAL_ARENA_DISTANCES",209503,135389,215000,88302
"001:03:04.184","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:03:04.185","","","","","","ZONE_DISTANCES",81,5488,21,3999,3232,1992,287,215
"001:03:04.185","","","","","","ZONE_TIMERS",0.491,59.612,0.271,59.832,43.719,16.385,1.940,58.163
"001:03:04.186","","","","","","ZONE_COUNTERS",1,1,2,3,6,6,1,1
"001:03:04.186","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.187","","","","","","TOTAL_ARENA_DISTANCES",5569,4020,5224,502
"001:04:04.359","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:04:04.360","","","","","","ZONE_DISTANCES",1537,5090,3121,894,2819,3324,717,1325
"001:04:04.360","","","","","","ZONE_TIMERS",11.721,48.453,47.057,13.117,23.079,37.095,3.534,56.640
"001:04:04.361","","","","","","ZONE_COUNTERS",9,10,8,8,9,8,4,4
"001:04:04.361","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.362","","","","","","TOTAL_ARENA_DISTANCES",6627,4015,6143,2042
