"000:00:00.000","Info","2019-07-02 04:12:26","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7066 a7085 a6984 a7587"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.626","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.627","","","","","","ZONE_DISTANCES",13705,25088,5770,21132,20397,23845,23274,22803
"000:35:30.627","","","","","","ZONE_TIMERS",90.476,209.601,44.920,255.157,127.896,172.181,155.795,144.282
"000:35:30.628","","","","","","ZONE_COUNTERS",39,39,17,18,64,65,51,52
"000:35:30.628","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.628","","","","","","TOTAL_ARENA_DISTANCES",38793,26902,44241,46077
"000:40:30.677","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.677","","","","","","ZONE_DISTANCES",16221,19861,7618,21242,20846,22810,24703,23018
"000:40:30.678","","","","","","ZONE_TIMERS",121.168,178.882,54.902,245.148,144.050,155.999,151.855,148.194
"000:40:30.678","","","","","","ZONE_COUNTERS",45,46,18,19,63,63,57,57
"000:40:30.679","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.679","","","","","","TOTAL_ARENA_DISTANCES",36082,28860,43656,47721
"000:45:30.733","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.733","","","","","","ZONE_DISTANCES",19511,23252,20158,17628,18061,23579,24713,24149
"000:45:30.734","","","","","","ZONE_TIMERS",141.043,159.012,187.259,112.796,127.754,172.301,153.858,146.197
"000:45:30.734","","","","","","ZONE_COUNTERS",52,52,35,36,64,63,57,56
"000:45:30.735","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.735","","","","","","TOTAL_ARENA_DISTANCES",42763,37786,41640,48862
"000:50:30.783","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:30.783","","","","","","ZONE_DISTANCES",20398,19722,31375,28956,18395,21538,24496,21251
"000:50:30.784","","","","","","ZONE_TIMERS",150.408,149.641,149.159,150.890,133.179,166.869,167.757,132.291
"000:50:30.784","","","","","","ZONE_COUNTERS",50,50,80,81,57,57,55,55
"000:50:30.784","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.785","","","","","","TOTAL_ARENA_DISTANCES",40120,60331,39933,45747
"000:55:30.841","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:30.841","","","","","","ZONE_DISTANCES",16411,20841,22854,27501,14519,23423,24384,22689
"000:55:30.842","","","","","","ZONE_TIMERS",125.755,174.302,136.142,163.915,111.320,188.737,173.200,126.857
"000:55:30.842","","","","","","ZONE_COUNTERS",45,45,66,67,58,58,57,57
"000:55:30.843","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.843","","","","","","TOTAL_ARENA_DISTANCES",37252,50354,37942,47073
"001:00:30.904","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:00:30.905","","","","","","ZONE_DISTANCES",18079,17284,29406,26500,21522,18352,20282,14676
"001:00:30.905","","","","","","ZONE_TIMERS",151.121,148.941,147.454,152.608,167.241,132.821,202.321,97.741
"001:00:30.906","","","","","","ZONE_COUNTERS",43,43,69,70,64,63,45,44
"001:00:30.906","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.906","","","","","","TOTAL_ARENA_DISTANCES",35363,55907,39874,34957
"001:00:31.005","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.005","","","","","","ZONE_DISTANCES",104325,126048,117181,142959,113740,133547,141852,128586
"001:00:31.006","","","","","","ZONE_TIMERS",779.974,1020.386,719.838,1080.522,811.448,988.912,1004.795,795.565
"001:00:31.007","","","","","","ZONE_COUNTERS",272,272,285,286,367,367,319,319
"001:00:31.007","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.007","","","","","","TOTAL_ARENA_DISTANCES",230373,260140,247287,270437
"001:03:02.960","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:03:02.961","","","","","","ZONE_DISTANCES",2274,3641,4536,5313,3649,6041,4023,4942
"001:03:02.961","","","","","","ZONE_TIMERS",19.053,41.018,29.423,30.649,26.089,33.983,23.449,36.623
"001:03:02.962","","","","","","ZONE_COUNTERS",8,8,14,13,13,14,11,11
"001:03:02.962","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.962","","","","","","TOTAL_ARENA_DISTANCES",5915,9848,9690,8964
"001:04:03.017","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:04:03.018","","","","","","ZONE_DISTANCES",3397,3533,5741,3872,5582,1889,4909,2990
"001:04:03.018","","","","","","ZONE_TIMERS",26.518,33.538,35.595,24.461,45.479,14.577,43.318,16.738
"001:04:03.019","","","","","","ZONE_COUNTERS",9,9,15,14,12,13,10,9
"001:04:03.019","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.019","","","","","","TOTAL_ARENA_DISTANCES",6930,9613,7471,7899
"001:05:03.086","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:05:03.086","","","","","","ZONE_DISTANCES",2911,4005,3949,5371,3070,5627,5365,5304
"001:05:03.087","","","","","","ZONE_TIMERS",22.108,37.959,26.039,34.029,21.762,38.305,30.792,29.275
"001:05:03.087","","","","","","ZONE_COUNTERS",9,8,14,14,15,16,14,13
"001:05:03.088","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.088","","","","","","TOTAL_ARENA_DISTANCES",6916,9320,8697,10669
"001:06:03.166","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:06:03.166","","","","","","ZONE_DISTANCES",2815,2896,5077,3525,4480,1600,5189,1442
"001:06:03.167","","","","","","ZONE_TIMERS",23.349,36.730,33.379,26.700,45.512,14.567,51.665,8.414
"001:06:03.167","","","","","","ZONE_COUNTERS",7,7,11,12,10,10,8,7
"001:06:03.168","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.168","","","","","","TOTAL_ARENA_DISTANCES",5711,8602,6080,6631
"001:07:03.236","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:07:03.236","","","","","","ZONE_DISTANCES",3209,3295,3998,4811,2127,5053,4286,4362
"001:07:03.237","","","","","","ZONE_TIMERS",28.790,31.279,26.490,33.579,16.962,43.107,30.254,29.815
"001:07:03.237","","","","","","ZONE_COUNTERS",8,9,12,13,10,10,12,11
"001:07:03.238","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.238","","","","","","TOTAL_ARENA_DISTANCES",6504,8809,7180,8648
"001:07:03.334","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.334","","","","","","ZONE_DISTANCES",14606,17370,23301,22892,18908,20210,23772,19040
"001:07:03.335","","","","","","ZONE_TIMERS",119.821,180.526,150.928,149.419,155.807,144.541,179.480,120.867
