"000:00:00.000","Info","2019-07-02 00:27:17","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a6936 a7489 a7588 a7058"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.795","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.795","","","","","","ZONE_DISTANCES",13717,25302,24449,19313,13378,23576,21310,14098
"000:35:30.796","","","","","","ZONE_TIMERS",98.029,202.050,176.050,124.029,101.271,198.808,180.635,119.444
"000:35:30.796","","","","","","ZONE_COUNTERS",55,56,50,49,38,39,39,39
"000:35:30.796","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.797","","","","","","TOTAL_ARENA_DISTANCES",39019,43762,36954,35408
"000:40:30.872","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.872","","","","","","ZONE_DISTANCES",21077,11909,27286,1995,19541,7403,20266,11248
"000:40:30.873","","","","","","ZONE_TIMERS",202.305,97.771,289.781,10.296,190.975,109.101,206.158,93.918
"000:40:30.873","","","","","","ZONE_COUNTERS",26,27,8,7,25,26,40,41
"000:40:30.874","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.874","","","","","","TOTAL_ARENA_DISTANCES",32986,29282,26943,31513
"000:45:30.958","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.959","","","","","","ZONE_DISTANCES",10330,28480,22845,18028,10790,17753,15941,14718
"000:45:30.959","","","","","","ZONE_TIMERS",64.436,235.649,175.142,124.944,94.660,205.426,163.576,136.509
"000:45:30.960","","","","","","ZONE_COUNTERS",36,37,56,56,31,32,45,45
"000:45:30.960","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.960","","","","","","TOTAL_ARENA_DISTANCES",38810,40873,28544,30659
