"000:00:00.000","Info","2019-07-02 00:26:45","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7119 a7265 a7208 a7174"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.809","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.810","","","","","","ZONE_DISTANCES",28723,13367,7792,16358,24912,12220,13218,12734
"000:35:30.811","","","","","","ZONE_TIMERS",225.378,74.731,61.908,238.201,212.572,87.538,167.814,132.296
"000:35:30.811","","","","","","ZONE_COUNTERS",60,60,23,23,39,39,36,36
"000:35:30.812","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.812","","","","","","TOTAL_ARENA_DISTANCES",42089,24149,37132,25952
"000:40:30.913","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.913","","","","","","ZONE_DISTANCES",10788,29401,13254,19907,5548,11776,11509,9911
"000:40:30.914","","","","","","ZONE_TIMERS",69.060,231.042,62.900,237.202,41.371,258.731,165.835,134.267
"000:40:30.914","","","","","","ZONE_COUNTERS",61,60,42,43,13,13,32,31
"000:40:30.915","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.915","","","","","","TOTAL_ARENA_DISTANCES",40189,33161,17323,21420
"000:45:30.994","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.994","","","","","","ZONE_DISTANCES",29302,1382,19458,9568,4732,1036,15165,6408
"000:45:30.995","","","","","","ZONE_TIMERS",291.980,8.100,256.522,43.558,199.422,100.658,224.827,75.253
"000:45:30.996","","","","","","ZONE_COUNTERS",14,13,35,36,6,6,21,20
"000:45:30.997","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.998","","","","","","TOTAL_ARENA_DISTANCES",30684,29026,5769,21573
"000:50:31.102","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:31.103","","","","","","ZONE_DISTANCES",6914,32009,9358,13331,6840,24111,11928,13750
"000:50:31.103","","","","","","ZONE_TIMERS",41.635,258.472,40.445,259.662,70.399,229.708,130.900,169.207
"000:50:31.104","","","","","","ZONE_COUNTERS",45,45,24,25,25,25,34,33
"000:50:31.104","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.105","","","","","","TOTAL_ARENA_DISTANCES",38924,22689,30951,25678
"000:55:31.181","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:31.182","","","","","","ZONE_DISTANCES",32076,3339,11302,9280,8033,4930,15111,7410
"000:55:31.182","","","","","","ZONE_TIMERS",280.420,19.658,256.379,43.699,220.485,79.593,204.876,95.202
"000:55:31.183","","","","","","ZONE_COUNTERS",30,30,23,23,12,12,25,25
"000:55:31.184","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.184","","","","","","TOTAL_ARENA_DISTANCES",35415,20582,12963,22520
"001:00:31.271","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:00:31.274","","","","","","ZONE_DISTANCES",4204,36394,15106,18468,3559,12887,11890,13564
"001:00:31.276","","","","","","ZONE_TIMERS",22.320,277.768,63.874,236.215,29.452,270.636,129.390,170.698
"001:00:31.279","","","","","","ZONE_COUNTERS",32,32,38,38,10,10,31,31
"001:00:31.281","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.283","","","","","","TOTAL_ARENA_DISTANCES",40598,33574,16446,25454
"001:00:31.371","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.371","","","","","","ZONE_DISTANCES",112007,115892,76270,86912,53624,66960,78821,63777
"001:00:31.372","","","","","","ZONE_TIMERS",930.796,869.793,742.030,1058.558,773.705,1026.884,1023.662,776.926
"001:00:31.373","","","","","","ZONE_COUNTERS",238,239,184,184,102,103,175,175
"001:00:31.373","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.374","","","","","","TOTAL_ARENA_DISTANCES",227898,163182,120584,142597
"001:03:03.912","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:03:03.913","","","","","","ZONE_DISTANCES",9261,4770,1463,1470,169,0,0,0
"001:03:03.915","","","","","","ZONE_TIMERS",44.189,15.903,54.395,5.697,60.092,0.000,60.092,0.000
"001:03:03.916","","","","","","ZONE_COUNTERS",23,23,4,3,1,0,1,0
"001:03:03.917","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.918","","","","","","TOTAL_ARENA_DISTANCES",14031,2932,169,0
"001:04:04.026","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:04:04.026","","","","","","ZONE_DISTANCES",3413,6420,5461,5439,0,0,2511,2626
"001:04:04.027","","","","","","ZONE_TIMERS",17.371,42.742,15.352,44.761,60.113,0.000,27.397,32.716
"001:04:04.028","","","","","","ZONE_COUNTERS",17,17,14,14,1,0,8,8
"001:04:04.029","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.029","","","","","","TOTAL_ARENA_DISTANCES",9833,10900,0,5136
"001:05:04.130","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:05:04.131","","","","","","ZONE_DISTANCES",6966,1271,2281,1611,6,0,2606,2924
"001:05:04.132","","","","","","ZONE_TIMERS",52.936,7.168,54.567,5.537,60.104,0.000,23.802,36.302
"001:05:04.132","","","","","","ZONE_COUNTERS",14,14,5,5,1,0,8,9
"001:05:04.133","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.133","","","","","","TOTAL_ARENA_DISTANCES",8237,3892,6,5530
"001:06:04.247","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:06:04.248","","","","","","ZONE_DISTANCES",3053,4624,2303,3241,0,0,1576,3043
"001:06:04.249","","","","","","ZONE_TIMERS",21.089,39.027,8.707,51.409,60.116,0.000,15.490,44.626
"001:06:04.249","","","","","","ZONE_COUNTERS",14,14,6,6,1,0,5,6
"001:06:04.250","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.251","","","","","","TOTAL_ARENA_DISTANCES",7676,5545,0,4619
"001:07:04.356","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:07:04.357","","","","","","ZONE_DISTANCES",7218,436,3430,2865,4332,302,2912,2776
