"000:00:00.000","Info","2019-07-02 02:14:20","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7428 a8053 a6863 a7450"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.609","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.610","","","","","","ZONE_DISTANCES",35479,33552,13183,14100,11581,21563,27033,29140
"000:35:30.610","","","","","","ZONE_TIMERS",130.441,169.635,131.985,168.091,93.329,206.746,135.701,164.374
"000:35:30.611","","","","","","ZONE_COUNTERS",81,81,29,29,43,42,60,60
"000:35:30.611","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.612","","","","","","TOTAL_ARENA_DISTANCES",69031,27282,33144,56173
"000:40:30.705","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.706","","","","","","ZONE_DISTANCES",23252,23025,13336,12692,19526,13177,32665,26812
"000:40:30.706","","","","","","ZONE_TIMERS",169.972,130.123,182.629,117.466,177.630,122.465,189.596,110.499
"000:40:30.707","","","","","","ZONE_COUNTERS",56,56,32,32,48,48,72,71
"000:40:30.707","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.708","","","","","","TOTAL_ARENA_DISTANCES",46277,26028,32704,59478
"000:45:30.775","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.776","","","","","","ZONE_DISTANCES",22794,27704,11624,12539,9362,22216,24086,24110
