"000:00:00.000","Info","2019-07-03 04:32:54","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7668 a8105 a7705 a7509"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.690","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.690","","","","","","ZONE_DISTANCES",21950,36157,1267,803,23799,29747,16914,28399
"000:35:30.691","","","","","","ZONE_TIMERS",99.729,200.342,298.379,1.693,99.766,200.306,101.282,198.790
"000:35:30.691","","","","","","ZONE_COUNTERS",104,104,3,2,63,63,57,57
"000:35:30.692","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.692","","","","","","TOTAL_ARENA_DISTANCES",58106,2070,53545,45313
"000:40:30.834","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.835","","","","","","ZONE_DISTANCES",35378,3726,20,0,22816,23614,15401,23459
"000:40:30.835","","","","","","ZONE_TIMERS",287.644,12.500,300.144,0.000,162.943,137.201,118.609,181.535
"000:40:30.836","","","","","","ZONE_COUNTERS",16,15,1,0,61,62,52,51
"000:40:30.836","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.837","","","","","","TOTAL_ARENA_DISTANCES",39105,19,46430,38860
"000:45:30.964","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:30.965","","","","","","ZONE_DISTANCES",22586,32359,383,0,26830,30518,9010,23616
"000:45:30.965","","","","","","ZONE_TIMERS",114.745,185.383,300.129,0.000,107.017,193.112,63.628,236.501
"000:45:30.966","","","","","","ZONE_COUNTERS",62,62,1,0,73,74,33,33
"000:45:30.966","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.966","","","","","","TOTAL_ARENA_DISTANCES",54944,384,57349,32626
"000:50:31.082","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:50:31.082","","","","","","ZONE_DISTANCES",35958,2817,854,0,25146,24281,11649,25973
"000:50:31.083","","","","","","ZONE_TIMERS",289.658,10.459,300.117,0.000,178.166,121.950,76.689,223.427
"000:50:31.083","","","","","","ZONE_COUNTERS",15,15,1,0,66,67,36,37
"000:50:31.084","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.084","","","","","","TOTAL_ARENA_DISTANCES",38775,853,49427,37622
"000:55:31.203","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:55:31.203","","","","","","ZONE_DISTANCES",30805,23493,4014,508,24436,26382,11886,30037
"000:55:31.204","","","","","","ZONE_TIMERS",171.195,128.925,242.404,57.716,119.054,181.066,63.319,236.801
"000:55:31.204","","","","","","ZONE_COUNTERS",64,64,3,2,69,70,34,35
"000:55:31.205","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.205","","","","","","TOTAL_ARENA_DISTANCES",54299,4522,50819,41922
"001:00:31.322","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:00:31.322","","","","","","ZONE_DISTANCES",29235,5409,1665,152,25579,19547,7431,28718
"001:00:31.323","","","","","","ZONE_TIMERS",274.445,25.673,300.023,0.095,202.926,97.192,45.340,254.778
"001:00:31.323","","","","","","ZONE_COUNTERS",28,28,3,2,61,61,24,25
"001:00:31.324","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.324","","","","","","TOTAL_ARENA_DISTANCES",34643,1816,45126,36149
"001:00:31.393","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.393","","","","","","ZONE_DISTANCES",175912,103961,8203,1463,148606,154089,72291,160202
"001:00:31.394","","","","","","ZONE_TIMERS",1237.424,563.286,1741.204,59.506,869.880,930.830,468.869,1331.841
"001:00:31.394","","","","","","ZONE_COUNTERS",286,286,7,6,393,392,234,235
"001:00:31.395","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.395","","","","","","TOTAL_ARENA_DISTANCES",279872,9666,302695,232493
"001:03:04.056","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:03:04.056","","","","","","ZONE_DISTANCES",7554,1509,0,0,3960,4516,3879,4793
"001:03:04.057","","","","","","ZONE_TIMERS",49.164,10.948,60.113,0.000,23.288,36.825,27.196,32.917
"001:03:04.057","","","","","","ZONE_COUNTERS",6,6,1,0,12,11,17,16
"001:03:04.058","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.058","","","","","","TOTAL_ARENA_DISTANCES",9063,0,8476,8672
"001:04:04.236","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:04:04.236","","","","","","ZONE_DISTANCES",5826,3780,0,0,4422,3891,3653,5350
"001:04:04.237","","","","","","ZONE_TIMERS",38.277,21.902,60.180,0.000,37.456,22.723,24.822,35.358
"001:04:04.238","","","","","","ZONE_COUNTERS",18,18,1,0,12,12,15,15
"001:04:04.238","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.238","","","","","","TOTAL_ARENA_DISTANCES",9606,0,8314,9003
"001:05:04.394","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:05:04.395","","","","","","ZONE_DISTANCES",6690,75,0,0,4298,4702,3684,4701
"001:05:04.395","","","","","","ZONE_TIMERS",59.424,0.733,60.157,0.000,22.204,37.953,25.198,34.959
"001:05:04.396","","","","","","ZONE_COUNTERS",2,1,1,0,13,14,13,14
"001:05:04.397","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.397","","","","","","TOTAL_ARENA_DISTANCES",6764,0,9000,8385
"001:06:04.558","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"001:06:04.558","","","","","","ZONE_DISTANCES",5473,1797,114,0,3739,3084,1876,7093
"001:06:04.559","","","","","","ZONE_TIMERS",48.502,11.661,60.163,0.000,33.699,26.464,14.510,45.653
"001:06:04.559","","","","","","ZONE_COUNTERS",8,7,1,0,9,10,16,16
"001:06:04.560","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:04.560","","","","","","TOTAL_ARENA_DISTANCES",7270,115,6823,8969
"001:07:04.742","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"001:07:04.742","","","","","","ZONE_DISTANCES",5332,2808,82,72,4338,4320,4275,5743
"001:07:04.743","","","","","","ZONE_TIMERS",43.605,16.578,60.128,0.055,27.422,32.762,24.548,35.636
"001:07:04.744","","","","","","ZONE_COUNTERS",6,5,2,1,12,13,19,18
"001:07:04.744","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.744","","","","","","TOTAL_ARENA_DISTANCES",8140,153,8657,10019
"001:07:04.821","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:04.821","","","","","","ZONE_DISTANCES",30875,9969,196,72,20757,20513,17367,27680
"001:07:04.822","","","","","","ZONE_TIMERS",238.974,61.825,300.744,0.055,144.071,156.728,116.275,184.524
"001:07:04.822","","","","","","ZONE_COUNTERS",37,36,2,1,57,57,78,77
"001:07:04.823","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:04.823","","","","","","TOTAL_ARENA_DISTANCES",40844,268,41270,45047
"001:07:04.824","Info","2019-07-03 05:39:59","Service 'CHKGRY' : Execution end"
