"000:00:00.000","Info","2019-07-03 04:33:24","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a6880 a8104 a7146 a7606"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.612","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.613","","","","","","ZONE_DISTANCES",41713,5909,1090,8042,24134,14402,21867,8557
"000:35:30.613","","","","","","ZONE_TIMERS",269.940,30.128,7.690,292.378,189.564,110.504,244.238,55.830
"000:35:30.614","","","","","","ZONE_COUNTERS",45,45,8,9,47,48,14,13
"000:35:30.614","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.615","","","","","","TOTAL_ARENA_DISTANCES",47622,9133,38536,30424
"000:40:30.693","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.693","","","","","","ZONE_DISTANCES",18943,46273,0,1449,9606,26911,1239,11953
"000:40:30.693","","","","","","ZONE_TIMERS",31.468,268.611,0.000,300.080,94.445,205.634,11.217,288.862
"000:40:30.694","","","","","","ZONE_COUNTERS",67,66,0,1,42,43,2,2
"000:40:30.694","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.695","","","","","","TOTAL_ARENA_DISTANCES",65216,1449,36518,13192
"000:45:30.761","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.762","","","","","","ZONE_DISTANCES",46254,4037,752,2947,25489,12071,3101,1102
"000:45:30.762","","","","","","ZONE_TIMERS",287.327,12.740,270.068,30.000,190.129,109.939,295.515,4.553
"000:45:30.762","","","","","","ZONE_COUNTERS",25,24,4,4,63,63,1,1
"000:45:30.763","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.763","","","","","","TOTAL_ARENA_DISTANCES",50291,3700,37559,4203
