"000:00:00.000","Info","2019-07-03 04:33:08","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7303 a7341 a7745 a7364"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.605","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.606","","","","","","ZONE_DISTANCES",18507,16704,11545,16991,10974,33295,16743,31418
"000:35:30.606","","","","","","ZONE_TIMERS",161.110,138.943,126.283,173.770,63.192,236.861,86.690,213.362
"000:35:30.607","","","","","","ZONE_COUNTERS",48,48,34,34,39,38,57,57
"000:35:30.607","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.607","","","","","","TOTAL_ARENA_DISTANCES",35211,28536,44269,48161
"000:40:30.668","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.669","","","","","","ZONE_DISTANCES",16614,13286,11213,5865,18265,17037,24215,31850
"000:40:30.669","","","","","","ZONE_TIMERS",174.955,125.107,256.580,43.482,149.185,150.877,132.766,167.296
"000:40:30.669","","","","","","ZONE_COUNTERS",37,37,18,17,40,40,63,63
"000:40:30.670","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.670","","","","","","TOTAL_ARENA_DISTANCES",29900,17078,35301,56066
"000:45:30.750","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.751","","","","","","ZONE_DISTANCES",15042,15313,12880,11253,19284,18399,26722,26132
"000:45:30.751","","","","","","ZONE_TIMERS",146.220,153.862,225.904,74.177,181.091,118.990,223.476,76.605
"000:45:30.752","","","","","","ZONE_COUNTERS",42,41,29,28,39,40,74,74
"000:45:30.752","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.752","","","","","","TOTAL_ARENA_DISTANCES",30355,24133,37684,52853
"000:50:30.831","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:30.832","","","","","","ZONE_DISTANCES",15414,12131,9463,6057,15828,16454,28818,32524
"000:50:30.832","","","","","","ZONE_TIMERS",169.840,130.240,270.347,29.733,188.978,111.102,152.671,147.409
"000:50:30.833","","","","","","ZONE_COUNTERS",37,36,17,16,35,36,83,83
"000:50:30.833","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.833","","","","","","TOTAL_ARENA_DISTANCES",27545,15520,32282,61342
