"000:00:00.000","Info","2019-07-03 02:05:41","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7205 a7704 a7330 a7743"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.694","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.695","","","","","","ZONE_DISTANCES",18853,25719,12621,16542,7887,21238,16912,32888
"000:35:30.696","","","","","","ZONE_TIMERS",115.579,184.513,60.236,239.856,50.376,249.716,89.841,210.252
"000:35:30.696","","","","","","ZONE_COUNTERS",47,48,33,33,30,31,55,56
"000:35:30.697","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.697","","","","","","TOTAL_ARENA_DISTANCES",44572,29163,29125,49799
"000:40:30.814","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.815","","","","","","ZONE_DISTANCES",29408,15899,18897,11815,16525,9799,29923,18895
"000:40:30.815","","","","","","ZONE_TIMERS",211.646,88.473,254.468,45.651,248.606,51.512,199.917,100.201
"000:40:30.816","","","","","","ZONE_COUNTERS",44,44,31,31,32,32,57,57
"000:40:30.816","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.817","","","","","","TOTAL_ARENA_DISTANCES",45307,30712,26324,48818
"000:45:30.892","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.892","","","","","","ZONE_DISTANCES",18978,30634,6720,12019,2590,9894,21419,29412
"000:45:30.893","","","","","","ZONE_TIMERS",95.973,204.103,19.951,280.126,11.705,288.372,110.991,189.086
