"000:00:00.000","Info","2019-07-04 02:22:43","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7174 a7119 a7265 a7208"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.626","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.626","","","","","","ZONE_DISTANCES",19181,6555,39851,9217,22550,29854,3837,13099
"000:35:30.627","","","","","","ZONE_TIMERS",265.633,34.447,295.602,4.478,91.846,208.235,16.424,283.657
"000:35:30.627","","","","","","ZONE_COUNTERS",15,15,30,29,51,51,20,20
"000:35:30.628","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.628","","","","","","TOTAL_ARENA_DISTANCES",25736,49068,52404,16936
"000:40:30.704","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.704","","","","","","ZONE_DISTANCES",8067,17363,1438,26045,24410,8763,18376,4558
"000:40:30.705","","","","","","ZONE_TIMERS",63.789,236.288,11.883,288.195,250.388,49.689,251.684,48.393
"000:40:30.705","","","","","","ZONE_COUNTERS",20,20,2,2,25,25,20,21
"000:40:30.706","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.706","","","","","","TOTAL_ARENA_DISTANCES",25430,27483,33173,22935
"000:45:30.763","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.763","","","","","","ZONE_DISTANCES",22284,14306,27391,4950,8104,12688,373,10553
"000:45:30.764","","","","","","ZONE_TIMERS",245.301,54.757,295.709,4.349,39.864,260.194,2.381,297.677
"000:45:30.764","","","","","","ZONE_COUNTERS",27,27,12,12,26,26,4,5
"000:45:30.765","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.765","","","","","","TOTAL_ARENA_DISTANCES",36590,32341,20792,10925
"000:50:30.828","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.829","","","","","","ZONE_DISTANCES",3220,24847,701,26777,11199,10150,5258,9543
"000:50:30.829","","","","","","ZONE_TIMERS",20.128,279.936,3.377,296.687,218.352,81.712,59.769,240.296
"000:50:30.830","","","","","","ZONE_COUNTERS",14,14,2,2,34,34,17,18
"000:50:30.830","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.830","","","","","","TOTAL_ARENA_DISTANCES",28067,27478,21349,14802
"000:55:30.891","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.892","","","","","","ZONE_DISTANCES",21585,5567,28198,6052,5300,9313,2494,10131
"000:55:30.892","","","","","","ZONE_TIMERS",274.439,25.622,294.202,5.859,17.574,282.487,59.211,240.851
"000:55:30.892","","","","","","ZONE_COUNTERS",13,13,16,16,15,15,13,14
"000:55:30.893","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.893","","","","","","TOTAL_ARENA_DISTANCES",27152,34250,14612,12625
"001:00:30.965","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.965","","","","","","ZONE_DISTANCES",1990,21791,349,23304,2381,953,6210,2079
"001:00:30.966","","","","","","ZONE_TIMERS",14.824,285.249,2.554,297.519,132.860,167.213,282.805,17.268
"001:00:30.966","","","","","","ZONE_COUNTERS",10,10,1,1,3,3,10,10
"001:00:30.967","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.967","","","","","","TOTAL_ARENA_DISTANCES",23781,23653,3334,8289
"001:00:31.067","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.068","","","","","","ZONE_DISTANCES",76327,90429,97928,96345,73944,71721,36548,49963
"001:00:31.068","","","","","","ZONE_TIMERS",884.118,916.308,903.330,897.096,750.892,1049.533,672.281,1128.144
"001:00:31.069","","","","","","ZONE_COUNTERS",96,97,60,60,152,151,84,83
"001:00:31.069","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.070","","","","","","TOTAL_ARENA_DISTANCES",166756,194274,145665,86511
"001:03:03.193","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:03.194","","","","","","ZONE_DISTANCES",59,5341,4748,2576,822,1065,6,0
"001:03:03.195","","","","","","ZONE_TIMERS",0.497,59.591,47.407,12.681,1.580,58.509,60.089,0.000
"001:03:03.197","","","","","","ZONE_COUNTERS",1,2,4,4,3,3,1,0
"001:03:03.198","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.198","","","","","","TOTAL_ARENA_DISTANCES",5400,7324,1887,6
"001:04:03.280","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:03.280","","","","","","ZONE_DISTANCES",22,4045,866,5052,730,628,0,0
"001:04:03.281","","","","","","ZONE_TIMERS",0.152,59.934,2.536,57.550,57.930,2.155,60.086,0.000
"001:04:03.282","","","","","","ZONE_COUNTERS",1,2,3,3,2,2,1,0
"001:04:03.282","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
