"000:00:00.000","Info","2019-07-04 04:08:39","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7004 a7746 a6890 a7706"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.668","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.668","","","","","","ZONE_DISTANCES",24671,21739,19107,18920,8639,14769,17761,20809
"000:35:30.669","","","","","","ZONE_TIMERS",160.436,139.643,152.117,147.962,97.131,202.947,117.775,182.304
"000:35:30.669","","","","","","ZONE_COUNTERS",56,55,40,41,59,58,47,46
"000:35:30.670","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.670","","","","","","TOTAL_ARENA_DISTANCES",46410,38027,23408,38570
"000:40:30.751","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.752","","","","","","ZONE_DISTANCES",21456,16257,20012,19097,6852,11378,21427,11003
"000:40:30.752","","","","","","ZONE_TIMERS",192.015,108.068,157.013,143.069,92.897,207.185,213.729,86.354
"000:40:30.752","","","","","","ZONE_COUNTERS",45,44,43,43,45,45,38,37
"000:40:30.753","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.753","","","","","","TOTAL_ARENA_DISTANCES",37713,39109,18229,32429
"000:45:30.800","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.800","","","","","","ZONE_DISTANCES",16212,18521,16556,22976,3511,15865,10743,18518
"000:45:30.801","","","","","","ZONE_TIMERS",127.033,173.015,114.548,185.500,44.155,255.893,101.359,198.689
"000:45:30.801","","","","","","ZONE_COUNTERS",47,46,45,45,25,26,41,40
"000:45:30.802","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.802","","","","","","TOTAL_ARENA_DISTANCES",34734,39531,19377,29262
"000:50:30.850","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:30.850","","","","","","ZONE_DISTANCES",18099,15374,21234,20112,10339,4527,19752,6184
"000:50:30.851","","","","","","ZONE_TIMERS",169.232,130.817,151.440,148.609,212.194,87.855,246.768,53.281
"000:50:30.851","","","","","","ZONE_COUNTERS",41,40,42,43,23,23,28,27
"000:50:30.851","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.852","","","","","","TOTAL_ARENA_DISTANCES",33473,41346,14866,25935
"000:55:30.916","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:30.917","","","","","","ZONE_DISTANCES",16705,16106,19497,21016,1367,11240,11386,17003
"000:55:30.917","","","","","","ZONE_TIMERS",160.590,139.475,130.900,169.165,18.860,281.206,99.500,200.566
"000:55:30.917","","","","","","ZONE_COUNTERS",41,40,44,44,9,9,35,35
"000:55:30.918","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.918","","","","","","TOTAL_ARENA_DISTANCES",32811,40513,12607,28389
