"000:00:00.000","Info","2019-07-04 00:28:00","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7510 a7342 a7000 a7449"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.748","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.749","","","","","","ZONE_DISTANCES",29352,33019,23208,20535,41771,9576,32320,92655
"000:35:30.749","","","","","","ZONE_TIMERS",117.291,182.766,164.891,135.167,289.124,10.934,77.165,222.893
"000:35:30.750","","","","","","ZONE_COUNTERS",84,84,58,57,36,35,158,159
"000:35:30.750","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.750","","","","","","TOTAL_ARENA_DISTANCES",62371,43743,51347,124976
"000:40:30.821","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.821","","","","","","ZONE_DISTANCES",42647,36189,17185,18974,31088,40215,36916,82147
"000:40:30.822","","","","","","ZONE_TIMERS",147.817,152.254,142.790,157.282,119.240,180.831,97.477,202.594
"000:40:30.822","","","","","","ZONE_COUNTERS",96,97,40,40,129,129,151,152
"000:40:30.822","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.823","","","","","","TOTAL_ARENA_DISTANCES",78837,36159,71304,119062
"000:45:30.892","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.892","","","","","","ZONE_DISTANCES",37714,34272,20789,27342,63583,20337,36995,99959
"000:45:30.893","","","","","","ZONE_TIMERS",143.490,156.580,147.146,152.924,292.523,7.547,84.071,215.999
"000:45:30.893","","","","","","ZONE_COUNTERS",98,98,66,67,63,63,159,160
"000:45:30.894","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.894","","","","","","TOTAL_ARENA_DISTANCES",71986,48131,83920,136954
"000:50:30.963","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:30.964","","","","","","ZONE_DISTANCES",43982,33189,21675,34032,28348,43726,39679,95874
"000:50:30.964","","","","","","ZONE_TIMERS",150.113,149.957,115.479,184.591,84.770,215.300,88.009,212.061
"000:50:30.964","","","","","","ZONE_COUNTERS",93,92,77,78,133,133,195,196
"000:50:30.965","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.965","","","","","","TOTAL_ARENA_DISTANCES",77171,55707,72074,135553
"000:55:31.026","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:55:31.026","","","","","","ZONE_DISTANCES",32613,28200,24441,27557,39740,4332,43134,116469
"000:55:31.026","","","","","","ZONE_TIMERS",150.448,149.613,183.603,116.458,296.052,4.009,73.919,226.142
"000:55:31.027","","","","","","ZONE_COUNTERS",88,88,73,73,15,15,227,227
"000:55:31.027","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.028","","","","","","TOTAL_ARENA_DISTANCES",60813,51998,44072,159603
"001:00:31.114","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:00:31.115","","","","","","ZONE_DISTANCES",43298,28701,21259,31084,29563,42606,42234,83400
"001:00:31.115","","","","","","ZONE_TIMERS",167.090,132.998,105.225,194.863,77.415,222.673,101.744,198.344
"001:00:31.116","","","","","","ZONE_COUNTERS",93,94,66,65,130,130,202,202
"001:00:31.116","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.116","","","","","","TOTAL_ARENA_DISTANCES",71999,52343,72169,125635
"001:00:31.212","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.212","","","","","","ZONE_DISTANCES",229606,193570,128557,159524,234093,160792,231278,570504
"001:00:31.213","","","","","","ZONE_TIMERS",876.253,924.177,859.142,941.288,1159.127,641.303,522.388,1278.041
"001:00:31.214","","","","","","ZONE_COUNTERS",550,550,378,377,503,503,1091,1092
"001:00:31.214","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.214","","","","","","TOTAL_ARENA_DISTANCES",423176,288081,394885,801783
"001:03:03.190","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:03:03.190","","","","","","ZONE_DISTANCES",5600,9146,5257,6018,2509,7893,8210,9383
"001:03:03.191","","","","","","ZONE_TIMERS",21.171,38.878,36.095,23.954,8.817,51.232,28.498,31.551
"001:03:03.191","","","","","","ZONE_COUNTERS",26,25,20,20,15,15,32,33
"001:03:03.191","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.192","","","","","","TOTAL_ARENA_DISTANCES",14746,11275,10401,17593
"001:04:03.253","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:04:03.254","","","","","","ZONE_DISTANCES",10648,7501,5298,8462,7746,4985,14466,14218
"001:04:03.254","","","","","","ZONE_TIMERS",33.620,26.443,21.792,38.270,35.661,24.402,35.368,24.695
"001:04:03.255","","","","","","ZONE_COUNTERS",30,30,24,23,26,27,65,66
"001:04:03.255","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.255","","","","","","TOTAL_ARENA_DISTANCES",18149,13760,12731,28684
"001:05:03.350","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:05:03.351","","","","","","ZONE_DISTANCES",7920,8285,3339,6220,3828,9018,10014,14407
"001:05:03.351","","","","","","ZONE_TIMERS",27.809,32.288,29.579,30.517,12.793,47.303,22.085,38.011
"001:05:03.352","","","","","","ZONE_COUNTERS",27,28,13,12,20,21,46,47
"001:05:03.352","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.353","","","","","","TOTAL_ARENA_DISTANCES",16205,9559,12847,24421
"001:06:03.411","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:06:03.412","","","","","","ZONE_DISTANCES",8347,7389,4408,7117,4386,12057,2217,19344
"001:06:03.412","","","","","","ZONE_TIMERS",31.192,28.867,25.101,34.959,9.046,51.014,5.107,54.953
"001:06:03.413","","","","","","ZONE_COUNTERS",27,28,17,17,28,29,13,14
"001:06:03.413","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.413","","","","","","TOTAL_ARENA_DISTANCES",15736,11525,16443,21561
"001:07:03.479","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:07:03.480","","","","","","ZONE_DISTANCES",7675,12001,5870,6842,12990,6425,14928,14141
"001:07:03.480","","","","","","ZONE_TIMERS",21.515,38.552,41.560,18.507,36.492,23.575,32.484,27.583
"001:07:03.481","","","","","","ZONE_COUNTERS",34,34,21,21,40,40,65,66
"001:07:03.481","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.481","","","","","","TOTAL_ARENA_DISTANCES",19676,12712,19415,29069
"001:07:03.586","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.586","","","","","","ZONE_DISTANCES",40190,44322,24172,34659,31459,40378,49835,71493
"001:07:03.587","","","","","","ZONE_TIMERS",135.309,165.030,154.129,146.210,102.810,197.528,123.544,176.795
"001:07:03.587","","","","","","ZONE_COUNTERS",143,142,92,92,129,128,221,222
"001:07:03.588","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.588","","","","","","TOTAL_ARENA_DISTANCES",84512,58831,71837,121328
"001:07:03.589","Info","2019-07-04 01:35:03","Service 'ORAMAG' : Execution end"
