"000:00:00.000","Info","2019-07-08 02:27:14","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7743 a7205 a7704 a7330"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.670","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.671","","","","","","ZONE_DISTANCES",21146,21056,24216,12584,18280,20916,12938,21295
"000:35:30.671","","","","","","ZONE_TIMERS",156.646,143.408,203.416,96.637,128.250,171.804,103.126,196.928
"000:35:30.672","","","","","","ZONE_COUNTERS",55,56,31,32,35,34,44,44
"000:35:30.672","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.672","","","","","","TOTAL_ARENA_DISTANCES",42203,36800,39196,34233
"000:40:30.736","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.737","","","","","","ZONE_DISTANCES",31608,6274,15595,21004,15805,13299,28031,11497
"000:40:30.737","","","","","","ZONE_TIMERS",254.831,45.234,119.686,180.379,166.322,133.743,218.091,81.973
"000:40:30.737","","","","","","ZONE_COUNTERS",44,45,27,28,25,25,41,41
"000:40:30.738","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.738","","","","","","TOTAL_ARENA_DISTANCES",37881,36600,29104,39527
"000:45:30.826","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.827","","","","","","ZONE_DISTANCES",21080,13585,26467,9303,14735,12839,9040,24915
"000:45:30.827","","","","","","ZONE_TIMERS",187.399,112.690,227.802,72.287,157.834,142.255,76.487,223.602
"000:45:30.828","","","","","","ZONE_COUNTERS",64,65,20,20,27,27,38,38
"000:45:30.828","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.828","","","","","","TOTAL_ARENA_DISTANCES",34665,35770,27574,33955
