"000:00:00.000","Info","2019-07-08 00:44:51","Service 'CHKGRY' : Execution start"
"000:00:00.000","Info","Subject Identification","a7606 a6880 a8104 a7146"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.821","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:35:30.821","","","","","","ZONE_DISTANCES",0,0,20667,22301,21512,11355,22911,15910
"000:35:30.822","","","","","","ZONE_TIMERS",0.000,300.066,140.306,159.760,201.897,98.169,171.365,128.701
"000:35:30.822","","","","","","ZONE_COUNTERS",0,1,70,70,43,44,58,59
"000:35:30.823","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.823","","","","","","TOTAL_ARENA_DISTANCES",0,42968,32868,38821
"000:40:30.927","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRYNON","ARENA1_ZONE2_CHKCS","ARENA2_ZONE1_GRYNON","ARENA2_ZONE2_CHKCS","ARENA3_ZONE1_GRYNON","ARENA3_ZONE2_CHKCS","ARENA4_ZONE1_GRYNON","ARENA4_ZONE2_CHKCS"
"000:40:30.929","","","","","","ZONE_DISTANCES",0,0,14445,23939,21977,12455,21557,16120
"000:40:30.930","","","","","","ZONE_TIMERS",0.000,300.105,108.916,191.189,233.532,66.573,179.807,120.298
"000:40:30.932","","","","","","ZONE_COUNTERS",0,1,47,47,34,34,52,53
"000:40:30.933","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.935","","","","","","TOTAL_ARENA_DISTANCES",0,38384,34432,37677
"000:45:31.047","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_CHKCS","ARENA1_ZONE2_GRYNON","ARENA2_ZONE1_CHKCS","ARENA2_ZONE2_GRYNON","ARENA3_ZONE1_CHKCS","ARENA3_ZONE2_GRYNON","ARENA4_ZONE1_CHKCS","ARENA4_ZONE2_GRYNON"
"000:45:31.047","","","","","","ZONE_DISTANCES",0,0,19116,17078,11648,15622,20367,14689
"000:45:31.048","","","","","","ZONE_TIMERS",0.000,300.120,150.301,149.818,68.523,231.596,171.270,128.849
"000:45:31.048","","","","","","ZONE_COUNTERS",0,1,48,47,21,21,54,54
"000:45:31.049","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.049","","","","","","TOTAL_ARENA_DISTANCES",0,36194,27269,35056
