"000:00:00.000","Info","2019-07-08 00:45:20","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7042 a6986 a7586 a7026"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.735","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.735","","","","","","ZONE_DISTANCES",16465,28254,8234,17539,7731,23691,14745,11159
"000:35:30.736","","","","","","ZONE_TIMERS",69.434,230.610,90.434,209.610,67.648,232.396,173.710,126.334
"000:35:30.736","","","","","","ZONE_COUNTERS",79,79,40,41,49,49,99,99
"000:35:30.736","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.737","","","","","","TOTAL_ARENA_DISTANCES",44719,25773,31422,25904
"000:40:30.800","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.801","","","","","","ZONE_DISTANCES",24539,18761,20423,4107,36199,14992,17179,9186
"000:40:30.801","","","","","","ZONE_TIMERS",159.397,140.668,252.537,47.528,254.300,45.764,196.524,103.540
"000:40:30.802","","","","","","ZONE_COUNTERS",57,56,31,32,62,62,79,79
"000:40:30.802","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.802","","","","","","TOTAL_ARENA_DISTANCES",43300,24530,51191,26365
