"000:00:00.000","Info","2019-07-08 04:41:15","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7584 a7447 a7012 a7097"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.567","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.567","","","","","","ZONE_DISTANCES",3493,3356,0,9206,76623,25090,499,59911
"000:35:30.567","","","","","","ZONE_TIMERS",1.757,298.250,0.000,300.007,283.484,16.523,0.314,299.692
"000:35:30.568","","","","","","ZONE_COUNTERS",12,13,0,1,108,107,6,7
"000:35:30.568","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.569","","","","","","TOTAL_ARENA_DISTANCES",6849,9206,101713,60410
"000:40:30.605","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.606","","","","","","ZONE_DISTANCES",5754,11292,0,9464,178150,92107,565,61651
"000:40:30.606","","","","","","ZONE_TIMERS",5.437,294.600,0.000,300.038,264.628,35.410,0.291,299.746
"000:40:30.607","","","","","","ZONE_COUNTERS",21,22,0,1,550,549,6,7
"000:40:30.608","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.608","","","","","","TOTAL_ARENA_DISTANCES",17046,9464,270257,62216
"000:45:30.615","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.615","","","","","","ZONE_DISTANCES",20884,24088,0,3168,269232,113998,515,31846
"000:45:30.616","","","","","","ZONE_TIMERS",15.732,284.276,0.000,300.009,239.861,60.148,0.369,299.640
"000:45:30.617","","","","","","ZONE_COUNTERS",68,69,0,1,696,696,7,8
"000:45:30.618","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.618","","","","","","TOTAL_ARENA_DISTANCES",44972,3168,383230,32361
"000:50:30.654","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:30.655","","","","","","ZONE_DISTANCES",9404,10986,0,5695,224156,40670,188,27846
"000:50:30.655","","","","","","ZONE_TIMERS",10.316,289.723,0.000,300.039,271.474,28.565,0.035,300.004
"000:50:30.656","","","","","","ZONE_COUNTERS",32,33,0,1,243,243,1,2
"000:50:30.656","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.657","","","","","","TOTAL_ARENA_DISTANCES",20390,5695,264826,28034
"000:55:30.665","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:30.665","","","","","","ZONE_DISTANCES",4072,6002,0,20851,200981,49418,13,18268
"000:55:30.666","","","","","","ZONE_TIMERS",7.366,292.643,0.000,300.010,272.854,27.155,0.080,299.929
"000:55:30.666","","","","","","ZONE_COUNTERS",14,15,0,1,319,318,1,2
"000:55:30.667","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.667","","","","","","TOTAL_ARENA_DISTANCES",10074,20851,250399,18281
"001:00:30.705","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:00:30.706","","","","","","ZONE_DISTANCES",6072,9833,0,9537,156988,22361,92,20429
"001:00:30.706","","","","","","ZONE_TIMERS",5.114,294.926,0.000,300.041,285.638,14.402,0.099,299.941
"001:00:30.707","","","","","","ZONE_COUNTERS",21,22,0,1,146,145,1,2
"001:00:30.707","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.708","","","","","","TOTAL_ARENA_DISTANCES",15905,9537,179349,20521
"001:00:30.791","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.792","","","","","","ZONE_DISTANCES",49679,65557,0,57921,1106130,343644,1872,219951
"001:00:30.792","","","","","","ZONE_TIMERS",45.724,1754.427,0.000,1800.151,1617.947,182.203,1.190,1798.960
"001:00:30.793","","","","","","ZONE_COUNTERS",168,169,0,1,2058,2057,22,23
"001:00:30.793","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.794","","","","","","TOTAL_ARENA_DISTANCES",115236,57921,1449774,221823
"001:03:02.555","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:03:02.556","","","","","","ZONE_DISTANCES",1142,3705,0,380,27210,2373,0,3339
"001:03:02.556","","","","","","ZONE_TIMERS",0.553,59.500,0.000,60.054,58.683,1.371,0.000,60.054
"001:03:02.557","","","","","","ZONE_COUNTERS",4,5,0,1,16,15,0,1
"001:03:02.557","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.558","","","","","","TOTAL_ARENA_DISTANCES",4846,380,29583,3339
"001:04:02.631","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:04:02.632","","","","","","ZONE_DISTANCES",3555,4772,0,740,28049,4563,0,9195
"001:04:02.633","","","","","","ZONE_TIMERS",3.206,56.868,0.000,60.075,56.827,3.248,0.000,60.075
"001:04:02.635","","","","","","ZONE_COUNTERS",12,13,0,1,22,21,0,1
"001:04:02.636","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.636","","","","","","TOTAL_ARENA_DISTANCES",8327,740,32612,9195
"001:05:02.692","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:05:02.692","","","","","","ZONE_DISTANCES",2204,1957,0,1615,28309,1703,311,5322
"001:05:02.693","","","","","","ZONE_TIMERS",2.143,57.916,0.000,60.060,58.695,1.365,0.210,59.850
"001:05:02.693","","","","","","ZONE_COUNTERS",7,8,0,1,11,10,2,3
"001:05:02.694","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.694","","","","","","TOTAL_ARENA_DISTANCES",4161,1615,30012,5633
"001:06:02.751","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:06:02.751","","","","","","ZONE_DISTANCES",8383,4215,2214,3308,19227,5261,3188,30234
"001:06:02.752","","","","","","ZONE_TIMERS",20.089,39.969,1.341,58.718,56.324,3.734,2.460,57.598
"001:06:02.752","","","","","","ZONE_COUNTERS",22,23,4,5,24,23,9,10
"001:06:02.753","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.753","","","","","","TOTAL_ARENA_DISTANCES",12598,5523,24487,33422
"001:07:02.831","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:07:02.832","","","","","","ZONE_DISTANCES",2365,3306,0,226,6596,1182,0,64617
"001:07:02.832","","","","","","ZONE_TIMERS",3.158,56.922,0.000,60.080,57.025,3.055,0.000,60.080
"001:07:02.833","","","","","","ZONE_COUNTERS",8,9,0,1,12,11,0,1
"001:07:02.833","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.834","","","","","","TOTAL_ARENA_DISTANCES",5672,226,7779,64617
"001:07:02.939","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:02.939","","","","","","ZONE_DISTANCES",17649,17955,2214,6269,109391,15082,3499,112707
"001:07:02.940","","","","","","ZONE_TIMERS",29.152,271.178,1.341,298.989,287.555,12.774,2.671,297.659
"001:07:02.941","","","","","","ZONE_COUNTERS",53,54,4,5,81,80,11,12
"001:07:02.941","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.941","","","","","","TOTAL_ARENA_DISTANCES",35604,8483,124473,116206
"001:07:02.942","Info","2019-07-08 05:48:18","Service 'MAGORA' : Execution end"
