"000:00:00.000","Info","2019-07-09 07:35:13","Service 'MOBASELINE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7584 a7447 a7012 a7097"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:05:30.575","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:05:30.575","","","","","","ZONE_DISTANCES",9886,10173,8302,28917,16950,11861,10559,25308
"000:05:30.576","","","","","","ZONE_TIMERS",191.613,108.440,60.985,239.064,182.443,117.602,86.452,213.587
"000:05:30.577","","","","","","ZONE_COUNTERS",26,25,49,50,42,42,43,43
"000:05:30.577","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:05:30.577","","","","","","TOTAL_ARENA_DISTANCES",20060,37219,28812,35868
"000:10:30.623","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:10:30.625","","","","","","ZONE_DISTANCES",8411,4315,10351,26215,15118,17219,17389,14792
"000:10:30.626","","","","","","ZONE_TIMERS",276.506,23.542,78.697,221.350,146.904,153.143,169.381,130.667
"000:10:30.627","","","","","","ZONE_COUNTERS",15,14,59,59,49,48,34,35
"000:10:30.628","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:10:30.629","","","","","","TOTAL_ARENA_DISTANCES",12726,36566,32337,32181
"000:15:30.703","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:15:30.703","","","","","","ZONE_DISTANCES",11798,12785,10858,22952,15111,12112,17830,11564
"000:15:30.704","","","","","","ZONE_TIMERS",117.439,182.639,81.622,218.456,165.176,134.902,182.477,117.602
"000:15:30.704","","","","","","ZONE_COUNTERS",27,27,62,62,33,32,26,26
"000:15:30.705","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:15:30.705","","","","","","TOTAL_ARENA_DISTANCES",24583,33810,27223,29394
"000:20:30.782","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:20:30.782","","","","","","ZONE_DISTANCES",20312,26032,15900,30768,11289,16967,12829,14597
"000:20:30.783","","","","","","ZONE_TIMERS",194.325,105.753,109.280,190.798,113.298,186.780,136.666,163.412
"000:20:30.783","","","","","","ZONE_COUNTERS",45,45,73,73,43,43,38,37
"000:20:30.784","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:20:30.784","","","","","","TOTAL_ARENA_DISTANCES",46344,46667,28255,27426
"000:25:30.836","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:25:30.837","","","","","","ZONE_DISTANCES",10589,28323,12218,28693,16387,15333,9718,18838
"000:25:30.838","","","","","","ZONE_TIMERS",62.388,237.665,92.747,207.307,158.131,141.922,99.845,200.209
"000:25:30.838","","","","","","ZONE_COUNTERS",39,39,74,73,48,49,46,46
"000:25:30.839","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:25:30.839","","","","","","TOTAL_ARENA_DISTANCES",38912,40912,31721,28555
"000:30:30.883","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:30:30.883","","","","","","ZONE_DISTANCES",15833,16555,13785,28709,9458,13522,11242,11911
"000:30:30.884","","","","","","ZONE_TIMERS",169.427,130.619,95.963,204.082,123.365,176.681,145.695,154.350
"000:30:30.884","","","","","","ZONE_COUNTERS",35,36,66,66,31,32,33,34
"000:30:30.885","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:30:30.885","","","","","","TOTAL_ARENA_DISTANCES",32387,42494,22980,23154
"000:30:30.990","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"000:30:30.991","","","","","","ZONE_DISTANCES",76829,98183,71414,166254,84313,87014,79567,97010
"000:30:30.992","","","","","","ZONE_TIMERS",1011.700,788.668,519.297,1281.066,889.320,911.039,820.518,979.836
"000:30:30.994","","","","","","ZONE_COUNTERS",184,184,380,381,243,244,218,218
"000:30:30.994","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:30:30.995","","","","","","TOTAL_ARENA_DISTANCES",175012,237669,171328,176578
"000:30:30.996","Info","2019-07-09 08:05:44","Service 'MOBASELINE' : Execution end"
