tank,mark,sex,fish_length,fish_width
G0203,Red.Gre,male,3.234,0.448
G0203,Blu.Bro,male,3.09,0.473
G0203,Whi.Yel,male,3.595,0.606
G0203,Bro.Gre,female,3.898,0.947
G0203,Pur.Red,male,3.15,0.439
G0203,Blu.Yel,female,3.208,0.59
G0203,Bla._,female,3.653,0.633
G0203,Red.Pur,male,3.205,0.466
G0203,Gre.Yel,male,2.983,0.493
G0203,Gre.Bro,female,2.982,0.516
G0203,Ora.Ora,male,2.876,0.342
G0203,Red.Bro,male,3.225,0.459
G0203,Whi.Red,male,3.151,0.456
G0203,Yel.Yel,male,3.167,0.407
G0203,_.Pin,female,3.575,0.597
G0203,_.Red,male,3.083,0.466
G0203,Ora.Bro,male,2.876,0.449
G0203,Blu.Gre,female,3.032,0.525
G0203,Pin.Ora,male,3.211,0.48
G0203,Gre.Gre,female,3.33,0.625
G0203,Gre.Blu,female,3.154,0.45
G0203,Gre.Pin,male,3.215,0.446
G0203,Gre._,female,3.302,0.604
G0203,Red._,male,3.156,0.462
G0205,Red.Pur,male,3.424,0.477
G0205,Blu.Ora,male,2.808,0.414
G0205,Blu._,male,2.928,0.466
G0205,Pur.Ora,male,3.085,0.4
G0205,Blu.Yel,female,3.472,0.65
G0205,_._,female,3.345,0.539
G0205,Bla.Ora,male,3.185,0.447
G0205,Bla.Pur,female,3.367,0.541
G0205,Whi.Bla,female,3.35,0.573
G0205,Yel.Ora,female,3.621,0.669
G0205,Whi.Red,male,3.163,0.476
G0205,Whi.Gre,female,3.612,0.525
G0205,_.Pin,female,3.571,0.604
G0205,Gre.Gre,female,3.069,0.614
G0205,Pin.Red,male,3.383,0.464
G0205,Yel.Bro,female,3.178,0.644
G0205,Ora.Whi,male,3.693,0.497
G0205,Bro.Bla,male,3.269,0.537
G0205,Blu.Blu,male,3.394,0.491
G0205,Pin.Gre,male,3.087,0.412
G0205,Whi.Whi,female,3.338,0.536
G0205,Red.Bro,male,3.148,0.459
G0205,Pin.Whi,male,2.797,0.399
G0205,Bla._,male,3.086,0.488
G0205,Gre.Ora,female,3.538,0.638
G0206,Pin.Red,male,3.381,0.475
G0206,Yel._,female,3.47,0.566
G0206,Pin.Bla,male,3.094,0.447
G0206,Pur._,female,3.822,0.673
G0206,_.Bro,female,3.343,0.614
G0206,Pin.Gre,female,3.194,0.52
G0206,Whi.Red,male,3.007,0.408
G0206,Ora.Ora,female,3.702,0.629
G0206,Pur.Red,male,3.143,0.477
G0206,Ora.Blu,female,3.27,0.513
G0206,Gre.Yel,female,3.267,0.563
G0206,Gre.Bla,female,2.87,0.435
G0206,Yel.Blu,male,3.022,0.461
G0206,Ora.Red,male,3.434,0.496
G0206,Gre.Gre,female,3.193,0.587
G0206,_.Yel,male,3.15,0.486
G0206,Red._,female,2.966,0.565
G0206,Ora.Bla,male,3.056,0.477
G0206,Gre._,male,3.482,0.476
G0206,Blu.Pin,male,3.216,0.572
G0206,Red.Red,female,3.255,0.542
G0206,Pin._,female,3.346,0.572
G0206,Yel.Ora,female,3.219,0.534
G0208,Blu.Red,female,3.328,0.609
G0208,Red._,male,3.365,0.504
G0208,Pin.Gre,male,3.14,0.431
G0208,_._,male,3.096,0.421
G0208,Gre.Whi,male,3.052,0.486
G0208,_.Whi,male,3.151,0.399
G0208,Ora.Ora,male,2.998,0.4
G0208,Whi.Gre,male,3.14,0.43
G0208,Bla.Bla,male,3.027,0.467
G0208,Blu.Ora,male,3.192,0.493
G0208,Ora.Blu,male,3.384,0.411
G0208,Blu.Gre,female,3.313,0.571
G0208,Pur.Pin,female,3.313,0.457
G0208,Pin.Pin,male,3.104,0.399
G0208,Ora.Bro,male,3.01,0.415
G0208,_.Gre,male,3.08,0.413
G0208,Ora._,male,3.231,0.43
G0208,Yel.Bro,female,3.372,0.505
G0208,_.Yel,male,3.036,0.448
G0208,Whi.Yel,male,3.328,0.469
G0208,Blu.Blu,male,3.493,0.472
G0208,Gre.Blu,male,3.27,0.506
G0208,Blu.Pin,male,2.998,0.48
G0208,Blu._,male,3.174,0.537
G0203,Yel._,male,,
G0205,Pur.Yel,male,,
G0205,Blu.Whi,female,,
