mark,sex,fishID,tank
Gre.Pin,male,a6830,G0203
_.Pin,female,a8040,G0203
Yel.Yel,male,a7120,G0203
Bla._,male,a6921,G0203
Blu.Bro,male,a7743,G0203
Blu.Gre,female,a7205,G0203
Blu.Yel,female,a7704,G0203
Red.Gre,male,a7329,G0203
Gre._,female,a7289,G0203
Gre.Blu,female,a7507,G0203
Whi.Yel,male,a7648,G0203
Gre.Gre,male,a7426,G0203
Ora.Bro,male,a7584,G0203
Ora.Ora,male,a7447,G0203
Gre.Yel,male,a7012,G0203
Red.Bro,male,a7097,G0203
Pur.Red,male,a7270,G0203
Red._,male,a6888,G0203
Pin.Ora,male,a7624,G0203
Red.Pur,male,a6988,G0203
Whi.Red,male,a7185,G0203
Gre.Bro,female,a7521,G0203
Bro.Gre,female,a7053,G0203
_.Red,male,a7384,G0203
Bla.Pur,male,a7606,G0205
Blu.Blu,female,a6880,G0205
Bla._,male,a8104,G0205
Bla.Ora,male,a7146,G0205
Gre.Gre,female,a7509,G0205
Gre.Ora,female,a7668,G0205
_.Pin,female,a8105,G0205
Blu.Ora,male,a7705,G0205
Bro.Bla,male,a7364,G0205
Blu.Yel,female,a7303,G0205
_._,male,a7341,G0205
Blu._,male,a7745,G0205
Ora.Whi,male,a7557,G0205
Whi.Gre,female,a8106,G0205
Pin.Whi,male,a7197,G0205
Pur.Ora,male,a7271,G0205
Whi.Red,male,a7373,G0205
Whi.Whi,female,a7102,G0205
Whi.Bla,female,a6943,G0205
Pin.Red,male,a6873,G0205
Red.Pur ,male,a7042,G0205
Red.Bro,male,a6986,G0205
Yel.Bla,female,a7586,G0205
Yel.Bro,female,a7026,G0205
Pin.Gre,female,a7626,G0206
Pin._,female,a7653,G0206
Pin.Red,male,a7695,G0206
Red._,female,a7385,G0206
Red.Red,female,a6984,G0206
Gre.Yel,female,a7587,G0206
Ora.Red,male,a7066,G0206
_.Bro,female,a7085,G0206
Yel._,female,a7208,G0206
Bla.Ora,male,a7174,G0206
_.Yel,male,a7119,G0206
Whi.Red,male,a7265,G0206
Ora.Ora,female,a6900,G0206
Gre.Gre,female,a7523,G0206
Pur.Red,male,a7733,G0206
Ora.Blu,male,a7410,G0206
Ora.Bla,male,a7449,G0206
Gre.Bla,male,a7510,G0206
Yel.Blu,male,a7342,G0206
Blu.Pin,male,a7000,G0206
Yel.Ora,female,a6818,G0206
Gre._,male,a6860,G0206
Pin.Bla,male,a7283,G0206
Pur._,female,a6944,G0206
Gre.Blu,female,a6863,G0208
_._,male,a7450,G0208
_.Gre,male,a7428,G0208
_.Whi,male,a8053,G0208
_.Yel,male,a7331,G0208
Bla.Bla,male,a7103,G0208
Pin.Pin,male,a7524,G0208
Blu.Blu,female,a7304,G0208
Blu.Gre,female,a7706,G0208
Blu.Ora,male,a7004,G0208
Blu.Pin,male,a7746,G0208
Blu.Red,female,a6890,G0208
Gre.Whi,male,a7588,G0208
Ora._,male,a7058,G0208
Pur.Pin,male,a6936,G0208
Ora.Bro,male,a7489,G0208
Ora.Ora,male,a7617,G0208
Pin.Gre,male,a7195,G0208
Red._,male,a7650,G0208
Ora.Blu,male,a7151,G0208
Blu._,female,a8107,G0208
Whi.Gre,male,a7372,G0208
Whi.Yel,male,a7263,G0208
Yel.Bro,female,a7209,G0208
