"000:00:00.000","Info","2019-09-26 00:28:44","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6873 a7373 a7102 a6943"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.747","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.747","","","","","","ZONE_DISTANCES",5611,28203,3429,10616,16523,14184,11287,19555
"000:35:30.748","","","","","","ZONE_TIMERS",45.608,254.436,48.656,251.388,155.168,144.876,110.545,189.499
"000:35:30.748","","","","","","ZONE_COUNTERS",29,30,12,11,45,45,39,39
"000:35:30.749","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.749","","","","","","TOTAL_ARENA_DISTANCES",33814,14045,30707,30842
"000:40:30.829","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.829","","","","","","ZONE_DISTANCES",24349,8977,2662,0,15445,18276,15662,18483
"000:40:30.830","","","","","","ZONE_TIMERS",215.710,84.371,300.081,0.000,141.524,158.557,136.482,163.598
"000:40:30.830","","","","","","ZONE_COUNTERS",41,41,1,0,42,41,38,39
"000:40:30.830","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.831","","","","","","TOTAL_ARENA_DISTANCES",33326,2663,33721,34145
"000:45:30.918","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.918","","","","","","ZONE_DISTANCES",6849,27279,2954,3135,20344,14575,5066,19873
"000:45:30.919","","","","","","ZONE_TIMERS",57.215,242.873,42.647,257.441,178.195,121.893,54.812,245.276
"000:45:30.919","","","","","","ZONE_COUNTERS",38,38,6,6,32,31,22,23
"000:45:30.919","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.920","","","","","","TOTAL_ARENA_DISTANCES",34128,6088,34919,24938
"000:50:31.003","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:31.003","","","","","","ZONE_DISTANCES",20289,15063,3751,6613,14490,14624,18215,9632
"000:50:31.003","","","","","","ZONE_TIMERS",165.521,134.563,27.452,272.632,153.318,146.766,199.261,100.823
"000:50:31.004","","","","","","ZONE_COUNTERS",45,45,8,9,23,22,42,42
"000:50:31.004","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.004","","","","","","TOTAL_ARENA_DISTANCES",35352,10364,29114,27847
"000:55:31.095","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:31.096","","","","","","ZONE_DISTANCES",7992,27429,1415,2054,20603,25754,8481,22637
"000:55:31.096","","","","","","ZONE_TIMERS",69.050,231.042,92.482,207.609,140.211,159.881,81.908,218.184
"000:55:31.097","","","","","","ZONE_COUNTERS",39,38,3,3,61,61,33,33
"000:55:31.097","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.097","","","","","","TOTAL_ARENA_DISTANCES",35420,3470,46357,31119
"001:00:31.167","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.167","","","","","","ZONE_DISTANCES",19868,18428,1184,3825,23819,21079,17515,17623
"001:00:31.168","","","","","","ZONE_TIMERS",153.553,146.518,6.233,293.838,150.951,149.119,158.360,141.711
"001:00:31.168","","","","","","ZONE_COUNTERS",50,50,5,5,60,60,36,36
"001:00:31.169","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.169","","","","","","TOTAL_ARENA_DISTANCES",38296,5009,44898,35137
"001:00:31.267","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.269","","","","","","ZONE_DISTANCES",84958,125379,15395,26243,111224,108492,76226,107803
"001:00:31.270","","","","","","ZONE_TIMERS",706.659,1093.810,517.554,1282.915,919.374,881.095,741.377,1059.093
"001:00:31.272","","","","","","ZONE_COUNTERS",239,240,32,32,259,259,209,208
"001:00:31.273","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.275","","","","","","TOTAL_ARENA_DISTANCES",210336,41638,219716,184029
"001:03:03.170","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.170","","","","","","ZONE_DISTANCES",1400,6304,0,461,265,5368,0,4537
"001:03:03.171","","","","","","ZONE_TIMERS",11.161,48.883,0.000,60.044,2.152,57.892,0.000,60.044
"001:03:03.171","","","","","","ZONE_COUNTERS",13,14,0,1,5,6,0,1
"001:03:03.171","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.172","","","","","","TOTAL_ARENA_DISTANCES",7704,461,5633,4537
"001:04:03.250","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.251","","","","","","ZONE_DISTANCES",3925,3365,0,1821,5172,1733,4540,164
"001:04:03.251","","","","","","ZONE_TIMERS",30.682,29.398,0.000,60.080,44.038,16.042,57.999,2.081
"001:04:03.251","","","","","","ZONE_COUNTERS",10,11,0,1,11,11,3,3
"001:04:03.252","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.252","","","","","","TOTAL_ARENA_DISTANCES",7289,1820,6905,4705
"001:05:03.329","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.329","","","","","","ZONE_DISTANCES",2463,4680,1320,3359,372,5634,289,4478
"001:05:03.330","","","","","","ZONE_TIMERS",20.381,39.697,16.023,44.055,4.087,55.991,3.467,56.611
"001:05:03.330","","","","","","ZONE_COUNTERS",10,11,4,5,5,5,3,3
